date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Aug 29 2020, Driver,,Former Employee ,Good job,1,"Great good wonderful awesome rad job!
","Not a single bad thing about it
Helpful (1)
Philip Morris International Response
September 30, 2020 – Philip Morris International
Hi there! We really appreciate you taking the time to leave us a review.

We are glad to hear that you have a positive outlook of your experience with us and that you would recommend us to your peers! One of our top priorities is to ensure we can provide employees with the best work environment so we are very happy to read that you describe your experience with us as a “wonderful awesome rad job”!

Thank you again for taking the time to leave us a review. We wish you the best of luck in your future career! Why not follow us on social media @insidePMI to stay up-to-date on our latest news",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Human Resources Business Partner,,Current Employee ,Great place to work!,0,"Excellent salary and compensation. Great opportunities for growth.
","Could be a bit stressful.
Helpfu",,4.0,5.0,5.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Seasonal Driver Helper,,Former Employee ,Helpful,0,"Money and benefits are good enough for me
","Help can often be hard to find
Helpfu",,2.0,1.0,1.0,1.0,1.0,1.0,,,
Tue Jan 12 2021, Warehouse Associate,"Richmond, VA",Current Employee ,7,0,"The work was okay but I managed
","The compound smell of product in the facility
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Oct 24 2020, New Employee Experience Lead,"New York, NY",Current Employee ,Good Company,0,"Cultural diversity
Continuous learning
Growth opportunities
Good salaries
A transforming company
Many trainings
","A little bit of a competitive culture
Downsizing can be translated to more work for those remaining
Helpful
Philip Morris International Response
December 4, 2020 – Philip Morris International
Hi there, and thank you for your review and feedback.
Firstly, we are very glad to hear you have a positive outlook of your experience with us in New York and that you would recommend us to your peers. During periods of transformation, we aim to create a strong management team that will inspire people and creates a successful change so, we are happy to read that you are aligned with our transformation and our diversity and inclusion agenda. 
We understand your comment regarding change within the company and as you know, we are currently going through a massive transformation, it's an opportunity to get involved in internal discussions as well. Whenever in doubt, we invite you to discuss any issues with your line manager or your HR team and wish you continued success at Philip Morris. 
Thank you again for taking the time to leave us a review! Why not follow us on social media @insidePMI to stay up-to-date on our latest news",,4.0,2.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Aug 21 2020, Global Project Manager,"New York, NY",Former Employee ,excellent,1,"best employer in the world
","none as far as I know
Helpful (1)
Philip Morris International Response
September 30, 2020 – Philip Morris International
Hello, thank you for feedback and your 5-star review! 
We are glad to read that you had a positive overall experience with us and that you would recommend us to your peers. Our people are our greatest asset, and we want to ensure we can provide them with a positive work environment so we are very happy to read that you describe us as the “best employer in the world”. 
Thank you again for the time to write us a review. We wish you all the best for your future career! Why not follow us on social media @insidePMI to stay up-to-date on our latest news",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Aug 26 2020, Cadd Designer,"Wilmington, DE",Former Employee ,MRA Review,0,"Very straight forward, you can learn a lot working there, principals can be difficult, but overall a good place to work for.
","Salaries are not the greatest.
Helpful
Philip Morris International Response
September 30, 2020 – Philip Morris International
Hello and thank you for leaving us a review and for your feedback!
We are happy that you have a positive outlook of your overall experience with us and that you would recommend us to your peers! We are also very happy to read that you had the opportunity to learn and develop from working with us. Our people are our greatest asset, and we want to ensure we can provide them with a positive work environment.

We thank you again for your time to write a review. We wish you the best of luck in your future career",,3.0,,,,,,,,
Wed May 20 2020, Brand Management,,Former Employee ,Best of the best,1,"Working with the best of the best in the manufacturing industry (and other global industries) keeps you aiming for your best as well. Great benefits and pay.
","Little work-life balance. Depending on the management, there can be a lot of office politics. Always be ready to move if you want to progress in your career.
Helpful (1)
Philip Morris International Response
June 26, 2020 – Philip Morris International
Hello, thank you for your positive review!

We are happy that you enjoyed your experience and the benefits of working at PMI. Our people are indeed our greatest asset, and we want to ensure we can provide them with a positive work environment and career development. We are also very happy that you would recommend us to your peers! 

Nonetheless, we take into consideration your comment regarding the work-life balance and politics. At Philip Morris, our aim is to ensure that every voice is heard, so we take your comments very seriously and thank you for your honesty. 

We wish you all the best for your future career! Why not follow us on social media @insidepmi",,4.0,3.0,3.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Mar 27 2020, Strategic Planning Analyst,"Indianapolis, IN",Current Employee ,Good,0,"Good to learn and exposure
","Long working hour And little politics
Advice to Management
No its ok
Helpful
Philip Morris International Response
April 27, 2020 – Philip Morris International
Hi there! 

Thank you for taking the time to leave us a 5-star review. We are very happy to hear that you are enjoying your learning opportunities. Our people are our strongest asset, we care about their well-being and work very hard to give them the best possible work environment. However, we are saddened to hear that you that you are not satisfied with the working hours.
We take your comment seriously and encourage to talk to your line manager or your HR contact person. 

Thank you again for taking the time to leave us a review","No its ok
Helpful
Philip Morris International Response
April 27, 2020 – Philip Morris International
Hi there! 

Thank you for taking the time to leave us a 5-star review. We are very happy to hear that you are enjoying your learning opportunities. Our people are our strongest asset, we care about their well-being and work very hard to give them the best possible work environment. However, we are saddened to hear that you that you are not satisfied with the working hours.
We take your comment seriously and encourage to talk to your line manager or your HR contact person. 

Thank you again for taking the time to leave us a review",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Mar 23 2020, Director of Strategic Partnerships,"New York, NY",Former Employee ,Historic company attempting to change its entire business model,2,"There is an historic moment to be a part of this company.
","Change is difficult anywhere and particularly challenging here.
Advice to Management
Not everyone you hire will have the same mindset as those who have been with the company for 15-20+ years.
Helpful (2)
Philip Morris International Response
April 27, 2020 – Philip Morris International
Hi there! We really appreciate you taking the time to leave us a review.

We are truly sorry to hear that you are not happy with your overall experience working at PMI in the New York offices.

We are indeed in the midst of a historic transformation and we are happy to hear that you are aligned with it. During periods of transformation, it is a very exciting period but it does indeed come together with some uncertainties, we try to create a strong management team that will inspire people and creates a successful change. 

Our aim is to ensure that every voice is heard, so we take your comments seriously and thank you for your honesty","Not everyone you hire will have the same mindset as those who have been with the company for 15-20+ years.
",3.0,3.0,4.0,3.0,5.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Thu Feb 06 2020,Anonymous,,Former Employee ,Be Careful,2,"CEO/owner and his executive leadership circa 2013 have stepped back, exited North America or left the company. Low integrity leadership at the time made it aweful at Director level+. Everyone else suffered less but struggled with contant top-down ideas of the day and changes in direction, unreasonable timelines, and pressure to acheive improbable targets with little listening from front line leaders who actually understood the business. New leadership and board structure may have changed this but . . . be careful. Ask tough questions if you're an inbound leader.
","If previous leadership exited or tepped back, especially from North America, there may be few. The business is highly focused and dependent on one category and a handful of cutomers. Its struggling to become a modern multi-channel branded company. So some strategic reservations there. Other than that, nice people there who have fun and find ways to live well beyond work. I mark them low on values because they talk a great talk but they don't walk it. Especially on environmental issues.
Helpful (2)
Philip Morris International Response
March 2, 2020 – Philip Morris International
Hello, thank you for taking the time to leave us a review. 

We are truly sorry to hear you are not happy with your overall experience working at PMI and with the leadership in the North American market. As you know, we are currently going through a massive transformation. It's a very exciting period but it does indeed come together with some uncertainties. At Philip Morris, our aim is to ensure that every voice is heard, so we take your comments very seriously and thank you for your honesty.

Thank you again for taking the time to leave us a review",,2.0,3.0,2.0,2.0,3.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Fri Feb 14 2020, Finance Manager,"New York, NY",Former Employee ,The worst interpretation of Digital Transformation ever,3,"Salaries and benefits are higher than the average in the industry
","No clear path of digital transformation 
Lack of managerial courage
Hostile company culture
International assignments No longer available
Advice to Management
Transformation does not mean dismissing experienced people
Helpful (3","Transformation does not mean dismissing experienced people
",1.0,1.0,2.0,1.0,5.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
