date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 02 2021, Project Procurement Manager,"Houston, TX",Current Employee ,Good Company,0,"Good company to work for.
","I don't have anything bad to say.
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Production Operator,"Sweeny, TX",Current Employee ,P66 op,0,"Good pay and good location
","Too many bosses working over each other
Helpfu",,4.0,5.0,3.0,5.0,3.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Feb 03 2021, Senior Integration Developer,"Tulsa, OK",Former Employee ,Digital Transformation To Alienation,0,"Great company before the transformation with a lot of great values and most everyone got along well and worked for the greater good.
","After 4 years of 400 hours of expected overtime per year, dissection of our team from 10 down to 1, with 10 times the work, but it was no longer enjoyable. I was never sent to any training either, only an occasional onsite class, but mostly self training.
Advice to Management
Get a clue.
Helpfu","Get a clue.
Helpfu",4.0,2.0,4.0,4.0,2.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Subject Matter Expert,"Houston, TX",Current Employee ,A good place to work and gain experience,0,"Pays well. Hours are decent depending on which function you work for. Great place for a college graduate to gain experience.
","Experienced Profession hires have difficulty with recognition and promotions. What used to be great benefits has slowly eroded to ""in line with peers.""
Advice to Management
The constant movement of managers to positions where they have no experience is unhealthy for experienced employees who have to ""retrain"" managers approximately every 2 years .
Helpfu","The constant movement of managers to positions where they have no experience is unhealthy for experienced employees who have to ""retrain"" managers approximately every 2 years .
Helpfu",4.0,3.0,4.0,4.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Sun Jan 31 2021, Analyst,,Current Employee ,Phillips 66 review,0,"Phillips 66 provides a good work and home balance environment.
","New hires start at only 2 weeks vacation.
Helpfu",,4.0,,,,,,,,
Sun Jan 24 2021, Analyst,,Current Employee ,Fortune 500 company still operating in the 80's,0,"Job security is mostly stable. HQ, 19/30 work schedule
","Very conservative company. No work from home at all even during the pandemic. Business attire mandatory (jeans friday)
Advice to Management
As baby boomers generation starts to retire its important to update the benefits to keep the new generation from leaving the company. Its important to realize that we have to compete against tec companies for college hires.
Helpfu","As baby boomers generation starts to retire its important to update the benefits to keep the new generation from leaving the company. Its important to realize that we have to compete against tec companies for college hires.
Helpfu",4.0,3.0,4.0,3.0,4.0,4.0,Approves of CEO,,
Sat Jan 23 2021, Commercial,,Former Employee ,Good company,0,"Great people great campus great pay
","It’s in Houston Texas so
Helpfu",,5.0,,,,,,,,
Thu Feb 04 2021, Operator,"Los Angeles, CA",Current Employee ,Pays the bills,0,"High pay for little effort
","Work long hours and holidays. You will come to hate most of your coworkers. Union jobs all pay the same regardless of effort.
Helpfu",,2.0,2.0,2.0,2.0,3.0,4.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Tue Jan 19 2021, Cashier,N/A,Former Employee ,Good place to work,0,"Accommodate schedule with life situations
","They only schedule for a few hours a week
Helpfu",,4.0,,,,,,Recommends,Positive Outlook,
Mon Jan 18 2021, Financial Planning and Analysis,"Houston, TX",Former Employee ,Great company with great benefits,0,"Work life balance and people
","Career progression can be slow at the mid-level
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 18 2021, Applications Support Analyst,"Bartlesville, OK",Former Employee ,Review,0,"This position challenged me thoroughly.
","None that I can think of.
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, Engineer,"Rodeo, CA",Current Employee ,engineer,0,"good bonuses good work culture
","long working hours during Turnaround
Helpfu",,3.0,,,,,,,,
Sun Jan 17 2021, Marketing,"Houston, TX",Current Employee ,It’s a great place to have a career at,0,"Pay is okay and benefits are good. Nice office. You can be as involved as you would like on various projects you can find.
","Like all places there can be people who you don’t agree with and they make work difficult for you.
Helpfu",,5.0,5.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 16 2021, Director,"Houston, TX",Current Employee ,Solid company,0,"Nice coworkers and overall good culture
","Inflexibility with working from home
Helpfu",,4.0,3.0,4.0,2.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sat Jan 30 2021, Cashier,"Topeka, KS",Current Employee ,Its a simple job.,0,"You get free food that we make. Customers are generally nice. It's not hard work, just about trying to keep busy.
","Not a very good salary
Helpfu",,3.0,,,,,,,,
Tue Jan 26 2021, Financial Analyst,"Houston, TX",Current Employee ,Mediocre,0,"Security, pay and the office is nice
","Work life balance and morale
Helpfu",,3.0,2.0,1.0,3.0,4.0,5.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Mon Jan 11 2021, Oil Refinery Operator,"Rodeo, CA",Current Employee ,Great company to work for,0,"Good base salary, with opportunity for overtime.
","Bay area is expensive making a great salary seem low.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 11 2021, Senior Power Plant Operator,"Bartlesville, OK",Current Employee ,Great company to work for,0,"Great pay, good benefits, and good people
","If you don't like shift work, don't work here.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Analyst,,Former Employee ,Job,1,"Benefits are better than many companies
","Annual review process and how someone was forced to bottom regardless how well they may have performed.
Advice to Management
Fight for your employees.
Helpful (1","Fight for your employees.
",3.0,2.0,2.0,3.0,3.0,4.0,Doesn't Recommend,Negative Outlook,Approves of CEO
Fri Jan 22 2021, Analyst,,Former Employee ,Job,1,"Benefits are better than many companies
","Annual review process and how someone was forced to bottom regardless how well they may have performed.
Advice to Management
Fight for your employees.
Helpful (1","Fight for your employees.
",3.0,2.0,2.0,3.0,3.0,4.0,Doesn't Recommend,Negative Outlook,Approves of CEO
Fri Jan 22 2021, Finance Analyst,"Houston, TX",Current Employee ,No ethics and safety,0,"Benefits, pay, location, some people, company resources.
","Ethical issues with many people being promoted based on favoritism, family connections and friendship. Many high performers are rated low because of the issue described above. No career development. Covid 19 showed that company does not care about its employees literally forcing people come to work while cases were up. Ironically safety is one of the companies value.
Advice to Management
Be agile and flexible. More transparent promotion process and ethical behavior.
Helpfu","Be agile and flexible. More transparent promotion process and ethical behavior.
Helpfu",3.0,,,,,,Recommends,Positive Outlook,No opinion of CEO
Thu Jan 07 2021, Human Resources,"Bartlesville, OK",Former Employee ,The employees make the company great.,0,"Great colleagues, collaborative environment, work with integrity, service to employees
","Executive leadership doesn't value employees contributions, Micromanaging supervisors limit career growth and opportunities
Helpfu",,4.0,,,,,,,,
Thu Jan 07 2021, Analyst,"Houston, TX",Current Employee ,Great Oil and Gas Company,0,"lots of opportunities for growth and movement within the company, highly collaborative work environment.
","HR policies are not as flexible as other companies with regards to setting your own hours, work from home, etc.
Advice to Management
Allow more flexibility around hours and work from home policies.
Helpfu","Allow more flexibility around hours and work from home policies.
Helpfu",4.0,4.0,3.0,2.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 06 2021, Project Engineer,,Former Employee ,Great company to work,0,"Great engineering department with solid project work processes
","Low capital budget based on economy
Helpfu",,5.0,,,,,,,,
Wed Jan 06 2021, Consultant,"Bartlesville, OK",Former Employee ,Great company for many years but their historically strong culture is shifting - uncertain future,0,,"ltant in Bartlesville, OK
Doesn't Recommend
Positive Outlook
No opinion of CEO
I worked at Phillips 66 full-time
Pros
Great compensation and benefits
Interesting work opportunities. Wide variety of experiences. 
Continuous training available. 
Some parts of the company still honor the companies strong core values.
Cons
Cultural shift underway. 

Moving to more outsourcing and management of contracts and less emphasis on people and career development. 

Current upper management has turned a blind eye towards several ethical violations and increasing attrition (including many key resources) is seen as collateral damage. 

Business strategy transformation is happening but nothing groundbreaking. AE66 has a great marketing campaign but real results are questionable.

Overall the company has both a strong business and people strategy, but leaders are not being held accountable to walk the talk.
Advice to Management
Need to think about how the nature of work is transforming and adapt accordingly. Asking employees to adapt to rapid change but not offering the same in return.
Helpfu","Need to think about how the nature of work is transforming and adapt accordingly. Asking employees to adapt to rapid change but not offering the same in return.
Helpfu",4.0,4.0,2.0,2.0,5.0,5.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
