date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Feb 05 2021, Senior IT Manager,"Cincinnati, OH",Current Employee ,Solid place to work,0,"Great people and meaningful work.
","Big company and can be bureaucratic.
Helpfu",,5.0,5.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Marketing Relationships Manager,,Former Employee ,Working for P&G,0,"Amazing company and benefits, great teams
","None that I can think of
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,,,
Mon Feb 01 2021, Senior Human Resources Manager,,Current Employee ,great company to work,0,"1) god management,2) great values and principles 3)great work enviroment
","1) too much processes and burocracy
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Account Executive,"Washington, DC",Current Employee ,Great Company,0,"Good benefits, great people. They look out for you
","Some outdated processes and systems in place
Helpfu",,5.0,4.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Test Engineer,,Current Employee ,Great company,0,"Great company to consider good environment
","Great company good to work for
Helpfu",,5.0,,,,,,,,
Tue Jan 26 2021, Administrative Assistant,"Cincinnati, OH",Current Employee ,Love my job,0,"Great starting salary, upper management cares about your development and success
","No cons at this time
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021," Director, Information Technology","Cincinnati, OH",Current Employee ,P&G,0,"Investment in training and skills of employees, focus on diversity and inclusion, availability of flexible work arrangements, work-life options that can be adjusted as needed throughout career to meet personal/family needs, profit sharing
","Sometimes slow to move things ahead due to size and complexity of organization
Helpfu",,5.0,4.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Engineer,"Cincinnati, OH",Former Employee ,the best,0,"unmatched career development opportunities available
","can get stuck in midlevel purgatory
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Senior Assistant Brand Manager,"Geneva, AL",Current Employee ,ABM role,0,"Good Team and learning opportunities
","Slow company and bureaucratic organization
Helpfu",,5.0,3.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Tue Jan 26 2021, Administrative Assistant,"Cincinnati, OH",Current Employee ,Love my job,0,"Great starting salary, upper management cares about your development and success
","No cons at this time
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
