date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 08 2021, Inside Sales Representative,"Riverview, FL",Former Employee ,Good company,0,"Good benefits health and bonus structure
","Repetitive back to back calls can be taxing
Helpfu",,5.0,4.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Customer Service Representative,"Durham, NC",Former Employee ,Insurance agency,0,"Health benefits, awarding certificates of excellences
","Slow business, bringing in new customers
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Sun Feb 07 2021, Centralized Claims Adjuster,"Austin, TX",Current Employee ,A company that invests in their employees,0,"-Structured, personalized training with coaches whose job is literally just to help you learn to do your job
-Benefits, 401k, PTO
-Vast amount of opportunity for career growth and advancement
-Competitive starting salary for new employees
-Inclusive company culture
-Places priority on employee satisfaction & work/life balance
-Invests in their employees and provides ongoing support throughout your career
-Gainshare/bonus opportunities
-Clear mission and defined core values 
-Female CEO who also started in claims and worked her way up from the ground level
-Organized, efficient. Communication has been clear and open throughout the entire process of being hired here, which says a lot for such a large company
","None at this time, ask me in 6 months. I know people have said the workload for claims is high at this company, but I've done my research and to my knowledge, the expectations for claims reps at Progressive are standard/manageable for the industry as a whole. So I would think it comes down to the position rather than the company itself.
Advice to Management
None! You're doing great. Thank you for caring and giving 100% of yourselves to investing in the success of your new employees.
Helpfu","None! You're doing great. Thank you for caring and giving 100% of yourselves to investing in the success of your new employees.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Consultant,"Houston, TX",Current Employee ,Best Place to Work... Really Really!!!,0,,"ltant in Houston, TX
Recommends
Positive Outlook
Approves of CEO
I have been working at Progressive Insurance full-time for more than a year
Pros
Love the culture at Progressive.
Cons
Not any to think of currently.
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Pricing Analyst,"Mayfield, OH",Current Employee ,Great place to work,0,"- Opinion is valued
-Great management
-Great work-life balance
-Lots of perks
-Awesome culture
","-Working from home for so long has been hard
Advice to Management
Keep doing what you're doing
Helpfu","Keep doing what you're doing
Helpfu",5.0,5.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Claims Specialist,"Plymouth Meeting, PA",Former Employee ,Great,0,"Great company and great people to work with with alot of good benefits
","Very tough work. constant conflict and arguments with customers
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021,Anonymous,"Houston, TX",Current Employee ,Great place to work.,0,"Salary and benefits are really good.
","Work load can be overwhelming.
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Claims Adjuster,"Miami, FL",Former Employee ,Excellent Company,0,"Great corporate culture. good management support and training, benefits, salary, work life balance.
","Long hours, but that's to be expected in a salaried job.
Advice to Management
None
Helpfu","None
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021,Anonymous,,Current Employee ,Excellent company,0,"Top in industry and great to work for
","Lots of data can be overwhelming at times but overall good
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Supervisor,"Charlotte, NC",Current Employee ,Great company,0,"Pay and promotions. Great people and love the work environment.
","A few long days. I have nothing negative to say!
Advice to Management
Keep up the great work
Helpfu","Keep up the great work
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
