date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Jan 05 2021, Manager,"Roseland, NJ",Current Employee ,Pru,1,"Has been a great place to work!
","Times are a changing at PRU.
Helpful (1",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Research Analyst,"Plymouth, MN",Former Employee ,Great Company,0,"Great team and loved my job.
","Laid off due to restructure.
Advice to Management
I was very happy!
Helpfu","I was very happy!
Helpfu",5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Financial Advisor Trainee,"Newark, DE",Current Employee ,Great Company,0,"Great company with great benefits. Would recommend to anyone.
","Long transition and training period
Advice to Management
None
Helpfu","None
Helpfu",5.0,5.0,5.0,4.0,5.0,5.0,,,
Fri Feb 05 2021, Senior Business Analyst,"Newark, NJ",Former Employee ,Great place to work at!,0,"Great benefits, nice offices, and pay!
","Nothing to share at this time.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Marketing and Financial Advisor Assistant,"Middletown, DE",Current Employee ,Good,0,"-Hardworking Financial Advisors/Agents
-Learn Financial Literacy
-Corporate Setting, can learn from everyone
","-Heavy Workload 
-Miscommunication between Departments
-Processes take too long to go through
Helpfu",,4.0,2.0,2.0,2.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021, Senior Android Engineer,"Newark, NJ",Current Employee ,Awesome place to work,0,"Amazing team. They always look to deliver quality. Everyone is very supportive. The team promotes using latest technology and best practices.
","No cons for this position
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021,Anonymous,,Former Employee ,Good place to work,0,"Very stable culture, clear direction from leadership
","At times can feel constrained and limited
Helpfu",,5.0,,,,,,,,
Mon Feb 01 2021, Investment Operations Associate,,Current Employee ,Great Place to Work,0,"Work/life balance 
Opportunity for promotions
","The compensation a little lower
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,,,
Mon Feb 01 2021, Associate Manager,"Newark, NJ",Current Employee ,Awesome place to build a network/career,0,"Internal mobility is like none other. Can really focus what you'd like to pursue over a longer horizon.
","Competitive compensation can seem dull after so many years.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Network Engineer,"Roseland, NJ",Former Employee ,I enjoyed my time there,0,"Great company to work for. Great pay and benefits.
","None. I'd go back if I could.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Senior Systems Specialist,"Roseland, NJ",Former Employee ,Great company to work for,0,"Benefits, work-life balance, people, workload
","Beware when new senior management comes in as the axe seems to fly...
",,4.0,4.0,4.0,4.0,4.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Feb 01 2021, Director,"Newark, NJ",Current Employee ,NA,0,"Great culture, nice work life balance
","Limited growth opportunities, slow promotion
Helpfu",,4.0,,,,,,,,
