date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 08 2021, Letter Cutter,,Current Employee ,Great place to work,0,"The Best money in retail
","Family time is tough to manage
Advice to Management
Don’t get me wrong the money is good but you won’t see your family
Helpfu","Don’t get me wrong the money is good but you won’t see your family
Helpfu",5.0,2.0,3.0,4.0,5.0,5.0,,,
Mon Feb 08 2021, Cashier,"Miami, FL",Former Employee ,Always room for growth,0,"Manager works with you on schedule
","Hard to grow within (lots of cliques)
Helpfu",,4.0,4.0,3.0,4.0,3.0,3.0,,,
Sun Feb 07 2021, Pharmacy Technician,"Hixson, TN",Current Employee ,Good company,0,"Family atmosphere, comfortable place of employment.
","Busy. Publix will almost always have customers constantly in the store.
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Customer Service Staff,,Current Employee ,Great Place to work,0,"Great work environment
Great coworkers
Decent Pay
","Burnout of doing the same things every day if a cashier
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Grocery Replenishment Specialist,,Former Employee ,Great place,0,"Excellent place to work, management was great to work with and coworkers were easy to get along with.
","Low starting pay but there are raises.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Customer Service,"Delray Beach, FL",Current Employee ,Good experience,0,"open opportunities to move around the store.
","no hours so you can go a week without working.
Helpfu",,4.0,4.0,2.0,2.0,4.0,2.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 08 2021, Biologist,"Orlando, FL",Current Employee ,Publix associate,0,"Pays well, good benefits, incentives to work hard, friendly atmosphere
","Work can be physically taxing, not always allows for advancement
Helpfu",,4.0,3.0,4.0,4.0,2.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Feb 06 2021, Decorator Apprentice,,Current Employee ,A great place to work!,0,"The bakery manager at my location is amazing and professional. I really enjoy the work I do there and feel appreciated. It’s a good working environment and great company to work for.
","Low starting pay is my only complaint for how much experience I have.
Helpfu",,5.0,5.0,5.0,5.0,5.0,2.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Baking Apprentice,"Atlanta, GA",Current Employee ,Great place to work,0,"Gift cards around the holidays 
Nice staff
","Hard to get full time 
Starting pay doesn’t help pay bills 
It’s a lot of work
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Stock Clerk,,Former Employee ,Short review of working part time as a stock clerk,0,"Management is good about providing flexibility around class schedules
","The music playlist never changes
Helpfu",,4.0,,,,,,,,
Sun Feb 07 2021, Customer Service,"Delray Beach, FL",Current Employee ,Good experience,0,"open opportunities to move around the store.
","no hours so you can go a week without working.
Helpfu",,4.0,4.0,2.0,2.0,4.0,2.0,Recommends,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Customer Service Staff,"Bonaire, GA",Current Employee ,Staff,0,"Benefits, time , pay , experience, vacation
","Time, customers , consuming, workload, employees
Advice to Management
Nothing
Helpfu","Nothing
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Meat Clerk,,Current Employee ,Best place for part time,0,"Very flexible
Great work environment
Fair pay
","Slow days like after big holidays are brutally slow
Helpfu",,5.0,5.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Deli Clerk,"Atlanta, GA",Former Employee ,Good but no hours,0,"Good pay, nice management, good scheduling
","Bad hours, high expectations, a lot of hires
Advice to Management
Don’t hire so many people if there’s no hours
Helpfu","Don’t hire so many people if there’s no hours
Helpfu",4.0,4.0,3.0,3.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Cashier,"Tallahassee, FL",Current Employee ,Great First Job,0,"Very considerate for balancing work/school
Sweet managers most of the time
","Work can be demanding and underwhelming
Helpfu",,4.0,5.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sat Feb 06 2021, Cashier,,Former Employee ,Good place to work,0,"Flexible scheduling
Raises
Nice coworkers and managers
","Long shifts
On your feet
Lots of cleaning
Helpfu",,4.0,,,,,,Recommends,,
Thu Feb 04 2021, Deli Associate,,Current Employee ,Essential worker,0,"Benefits, pay, stock, weekly pay
","Customers always right, even when wrong
Helpfu",,5.0,,,,,,,,
