date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 10 2021, Senior Director,"San Diego, CA",Former Employee ,Great place to work if you are good with your boss,0,"Flexibility work life balance. Smart people
","If you get along with your boss/bosses' boss and don't screw up- life is good. If not find another team.
Helpfu",,5.0,4.0,5.0,5.0,3.0,2.0,,,
Mon Feb 08 2021, Senior Business Development Manager,"San Diego, CA",Current Employee ,One of the best companies in San Diego,0,"Great company with excellent leadership
","Location in a small market for tech
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Staff Hardware Engineer,"Santa Clara, CA",Former Employee ,Truly a place where new technologies give birth,0,"Fulfilling if you value how many lives you touch with your work.
","Quite a few headwinds for being a market leader.
Helpfu",,5.0,3.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sun Feb 07 2021, Software Engineer,"San Diego, CA",Current Employee ,Great place to work,0,"Amazing Workplace. Lots to learn
","No specific cons. A lot of growth is possible
Helpfu",,5.0,,,,,,,,
Sun Feb 07 2021, Staff Software Engineer,,Current Employee ,ReveiwQ,0,"Dynamic and constantly learning new things
","Long hours of work hours
Helpfu",,5.0,,,,,,,,
Sun Feb 07 2021," Director, Engineering","San Diego, CA",Current Employee ,Best is yet to come,0,"Technology leadership, employee focused, and work satisfaction
","Long hours, deadlines, need to create brand awareness for regular investors.
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Talent Acquisition Manager,,Former Employee ,Great Team,0,"Great team, Great leadership. The TA VP listens to the team, from top to bottom. Everyone felt he was very engaged and under the work of his rank and file.
","The HRMS implementation was a bit bumpy. It took the team a lot of work that really didn’t go anywhere. Then again, most HRMS implement are bumpy.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Sat Feb 06 2021, Engineering Technician,"San Diego, CA",Current Employee ,Still great place to work,0,"Work life balance
Employee perks
Benefits top notch
","Not as fun as it used to be
More corporate than small company feel
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Software Engineer,,Former Employee ,Nice place to work in,0,"Cutting edge technology to work on
","None that i found here
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Thu Feb 04 2021, Staff Engineer,"San Diego, CA",Former Employee ,Great company to work for,0,"you will get opportunity to work on latest technologies
Good work life balance
","management in some departments do macro management
Helpfu",,5.0,5.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Senior Staff Engineer,"San Diego, CA",Current Employee ,Good,0,"Good salary, and work life balance
","Good in short term, but in long term business model still in risk
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Software Engineer,"San Diego, CA",Current Employee ,great,0,"great company to work. best technology
","none .everything is good . no complaints
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, RF Test Engineer,,Current Employee ,Cutting-edge,0,"Working on greatest technology. Always ahead of others.
Good pay.
","Depending on the role work life balance could not be that great compared to other companies.
Helpfu",,5.0,,,,,,,,
Sun Jan 24 2021, Staff Software Engineer,"San Diego, CA",Former Employee ,"Great, fast paced company",1,"Great Pay, great benefits, ability to advance
","Work/Life balance was not great because there was so much to do. However, that is department dependent.
Helpful (1",,5.0,3.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Senior Design Engineer,"Austin, TX",Current Employee ,great place to work,0,"good compensation, challenging work, great company outlook for future
","during deadline time no work life balance
Helpfu",,5.0,4.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Staff Software Engineer,"San Diego, CA",Former Employee ,Great GPU Compiler Development Team,0,"Interesting job, lots of learning opportuities, talented colleagues
","It is a big company
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Software Engineer (Ios Developer),"San Diego, CA",Current Employee ,Great Experience,0,"My manager is really chill and helps me develop my network
","Sometimes there are not enough projects and I find myself lacking hours
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021,Anonymous,,Current Employee ,Camera systems,0,"Nice place to work. Good benefits
","Sometimes work can get hectic
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, GPU Engineer,"San Diego, CA",Current Employee ,Review,0,"Good for a recent college grad looking grow in career
","Not good for someone who is more serious about compensation
Helpfu",,4.0,,,,,,,,
Sat Feb 06 2021, Senior Hardware Engineer,"San Diego, CA",Current Employee ,"Good Place to Start, Bad Place to End",0,"This is a good place to start out your hardware engineering job, but not stay forever. You don't learn too much beyond the first few years due to the top-heavy structure of the company.
","Too much upper management, low competitive salary
Helpfu",,4.0,,,,,,,,
Fri Jan 22 2021, Staff Engineer,"San Diego, CA",Current Employee ,At the cutting edge of the wireless chipset design,0,"working on the market leading projects, with brilliant engineers, in a friendly work environment
","not the best compensation in the market
Helpfu",,5.0,4.0,4.0,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Senior Staff Engineer,"San Diego, CA",Former Employee ,A good company to be at in San Diego,0,"Good Benefits and lots you can learn if you wanted to
","Depending on the team you land in, life can be easy or tough
Advice to Management
Don't treat your employee as a number
Helpfu","Don't treat your employee as a number
Helpfu",4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Thu Feb 04 2021, Staff Engineer,,Current Employee ,too much politics,1,"few good managers left now but still everyone is pushing the actual working engineers
","lot of paper pushers and worst management
Helpful (1",,2.0,,,,,,Doesn't Recommend,,Disapproves of CEO
Fri Feb 05 2021, Engineer,,Former Employee ,Good company,0,"Good benefits, best medical benefits
","Lacks many growth opportunities at the company
Helpfu",,3.0,,,,,,,,
Wed Jan 20 2021, Machine Learning Engineer,"San Diego, CA",Current Employee ,Good,0,"Good environment and salary, less work.
","Not so many project to do
Helpfu",,5.0,,,,,,,,
Thu Jan 21 2021, ATE Test Engineer,"San Diego, CA",Former Employee ,Great experience,0,"The entire team was amazing.
","not a single bad thing to say about them
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Wed Feb 03 2021, Staff Engineer,"San Diego, CA",Former Employee ,Great company,0,"Filled with quality people, ripe for innovation
","Management is not as good in some parts of the company
Helpfu",,4.0,3.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Systems Test Engineer,,Current Employee ,Great work,0,"Work life balance and pay
","boring work with no career growth
Helpfu",,5.0,4.0,4.0,3.0,2.0,5.0,,,
Tue Jan 19 2021, Senior Software Engineer,"San Diego, CA",Former Employee ,Good experience,0,"Work life balance is very good and learning experience too
","Too much Politics and too laid back
Helpfu",,5.0,,,,,,,,
Mon Jan 18 2021, Senior Staff Engineer,,Former Employee ,Great company,0,"Lots to learn. Private offices.
","Senior management lacks vision at times.
Helpfu",,5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 18 2021, Staff Engineer,"San Diego, CA",Current Employee ,Good company to work for,0,"Very technical Engineers
Good learning tools
Long tem goal
Good management
Innovation
","Too much micro management
work-life balance
thick middle management
repetitive work
Helpfu",,5.0,3.0,3.0,3.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Senior Director Human Resources,"San Diego, CA",Current Employee ,Great Place to Work,0,"Salary is competitive for the area, hours are manageable and I have ample leadership support. Benefits are also above average and the stock has sky rocketed.
","some jobs are understaffed, some of the buildings are outdated compared to other tech companies, business model is under constant attack.
Advice to Management
Keep looking for diverse income streams
Helpfu","Keep looking for diverse income streams
Helpfu",5.0,5.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Senior ASIC Engineer,,Current Employee ,QUalcomm,0,"good work, San diego is a good place
","work life balance is bad
Helpfu",,3.0,2.0,3.0,5.0,4.0,4.0,,,
Sun Jan 17 2021, Product Development,,Current Employee ,Get to learn new things,0,"Exciting work always working on new things
","none that can think of
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Software Engineer,,Current Employee ,Work Environment,0,"Folks who are technically sound and who can challenge you to grow and learn more
","Politicking here and there that you experience.
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021," Engineer, Senior Staff/Manager","San Diego, CA",Former Employee ,Not many options in San Diego,0,"Individual nice offices for staff level and above
","Inside politics due to regionalism
Advice to Management
Make sure you promote apolitical people
Helpfu","Make sure you promote apolitical people
Helpfu",3.0,3.0,2.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sun Jan 17 2021, Software Development Engineer (SDE),"La Jolla, CA",Current Employee ,personal feedback,0,"every thing is good for me
","nothing is bad for me
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Director,"San Diego, CA",Former Employee ,"Great technology, culture is not always welcoming",0,"Great technology and senior leadership
","every day is a long day
Helpfu",,4.0,1.0,2.0,4.0,5.0,,Approves of CEO,,
Sat Jan 30 2021, Senior Prodiuct Manager,"San Diego, CA",Current Employee ,Awesome Wireless Technologies Experience,0,"Technology company and awesome exposure to wireless ecosystem across multiple market segments
","Working hours never end, not a good work life balance.
Helpfu",,4.0,,,,,,,,
Sat Jan 16 2021," Product Manager, Staff",,Current Employee ,company with potential,0,"Great so far! no cons
","cant think of any cons
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
