date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Jan 13 2021, IT Systems Engineer,"Marlborough, MA",Current Employee ,IT Systems Engineer,0,"everything in the company is good
","the pension isn't offered that is only the negative part
Advice to Management
none everything is good beside pension
Helpfu","none everything is good beside pension
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Cyber Engineer,"El Segundo, CA",Current Employee ,Great Place to Work for,0,"Diverse technology opportunities in systems and software
","None to speak of as of yet
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Cyber Security Engineer,"Aurora, CO",Current Employee ,Pretty Good,0,"Benefits are great. Immediately vested in their 401k and able to receive other benefits upon hire, often provide lunch if you're stuck working weekends onsite, ability to move around to different programs within your field, amenities onsite like a nurse, gym, and cafeterias (when we aren't impacted by COVID), good pay, 120 hours of PTO per year, 6 weeks paid maternity leave
","Deadlines that often mean you have to work overtime to meet them. Covid has caused some issues that made it hard to receive thorough training
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Test Technician,,Current Employee ,Fantastic for growth potential,0,"Management effectively identifies talent and positions individuals to advance skills
","Executives taking lucrative retirement packages while decreasing workforce
Advice to Management
Keep on keeping on. You guys are great.
Helpfu","Keep on keeping on. You guys are great.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Intern,"McKinney, TX",Former Employee ,Not a bad tech internship,0,"There's a lot of good people working there
","Sometimes the work is slow at times
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Associate Director,"Hartford, CT",Current Employee ,Opportunities for advancement,0,"If you work hard, you can make opportunities to advance in the organization.
","As a large company, the first few years take a while to integrate and learn the business
Helpfu",,4.0,4.0,4.0,5.0,4.0,4.0,,,
Fri Feb 05 2021, Electrical Engineer,"El Segundo, CA",Current Employee ,Flexible and stable company,0,"Managers are flexible to an employee schedule. 9/80 or Friday flex wouldn’t make a sweat. No sign of laying off an engineer during Covid. The company is still growing and employees receive fair compensation.
","Big company. Take time and experience to grow career ladder
Helpfu",,4.0,5.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Electrical Engineer I,"McKinney, TX",Current Employee ,Great place to work,0,"Flexible work schedule, profit sharing available
","Engineers sometimes do pretty boring tasks
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Technical Writer,"McKinney, TX",Current Employee ,They practice what they preach,0,"Focus on diversity and inclusion. Bring your whole self to work, they say, and they mean it.
","Like any male-dominated industry, the company leaders are mostly white men. But they are actively working to change this.
Advice to Management
Value civilian experience as much as you value military experience. The commercial world is used to turning out products and services quickly.
Helpfu","Value civilian experience as much as you value military experience. The commercial world is used to turning out products and services quickly.
Helpfu",5.0,3.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Senior Electronic Technician,,Former Employee ,Raytheon is a good company to pursue your career goals,0,"The company allows people to be their own boss
","not enough flexibility in the work schedule
",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, OLP Associate,"Raleigh, NC",Current Employee ,Its ok,0,"They give good vacation packages
","really hard to move up based on solely your qualifications
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Software Engineer II,"Richardson, TX",Current Employee ,Salary is okay,0,"Flexible. Work on Hard problems.
","Cannot work from home. Salary not good compared to other companies.
Helpfu",,4.0,3.0,,,,,,,
Tue Feb 02 2021, Infrastructure Engineer,,Current Employee ,Work and life balance,0,"Nice people, respect to each other
","not at this time, will discover some
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Operations,,Current Employee ,Great benefits for young employees,0,"Employee Scholar Program funds further education and they will contribute to your 401K while you’re paying off your student loans.
","Overworked and hard to get notices.
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Software Engineer II,,Current Employee ,"Good pay, exciting jobs",0,"Hopefully if you fall under management like mine, you'll get to work on exciting challenging projects.
","It can be confusing having 3-5 supervisors.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, IT Director,"Denver, CO",Current Employee ,Great company,0,"Good pay, good benefits, great mission
","no cons at this time
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Senior Financial Analyst,"McKinney, TX",Current Employee ,Raytheon,0,"Great paying positions 
Great work environment
","Work life balance can suffer at times
Helpfu",,5.0,2.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
