date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Jan 28 2021, Software Engineer I,"Tucson, AZ",Current Employee ,ad,0,"Interesting projects to work on
","Security clearance takes a long time
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Electrical Engineer I,"Goleta, CA",Current Employee ,Decent First Job,0,"Location, Coworkers, Breadth of Projects
","Lack of Modern Work Perks
Helpfu",,5.0,3.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Principal Systems Engineer,"Aurora, CO",Current Employee ,Great company,0,"Good culture
Team collaboration 
Challenging work environment
","No cons at this time
Helpfu",,5.0,4.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Finance Analyst,"Farmington, CT",Current Employee ,They really care about employees,0,"Lots of way to improve yourself at the job, many resources
","There could be more younger people
Advice to Management
give more rewards
Helpfu","give more rewards
Helpfu",5.0,4.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Tech Information Specialist II,"Lawton, OK",Current Employee ,"Great company, a lot of travel",0,"Great company for vets, many experienced professionals, world and US travel, competitive pay
","Family might not be happy with all your away time.
Advice to Management
Spread out travel for employees with families.
Helpfu","Spread out travel for employees with families.
Helpfu",4.0,2.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Hardware Quality Engineer,"McKinney, TX",Former Employee ,Great place to work,0,"Great, fair place to work with good pay and benefits
","Not many cons for my position. Could be slow at times.
Advice to Management
None
Helpfu","None
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Director,"Woburn, MA",Current Employee ,Very transparent leadership with a clear vision.,0,"Values--Trust, Respect, Accountability, Collaboration and Innovation--are not just words. They are the code by which teams live.
","COVID-19 has taken on toll on the commercial air business, which has slowed some lines of work.
Helpfu",,5.0,4.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021,Anonymous,,Former Employee ,Big company with room to grow,0,"A big company with plenty of opportunities for growth. Good for entry-level employees looking to get a start in their careers.
","Average compensation plans and vacation time. Not welcome to cross-department transfers,
Helpfu",,4.0,3.0,3.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Software Engineer,,Current Employee ,Decent,0,"Work life balance is good.
","A lot of down time.
Environment and tooling is constantly slow.
Helpfu",,4.0,,,,,,,,
Sun Feb 07 2021, Cyber Engineer,"El Segundo, CA",Current Employee ,Great Place to Work for,0,"Diverse technology opportunities in systems and software
","None to speak of as of yet
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Cyber Security Engineer,"Aurora, CO",Current Employee ,Pretty Good,0,"Benefits are great. Immediately vested in their 401k and able to receive other benefits upon hire, often provide lunch if you're stuck working weekends onsite, ability to move around to different programs within your field, amenities onsite like a nurse, gym, and cafeterias (when we aren't impacted by COVID), good pay, 120 hours of PTO per year, 6 weeks paid maternity leave
","Deadlines that often mean you have to work overtime to meet them. Covid has caused some issues that made it hard to receive thorough training
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Test Technician,,Current Employee ,Fantastic for growth potential,0,"Management effectively identifies talent and positions individuals to advance skills
","Executives taking lucrative retirement packages while decreasing workforce
Advice to Management
Keep on keeping on. You guys are great.
Helpfu","Keep on keeping on. You guys are great.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Intern,"McKinney, TX",Former Employee ,Not a bad tech internship,0,"There's a lot of good people working there
","Sometimes the work is slow at times
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Associate Director,"Hartford, CT",Current Employee ,Opportunities for advancement,0,"If you work hard, you can make opportunities to advance in the organization.
","As a large company, the first few years take a while to integrate and learn the business
Helpfu",,4.0,4.0,4.0,5.0,4.0,4.0,,,
Fri Feb 05 2021, Electrical Engineer,"El Segundo, CA",Current Employee ,Flexible and stable company,0,"Managers are flexible to an employee schedule. 9/80 or Friday flex wouldn’t make a sweat. No sign of laying off an engineer during Covid. The company is still growing and employees receive fair compensation.
","Big company. Take time and experience to grow career ladder
Helpfu",,4.0,5.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Electrical Engineer I,"McKinney, TX",Current Employee ,Great place to work,0,"Flexible work schedule, profit sharing available
","Engineers sometimes do pretty boring tasks
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Technical Writer,"McKinney, TX",Current Employee ,They practice what they preach,0,"Focus on diversity and inclusion. Bring your whole self to work, they say, and they mean it.
","Like any male-dominated industry, the company leaders are mostly white men. But they are actively working to change this.
Advice to Management
Value civilian experience as much as you value military experience. The commercial world is used to turning out products and services quickly.
Helpfu","Value civilian experience as much as you value military experience. The commercial world is used to turning out products and services quickly.
Helpfu",5.0,3.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Software Engineer II,"Richardson, TX",Current Employee ,Salary is okay,0,"Flexible. Work on Hard problems.
","Cannot work from home. Salary not good compared to other companies.
Helpfu",,4.0,3.0,,,,,,,
Thu Feb 04 2021, Systems Safety Engineer,"Tucson, AZ",Current Employee ,"Good company, Happy to be apart of the team",0,"Flexible work schedule when needed
Good work-life balance
Good initial salary for new hires
The job is very complicated in a rewarding way
There is flexibility to move between programs if you are not critical to the program (try not work on a program for an extended period of time if you don't like it or accept responsibilities that will make you hard to replace, so be vocal and helpful to other programs)
Lots of oppurtunies to grow if you feel comfortable learning on the job
","Pay raises are not competitive but are guaranteed yearly
Actual training for the job is next to non-existent so it is a lot of trial by fire if you don't have a good mentor (great way to learn but you need to accept you will fail a lot initially and it is expected that you will fail but that is not properly communicated to most people so it can really wear you down when it feels like you are doing little correctly. Just remember, if they cared they would train you properly and since they didn't you just need to try to do your best and not get emotionally tied to the results of your work. I feel this is how everyone starts out in safety. This is a career that you can spend 5 years in and still only know 70% of what is going on.)
Great place to get your foot in the door but to receive significant raises you will likely need to company hop around (probably true for all defense contractors)
Advice to Management
They know what is up. There is just no will to support new hire training or push for methodology standardization (I am not pushing to modernize legacy program methodologies but to show how it should be done if funding allowed us to do it properly to the most current Military Standards). If training cannot be provided we can atleast provide gold plated examples for people to reference.
Helpfu","They know what is up. There is just no will to support new hire training or push for methodology standardization (I am not pushing to modernize legacy program methodologies but to show how it should be done if funding allowed us to do it properly to the most current Military Standards). If training cannot be provided we can atleast provide gold plated examples for people to reference.
Helpfu",4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Senior Cyber Security Engineer II,"Aurora, CO",Current Employee ,Great company to work for!,0,"Room for growth, great benefits...$25K a year towards education!
","Easy to get lost in the mix
Helpfu",,5.0,4.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Senior Electronic Technician,,Former Employee ,Raytheon is a good company to pursue your career goals,0,"The company allows people to be their own boss
","not enough flexibility in the work schedule
Advice to Management
A flexible work schedule is important for work-life balance
Helpfu","A flexible work schedule is important for work-life balance
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, OLP Associate,"Raleigh, NC",Current Employee ,Its ok,0,"They give good vacation packages
","really hard to move up based on solely your qualifications
Helpfu",,4.0,,,,,,,,
Tue Feb 02 2021, Infrastructure Engineer,,Current Employee ,Work and life balance,0,"Nice people, respect to each other
","not at this time, will discover some
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Operations,,Current Employee ,Great benefits for young employees,0,"Employee Scholar Program funds further education and they will contribute to your 401K while you’re paying off your student loans.
","Overworked and hard to get notices.
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Software Engineer II,,Current Employee ,"Good pay, exciting jobs",0,"Hopefully if you fall under management like mine, you'll get to work on exciting challenging projects.
","It can be confusing having 3-5 supervisors.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, IT Director,"Denver, CO",Current Employee ,Great company,0,"Good pay, good benefits, great mission
","no cons at this time
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Senior Financial Analyst,"McKinney, TX",Current Employee ,Raytheon,0,"Great paying positions 
Great work environment
","Work life balance can suffer at times
Helpfu",,5.0,2.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Systems Engineer I,"Springfield, VA",Current Employee ,Great Starting Company,0,"Opportunity to bolster a career fresh out of university.
","None that I can think of at this time.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Technician,,Former Employee ,Great place but needs better benefits,0,"Work life balance is great
","Benefits are expensive and lacking usefulness
Helpfu",,4.0,,,,,,Recommends,,No opinion of CEO
Wed Feb 03 2021, Software Engineer,"Brooklyn, NY",Current Employee ,Good,0,"The work is interesting. The company really cares about its employees!
","Internal services/technologies are old and outdated, as the company is in transition and is trying reinvent itself to have a more modern digital footprint. I often feel like the old legacy tech fights me, getting in the way of doing my work rather than helping me get my work done.
Helpfu",,4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Human Resources Partner,"Tucson, AZ",Current Employee ,Great workalike balance as well as training/development opportunities,0,"Competitive pay, training opportunities, rotational opportunities for breadth of experience
","Perception that growth can be slower
Helpfu",,4.0,,,,,,,,
Tue Feb 02 2021, Security Consultant,"Hartford, CT",Current Employee ,Good company to work for,0,,"ltant in Hartford, CT
I have been working at Raytheon Technologies full-time
Pros
Pay, Work life balance, Job advancement
Cons
None that I can think of
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Finance Manager III,"Arlington, VA",Current Employee ,Bureaucratic but great leadership,0,"Exciting variety of job opportunities all within the company. Great people. Work / life balance
","Advancement and comp limited by process-heavy, one-size-fits-all policies and culture
Helpfu",,4.0,5.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sun Jan 31 2021, Financial Analyst,"Dallas, TX",Former Employee ,decent,0,"good place to work. plan to work hard
","not much work life balance.
Helpfu",,4.0,2.0,3.0,3.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Mechanical Engineer I,,Current Employee ,Good place to be an engineer,0,"Good place to work. Raytheon scholar program is impressive.
","Can be siloed into your function
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Aerospace Technician,"Windsor, CT",Current Employee ,Raytheon honest review,0,"great pay and competitive benefits
","work comes in waves so there will be busy time and there will be down time.
Helpfu",,4.0,5.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Software Engineer,"El Segundo, CA",Current Employee ,Software Engineer 1 Salary,0,"Benefits, Clearance, Salary, Flexible hours, Helpful teammates
","Legacy technology and infrastructure, sometimes outdated
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,,,
Sat Jan 30 2021, Electrical Engineer,"Marlborough, MA",Current Employee ,Good Company too much red tape.,0,"They work a 9/80 schedule and you get every other friday off.
","Too Much Red Tape, can make it difficult to get simple information. Need to know basis.
Advice to Management
Better Communication
Helpfu","Better Communication
Helpfu",4.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Fri Jan 29 2021, Finace Analyst,,Former Employee ,Working schedule,0,"9/80 schedule every other Friday off
","No cons to think of
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Project Manager,"Bethesda, MD",Former Employee ,Great Place,0,"Allowed to do engaging and creative work
","Make sure you are a good fit and it will work out well
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Asset Management,"El Segundo, CA",Former Employee ,asst management,0,"Love working for the COMPANY
","no issues for me love working for Raytheon in Texas
Helpfu",,4.0,4.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Thu Jan 28 2021, Materials Manager,,Current Employee ,Handle material,0,"Very easy job and friendly environment
","Confusing to get around the facility
Helpfu",,4.0,,,,,,,,
Thu Jan 28 2021, Embedded Software Engineer Staff,"Pasadena, CA",Current Employee ,Good place,0,"Many opportunities for growth and advancement.
","Lots of politics in leadership.
Helpfu",,4.0,3.0,3.0,5.0,4.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Fri Jan 29 2021, Electrical Engineer I,"Dallas, TX",Current Employee ,Great Company,0,"Great Benefits and Exciting technology
","Rigid promotion system where performance is not always rewarded.
Advice to Management
Promote the best people. Not the people who have the most years served
Helpfu","Promote the best people. Not the people who have the most years served
Helpfu",4.0,5.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Jan 26 2021, Software Engineer,,Current Employee ,Great,0,"Great workplace for software engineers
","None, keep up the good work
Helpfu",,5.0,,,,,,,,
Tue Jan 26 2021, Senior Integration Analyst,"Cedar Rapids, IA",Former Employee ,OK - came in through aquisition,0,"Seemed to be OK. Only worked there for a few months. We were part of a merger.
","They implemented a 10 % pay cut company wide due to Covid impact on Aviation.
Helpfu",,5.0,,,,,,,,
Tue Jan 26 2021, Systems Engineer I,"Woburn, MA",Current Employee ,Entry Level Raytheon,0,"Very flexible work hours, friendly work environment
","Have to work in office due to nature of government work
Helpfu",,5.0,,,,,,,,
Tue Jan 26 2021, Senior Associate,"Hartford, CT",Former Employee ,Good company to work for,0,"There are a lot of pros to working for Raytheon Technologies. There are good career advancement opportunities, as well as good benefits - both health and other, such as education, etc.
","There has been a lot of changes at the company recently, making a more uncertain workplace for the employees.
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
