date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Dec 16 2020, Pharmacy Assistant,"Sedro-Woolley, WA",Current Employee ,great company,0,"theres so many pros to this job you really get to know your coworkers and, patients.
","i honestly couldnt give you one con about his job.
Helpfu",,5.0,,,,,,,,
Wed Feb 10 2021, Front End Associate/Cashier,"Cherry Hill, NJ",Former Employee ,Flexible,0,"I was going to school while working here and I appreciated how flexible they were with my schedule
","Only downside I can think of was that the stock was frequently mismanaged so that we would have a huge overload of stock unaccounted for in the back room. I worked at 2 different stores and this happened at both of them
Advice to Management
Have more people available to work on stock related issues
Helpfu","Have more people available to work on stock related issues
Helpfu",4.0,5.0,4.0,5.0,4.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Sun Feb 07 2021, Pharmacist,"Bakersfield, CA",Former Employee ,Ok company,1,"Pay is decent compared to other retails
","Constant changes in management make it difficult to adapt at times
Helpful (1",,4.0,4.0,3.0,5.0,4.0,4.0,,,
Mon Feb 08 2021,Anonymous,,Current Employee ,I enjoy helping people live healthier lives and building excellent customer relationships,0,"Its close to home, my customers/patients have come to trust me and appreciate all the hard work I do for them
","Long standing hours, limited ability to work up to my potential. Heavy workloads and low budgets for employee hours.
Advice to Management
Increase the budget so more employees can get tasks completed together. Monitor pharmacists workflow and habits.
Helpfu","Increase the budget so more employees can get tasks completed together. Monitor pharmacists workflow and habits.
Helpfu",4.0,5.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,
Tue Feb 09 2021, Cashier,"Victorville, CA",Current Employee ,It’s ok.,0,"Some mangers are really great.
","Some managers like to micromanage.
Helpfu",,4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Feb 02 2021, Clerk,"New York, NY",Former Employee ,Clerk,1,"Good environment
Flexibility 
Meet new people 
Team orintaed
","Standing all day
Disrespectful customer 
Dangerous surroundings community
Helpful (1",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Thu Feb 04 2021, Technician,"Flint, MI",Former Employee ,technician,0,"best company to work for
","It was not managed well enough
Helpfu",,5.0,5.0,4.0,4.0,5.0,5.0,,,
Tue Feb 02 2021, Pharmacist,,Current Employee ,Good place,0,"smaller chain, established neighborhood stores
","previous stock issues and all the merger details
Helpfu",,4.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Pharmacy Manager,,Current Employee ,Salary,0,"Better than walgreens and cvs
","Lot of work load.can over come with experience
Advice to Management
Na
Helpfu","Na
Helpfu",4.0,3.0,3.0,5.0,4.0,4.0,,,
Sun Jan 31 2021, Pharmacist,"Victorville, CA",Former Employee ,GREAT ENVIRONMENT,0,"Better atmostphere compared to other retail chains. If you want less stress, i would recomment going to rite aid. They do have two breaks and less stress. Overall, this is a great place to work at. My DM is pretty friendly. I like him.
","Lower pay, but there are lots of room to grow
Advice to Management
Better response to covid vaccine scenarios
Helpfu","Better response to covid vaccine scenarios
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Pharmacy Technician,,Former Employee ,Great company,0,"Adaptable schedule to daily life
","Baseline pay compared to other employers
Advice to Management
Great management
Helpfu","Great management
Helpfu",4.0,5.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Fri Jan 29 2021, Pharmacy Technician,"San Mateo, CA",Current Employee ,Pharmacy Tech,0,"Its good
","Super 
busy most of the time
Helpfu",,5.0,,,,,,,,
Sat Jan 30 2021, Pharmacy Technician,"North Babylon, NY",Current Employee ,best job i’ve had,0,"great management, nice customers, good pay, good benefits, good hours, union
","no downsides to working here at all
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Pharmacy Technician,,Current Employee ,Working at rite aid,0,"Nice schedule to work around
","Could pay more but still decent
Helpfu",,5.0,4.0,4.0,4.0,4.0,3.0,,,
