date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 09 2021, Lab Technician,,Former Employee ,Great,0,"Friendly work environment, paid well.
","corporate environment and the job was repetitive
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Product Support Agent,,Former Employee ,Amazing,0,"Great values and welcoming environment
","Lots of material, travel time
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Third Key,,Former Employee ,Easy place to work,0,"Straight forward job really great for students
","Customers can be very particular
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Mixer,,Former Employee ,Great for the area.,0,"Great benefits. Great pay. Great schedule.
","The pay is for coming in contact with VOC's. Long term exposure is not recommended.
Helpfu",,4.0,1.0,2.0,2.0,2.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Assistant Manager,"Chicago, IL",Former Employee ,Great place to work right out of college,0,"Paid well, fun, fast paced
","The customer is always right and sometimes it can be frustrating
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Senior Financial Analyst,,Current Employee ,Salary,0,"Good Benefits, environment, and performance.
","Don't have a competitive salary
Helpfu",,4.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Sales Associate,,Current Employee ,Content,0,"Pay, flexible, useful information, good benefits
","There really isn’t anything bad other than dealing with selective customers.
Helpfu",,4.0,4.0,5.0,5.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Sun Feb 07 2021, Sales Associate,"Lebanon, OH",Current Employee ,Great,0,"I love it here so much.
","I have no complaints at all.
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, District Sales Manager,"Chicago, IL",Current Employee ,Great Place To Work,0,"Big Company with family feel
","Average Base Salary seems to be lower than like companies
Advice to Management
Develop and promote more within company
Helpfu","Develop and promote more within company
Helpfu",5.0,4.0,4.0,3.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Store Manager,"Kansas City, MO",Current Employee ,I like it,0,"Good job and it pays well
","Customers can be rude sometimes
Helpfu",,5.0,5.0,,,,,,,
