date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 03 2021, Senior IT Security Analyst,,Current Employee ,Great Place to work,0,"Great people to work with, excellent worklife balance
","Commute from the suburbs is rather long
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Intern,,Former Employee ,Great Company!,0,"Compensation, Benefits, Workforce, Atmosphere, Everything!
","the particular location i worked at required a long commute.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,
Mon Feb 08 2021, General Manager,"Atlanta, GA",Current Employee ,Stable company,0,"Always in demand by customers
","Large organization with layers of politics
Helpfu",,4.0,,,,,,,,
Wed Jan 20 2021, Forecast Analyst,,Current Employee ,Great Company,0,"Great company that obviously cares about employees
","Since employees are happy with the company and often stay a long time (which is a good thing), career growth may be slower here than elsewhere because there are so many good and experienced candidates for positions
Helpfu",,5.0,,,,,,,,
Tue Jan 19 2021, Transmission Construction,,Current Employee ,I am a truck operator/ transmission construction guy,0,,"ruction 
I have been working at Southern Company full-time
Pros
They take care of their employees
Cons
Away from wife 3 days out the week. Could be pro or con
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Customer Experience Trainer,"Naperville, IL",Current Employee ,Pretty good company,0,"Pay is pretty good, PLENTY of PTO! New employees get 3-4 weeks after probation
Good work/life balance (depending on your position).
Lots of opportunity to network and meet other people in other departments (even during the pandemic)
","Hard to move around due to workplace politics :(
Also, some departments rely heavily on you to be there. There's no backup plan if you aren't there. Although you have the PTO, you can't ever really use it because you have to be there....For those that actually care about their job, it's a lot of pressure and stress to come to work and never miss a day.
Advice to Management
Allow more opportunities for other candidates you may not know. It's not fair for people to apply for a position when you already know who you're going to select for the position. That's why people leave good companies....too hard to move up.
Helpfu","Allow more opportunities for other candidates you may not know. It's not fair for people to apply for a position when you already know who you're going to select for the position. That's why people leave good companies....too hard to move up.
Helpfu",4.0,4.0,4.0,5.0,2.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 05 2021, Engineering Co,"Birmingham, AL",Former Employee ,Good Experience,0,"Good experience for a co-op. Good people.
","Big company feel, if you prefer the family feel of small company, then this isn’t for you.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Tue Jan 05 2021, Director,"Birmingham, AL",Current Employee ,Operations,0,"Work/ life balance
Work force Diversity
","Slow to react to change in environment
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Nde Specialist,"Waynesboro, GA",Former Employee ,Good Company,0,"Pay and bonus are decent
","Managers are hit and miss
Advice to Management
Listen to your employees
Helpfu","Listen to your employees
Helpfu",4.0,4.0,2.0,4.0,4.0,1.0,Recommends,Positive Outlook,
Sun Jan 03 2021, Director,,Current Employee ,Great place to work,0,"Excellent Benefits and Bonus Structure
","The Business is Slow to Change
Helpfu",,5.0,4.0,5.0,3.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
