date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 10 2021, Ramp Agent/Baggage Handler,"Columbus, OH",Current Employee ,Great company to work for,0,"Great benefits, Great pay, Easy work, Great company culture
","Workloads can get heavy, Union is way too political
Advice to Management
Keep going and never forget the little guy
Helpfu","Keep going and never forget the little guy
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Flight Attendant,"Dallas, TX",Current Employee ,Great Benefits,0,"Has a warm and family atmosphere
","There are too many departments
Advice to Management
Cut down on the red tape
Helpfu","Cut down on the red tape
Helpfu",5.0,4.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Specialist,,Current Employee ,Amazing Company!,0,"Really great atmosphere and culture
","Lower than average pay for corporate roles
Helpfu",,5.0,5.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Flight Attendant,"Washington, DC",Current Employee ,Best airline ever!,0,"Amazing experience with great Employees
","Isn't anything negative to say
Advice to Management
Would love an experience to work with.
Helpfu","Would love an experience to work with.
Helpfu",5.0,4.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Operations,"Houston, TX",Current Employee ,Ops,0,"Good company to work for, for 401K match, flexible
","Operations is less of a team environment than other positions, this could also be a positive.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Mon Feb 08 2021, Ramp Agent,"Indianapolis, IN",Former Employee ,i loved my job,0,"culture, people, hours, friendships, pay
","the only bad thing about working on the ramp is sometimes the weight of the bags/freight (and the quantity because SWA bags fly free) and the weather conditions.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Customer Service Supervisor II,"Dallas, TX",Current Employee ,LUV everything about the company,0,"Benefits, Coworkers, CEO Gary Kelly
","The shifts can be difficult to get used to. Seniority can really bite.
Advice to Management
Accept and promote those with education and experience
Helpfu","Accept and promote those with education and experience
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Aircraft Technician,,Current Employee ,Great Company,0,"Challenging, rewarding, good pay, good benefits, nice environment
","Third shift will turn you into a zombie
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Performance Specialist,"Dallas, TX",Current Employee ,Great Company,0,"Great culture and free flights.
","The pay can be a bit low for comparable roles outside the travel industry, but the benefits make up for it.
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Thu Feb 04 2021, Manager,"Dallas, TX",Current Employee ,The Proof is in the Pudding,0,"Great culture, people and leadership
","Antiquated systems that require investment
Helpfu",,5.0,5.0,5.0,3.0,3.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Thu Feb 04 2021, Flight Attendant,,Former Employee ,Great Company,0,"Work life balance, benefits, compensation
","Mandatory overtime for ground employees
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Wed Feb 03 2021, GSE Equipment Manager/Supervisor,"Denver, CO",Former Employee ,Best Airlines to work for.,0,"employees are treated with respect, not just a number but a real person
","Airline business is 24/7 365days a year.
Helpfu",,5.0,2.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Wed Feb 03 2021, Ramp Agent,"Las Vegas, NV",Former Employee ,Luv Southwest,0,"Good union, travel benefits, flexible hours, like a big family
","cliques within work groups, high supervisor turnovers
Advice to Management
Needs less management personnel
Helpfu","Needs less management personnel
Helpfu",5.0,4.0,4.0,5.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 01 2021, Category Manager,"Dallas, TX",Current Employee ,Great Place to Work!,0,"Love this organization as a whole. The culture is unbeatable. Everything the organization stands for is for their customers and employees. I've never felt more welcome at any other company.
","Typical ""Corporate"" struggles, response times, etc.
Advice to Management
Keep up the great work.
Helpfu","Keep up the great work.
Helpfu",5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, Records Analyst,"Dallas, TX",Current Employee ,Awesome place to work,0,"Friendly Staff awesome core values
","Hard to get in once your in it get better
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Specialist,,Current Employee ,Truly a best place to work!,0,"LUV working at SWA - the People here are second to none!
","Hard to say, it's the best place I've ever worked!
Helpfu",,5.0,,,,,,Recommends,,Approves of CEO
Thu Jan 28 2021, Proofreader,"Las Vegas, NV",Current Employee ,Do you like to travel...,0,"Airline industry provides the best travel benefits
","No cons come to mind
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Thu Jan 28 2021, Above the Wing Supervisor,"Oakland, CA",Current Employee ,Great company,0,"Great benifts, caring managers, lots of promotion/ movement if wanted
","Long hours, take on lots of extra work when needed
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Analyst,,Current Employee ,"Best Company To Work For, Hands Down",0,"The culture is REAL, the executive leaders truly CARE
","Campus based middle/upper management leaders (in Technology) do not have culture as a priority, they don't participate or initiate any culture events, or speak the ""language"" (mission, vison, purpose, values). The individual contributors and executive leaders hold the culture together.
Advice to Management
Are your leaders strapped with priorities that do NOT include culture/values? Help them prioritize culture because that's what ICs get excited about and get motivated by.
Helpfu","Are your leaders strapped with priorities that do NOT include culture/values? Help them prioritize culture because that's what ICs get excited about and get motivated by.
Helpfu",5.0,4.0,5.0,5.0,3.0,4.0,Recommends,,Approves of CEO
Wed Jan 27 2021, Flight Attendant,"Los Angeles, CA",Current Employee ,Southwest,0,"Wonderful company that takes care of their employees
","Currently with Covid flying is more stressful for people but other than that I have no complaints... I’m sure other airlines understand this exactly.
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Customer Relations,,Current Employee ,Great Company,0,"Pros are the employee benefits
","The pay could be improved
Helpfu",,5.0,,,,,,,,
Tue Jan 26 2021, Finance,,Current Employee ,I like it,0,"Great working environment, friendly people, good culture
","There are really no cons
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Flight Attendant,"Dallas, TX",Current Employee ,Flexible Work,0,"Great benefits and flexible schedule
","Must be away during nights, weekends, and holidays
Helpfu",,5.0,5.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Tue Jan 26 2021, Material Specialist,,Former Employee ,Overall Great,0,"great benefits, great job opportunity great pay
","Management could be better on outlooks and the way they assess certain problems
Advice to Management
Listen to the employees we are just trying to help the company
Helpfu","Listen to the employees we are just trying to help the company
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Customer Service,"Dallas, TX",Current Employee ,Good,0,"Good people to work with, spirit
","Lower pay to start out with
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Customer Service Supervisor,"Charlotte, NC",Former Employee ,The BEST Company to work for.,0,"Great flight privilege; Great Benefits; Flexibility
","Dealing with irate customers, delay/canceled flights
Advice to Management
Need to learn the Golden Rule and Southwest Culture. No Favoritism
Helpfu","Need to learn the Golden Rule and Southwest Culture. No Favoritism
Helpfu",4.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Analyst,"Dallas, TX",Former Employee ,The hours were standard in-person office hours,0,"The hours were standard in-person office hours
","The position was in-person rather than remote
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Crew Scheduler,"Dallas, TX",Current Employee ,It's a great job but some people suck,0,"benefits and pay are good
","nepotism and very liberal environment, can be toxic if you aren't in the in crowd
Helpfu",,4.0,3.0,3.0,3.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sun Feb 07 2021, Flight Attendant,,Former Employee ,Great place,0,"Excellent work group, flexible schedule
","Can be a lonely job, schedule is erratic, you will work weekends and holidays
Helpfu",,4.0,4.0,5.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Flight Attendant,"Oakland, CA",Former Employee ,Best contract,0,"Good pay. Company culture. Flexible schedule.
","Very few exotic overnights. Mostly domestic airport hotels.
Helpfu",,5.0,5.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Business Consultant,"Dallas, TX",Former Employee ,Best Place to Work,0,,"ltant in Dallas, TX
Recommends
Neutral Outlook
Approves of CEO
I worked at Southwest Airlines full-time for more than 8 years
Pros
Work / Life Balance, Pay and Benefits, Culture
Cons
Slow to Change, Accountability with Low Performers
Advice to Management
Keep growing
Helpfu","Keep growing
Helpfu",5.0,5.0,4.0,5.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Senior Data Scientist,"Dallas, TX",Former Employee ,Data Scientist Southwest,0,"As an employee you get flights when there is room.
","Senior management can be very cliquey. Not room for open conversation.
Advice to Management
Make sure you can have open conversations. Good Data Scientists won't stay because there are opportunities elsewhere.
Helpfu","Make sure you can have open conversations. Good Data Scientists won't stay because there are opportunities elsewhere.
Helpfu",2.0,3.0,3.0,5.0,3.0,3.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Flight Attendant,,Current Employee ,The best place to be!,0,"Culture is like no other!
","None that I can think of!
Helpfu",,5.0,,,,,,,,
Tue Jan 19 2021, Flt Attendant,"Phoenix, GA",Current Employee ,SWA GREAT,0,"good place to work great
","there is none i can think of
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
