date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Dec 23 2020,Anonymous,,Former Employee ,Great place to work,0,"It is a great job to maintain while in college they work with your schedule and have great benefits
","It can be a bit tiring lots of physical movement but a great place to work.
Helpfu",,5.0,,,,,,,,
Tue Jul 22 2014, Barista,,Former Employee ,Great company if you can handle it,927,"The benefits are out of sight. I was offered Starbucks stock after my first year, as well as 401k through Fidelity, and a superb Blue Cross Blue Shield health insurance plan. You can cover your whole family with that plan, and it can include domestic partners. I got a pound of free coffee every week and free coffee all day (although I think that was specific to my store, which bent the rules). There's also an Employee Assistance Hotline which you can call if you're having issues in your personal life. And HR is really responsive--they won't see you as a troublemaker if you're legitimately having an issue. They will handle it.

Also, sexual orientation and gender identity are included in their anti-discrimination policy. None of the gay or lesbian people on my staff got crap for it, even though about half the staff was quietly conservative Christian and Republican.

If you're a people person, you develop relationships with the regulars and it's fun to make their day. I felt it was pretty rewarding to make drinks. I loved the artistic side of it. And again, the free coffee...just awesome. 

They're also usually pretty flexible about scheduling, so it's ideal for if you're working two jobs or are a student. I worked with people in their 50's who had their own careers, but worked part-time at Starbucks for the health insurance. 

The vacation time system is also pretty sweet. I worked with a guy who was there for 10 years and took like a month vacation to his home country. 

The staffs can be really tight...or they can be really vicious. But a spirit of teamwork is definitely encouraged. And exemplary work is recognized.

In an 8-hour shift you get three breaks: one 30-minute clock-out lunch, and two 10-minute on the clock breaks.

You'll also occasionally get those amazing customers and you live for seeing them. We had four customers who every year each put 100 bucks in our tip jar around Christmas. Sometimes those people can make your day with the things they say and do.
","If you work at a store worth their salt they will work you to the bone. Especially in a large or high-volume store there is so much to do, so much to clean. A morning shift person will have the absolutely insanity of a morning rush, but an evening person should be expected to handle evening rushes with a limited staff as WELL as get the place spotless in what I believe is not a reasonable time. We could get the place clean by 10:45, all right--if we broke the health and corporate rules about when to tear things down. And of course if that was ever found out we were in deep. And if we went over 10:45 we were also in trouble. Management sometimes has some very unrealistic ideas about what the job actually entails and what rules and boundaries should go with that.

The pay in my state starts near minimum wage. The ceiling for a barista is $10/hr, which you hit when you've been there about five years. But tips help, and some high-volume affluent stores will have tips up to $4/hr.

There's also a tendency to have fanatical management. Other ""kindly"" corporations like Whole Foods have this too--the managers drink the Kool-Aid and worship the company. I once spoke with my manager because my schedule was being changed with less than 24 hours notice, and that was against state law. She got this crazed look in her eye and spat ""Starbucks law goes above state law!"" But that's only a tendency. There are some pretty cool managers out there. Mine was insane.

The customers are spoiled rotten so they also get kind of unreasonable about their Starbucks. They will stand there and demand that you make a drink five times because there's still foam on that latte and they said NO foam, not LIGHT foam. This is a business model of Starbucks': everyone is special, and we will bend the rules for everybody. And I've had people scream at me and call me a (b) and promise me that they would make me lose my job. I've also had stuff thrown at me. But, that's also just customer service.

These last few years Starbucks has been obsessed with selling, too. There's a lot of pressure on the staff to make sure people go home with $15 bags of coffee and sub-par espresso machines. It's hard to maintain the relationships they want us to maintain while trying to sell stuff.

Overall, if you can put up with the customers and the physical demand, and if benefits are more important than income, do it. It's rewarding in its own way. Wear insoles.
Advice to Management
Drop the obsession with sales. You're damaging customer relationships and making yourself look like ""Just another corporation.""
Helpful (927","Drop the obsession with sales. You're damaging customer relationships and making yourself look like ""Just another corporation.""
",4.0,4.0,3.0,5.0,5.0,2.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Store Manager,"Boston, MA",Former Employee ,"Great Culture, Tough Schedule",0,"Great people, supportive and inclusive environment
","Schedule can be grueling and the job can be demanding
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,,
Wed Feb 10 2021, Barista,"Golden, CO",Current Employee ,The Perfect Part Time Employment,0,"I love working here! The managers check in with you almost every day to make sure you are okay, feeling well and are happy with your role. They have a very detailed training process that I loved and will continue to teach you with compassion throughout your time there.
","I do think that some of the shift supervisors could use some more support from the store managers. Some of them feel a little overwhelmed and deflect it to you.
Helpfu",,5.0,5.0,5.0,5.0,3.0,4.0,Recommends,Positive Outlook,
Wed Feb 10 2021, Barista Trainer,,Current Employee ,Great Learning Opportunity,0,"Folks at Starbucks are accepting and willing to carry their weight, and communicate!
","High turnover rate, low tips, can feel very corporate
Helpfu",,5.0,,,,,,,,
Wed Feb 10 2021, Barista,,Former Employee ,Barista,0,"Great part time job while in school.
","Early morning shifts, but a necessary evil with my school schedule.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Wed Feb 10 2021, Shift Supervisor,"New York, NY",Former Employee ,Good company,0,"Good hours fun environment to work
","Need better work life balance
Advice to Management
Connect more with staff and management
Helpfu","Connect more with staff and management
Helpfu",4.0,2.0,3.0,3.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Barista,"San Leandro, CA",Current Employee ,Great Benefits. Experience depends on individual store needs.,0,"Great benefits, great coworkers, fast paced
","Sharing a tiny space with a lot of people. Staying on bar for hours at a time. Manager prioritizing customer connections over employees.
Advice to Management
Listen to your baristas more. High volume stores are held at too high a standard with customer connections. We don't always have time to have conversations with customers when our wait time is half an hour. Expanding the bar area in smaller, high volume stores would enable more baristas to work more efficiently.
Helpfu","Listen to your baristas more. High volume stores are held at too high a standard with customer connections. We don't always have time to have conversations with customers when our wait time is half an hour. Expanding the bar area in smaller, high volume stores would enable more baristas to work more efficiently.
Helpfu",4.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 09 2021, Barista,,Current Employee ,:),0,"good hours, amazing benefits including free drinks, free whole bean coffee, access to mental health and counseling cervices, benefits
","little pay for the amount of work you have to do, rude customers
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Barista ,"Breezewood, PA",Former Employee ,Great Place to Work,0,"Flexible schedule, fun, fast paced work environment
","None that I can think of
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Store Manager,"Philadelphia, PA",Current Employee ,Great place,0,"Compensation, diversity, economics, values, cleanliness
","There are no cons to add
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Barista,"Fort Lauderdale, FL",Former Employee ,Great place to work with awesome environment,0,"You'll always come across great people
","Your feet are going to hurt after your shift, but you get used to it
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Barista,"San Francisco, CA",Former Employee ,Barista Review,0,"Great people who work there
","Beginning to work there, you get the worst schedule
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Shift Supervisor,,Current Employee ,Great place to work,0,"Great management 
","stent hours
Educational opportunities
Cons
Corporate greed 
Labor is sometimes not consistent
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Barista ,"Westlake Village, CA",Former Employee ,Cashier,0,,"stent schedule, fast paced environment, free food/drinks, fun coworkers
Cons
aspiring managers can create a political and toxic environment and be rewarded for it.
Advice to Management
Watch how some people act when they think they aren't being watched.
Helpfu","Watch how some people act when they think they aren't being watched.
Helpfu",5.0,5.0,4.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Batista/Partner,"Auburn, AL",Current Employee ,Great experience!,0,"Good benefits, good pay, decent scheduling
","Rotten customers on occasion, understaffed at certain locations
Advice to Management
Hire good managers
Helpfu","Hire good managers
Helpfu",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Barista,,Former Employee ,Nice but could’ve been better,0,"Really nice and helpful staff
","Equipment was broken during my entire employment so we couldn’t make most drinks
Helpfu",,4.0,2.0,4.0,4.0,3.0,3.0,,,
Tue Feb 09 2021, Currently Unemployed,"Chicago, IL",Current Employee ,Is what it is,0,"Coffee perks and part-time benefits
","Customers. %25 of customers always crabby.
Helpfu",,4.0,,,,,,,,
Tue Feb 09 2021, Barista ,"Boston, MA",Former Employee ,"Great company, hard job",0,"Kind co-workers, amazing benefits, free coffee during shifts, great food-service/customer service experience
","Customers can be very demanding, long hours, early shifts, required to put in a LOT of work during peaks in order to keep up with drink orders
Helpfu",,4.0,2.0,4.0,5.0,4.0,4.0,Recommends,,
Tue Feb 09 2021, Barista ,"Jacksonville, FL",Former Employee ,It’s ok,0,"Not too difficult work itself, good coworkers, decent enough environment
","Corporate is it of touch with the realities of working the floor, high expectations, and horrible customer expectations
Advice to Management
Stop giving the customers so much freedom, or pay the partners way better
Helpfu","Stop giving the customers so much freedom, or pay the partners way better
Helpfu",4.0,4.0,3.0,4.0,4.0,3.0,Disapproves of CEO,,
Tue Feb 09 2021, Barista,"Phoenix, AZ",Current Employee ,Great Benefits- Okay Pay,0,"Fun environment with amazing people
","Hard work for small pay
Helpfu",,4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Shift Supervisor,"Columbia, SC",Current Employee ,Love this job,0,"free coffee, great co-workers, and fun
","long hours, low pay, irritable customers
Helpfu",,4.0,,,,,,,,
Tue Feb 09 2021, Shift Supervisor,"San Antonio, TX",Current Employee ,It’s good,0,"The benefits that they provide.
","The busy peak hours and some customers
Advice to Management
Higher pay
Helpfu","Higher pay
Helpfu",4.0,4.0,5.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Shift Supervisor,"Portland, OR",Former Employee ,It can be what you make of it,0,"Tips can be good. Starting pay is often above minimum wage. LGBTQ+ friendly.
","Atmosphere can be very different from store to store. There is usually an ""us vs them"" mindset between baristas and store managers so shift supervisors are often caught in the middle.
Advice to Management
Don't try to change the way your employees work if its working well.
Helpfu","Don't try to change the way your employees work if its working well.
Helpfu",4.0,4.0,4.0,3.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 09 2021, Barista,,Former Employee ,Barista Review,0,"Company Culture and 
Benefits offered
","Poor management in some locations
Helpfu",,4.0,,,,,,,,
Tue Feb 09 2021, Barista,"Austin, TX",Current Employee ,coworkers make it worth it,0,"Benefits - so much free coffee, and coworkers with good senses of humor
","Customers can be terrible when they have to wait longer than a minute for their coffee, or if we run out of stock in something, cleaning is rough, sometimes employees are hired without being well-screened and without good attitudes or work ethics, sometimes people are put into management positions when they are not good quality leaders.
Advice to Management
please ask employees and peers before promoting someone to a management position, I had several supervisors and managers who totally cracked under pressure, held grudges, and had negative attitudes
Helpfu","please ask employees and peers before promoting someone to a management position, I had several supervisors and managers who totally cracked under pressure, held grudges, and had negative attitudes
Helpfu",4.0,3.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 09 2021, Barista,,Current Employee ,Great,0,"Good upward mobility in promotions, good benefits
","Nothing I can think of.
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 09 2021, Barista,,Current Employee ,good place,0,"great benefit. great colleagues and education benefit is good
","long hour other than that it's good
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Barista,"Doral, FL",Former Employee ,Barista,0,"Fun, easy, relaxing, friendly, customers
","A lot of standing but free spotify
Helpfu",,4.0,,,,,,,,
