date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Feb 07 2021, Senior Product Manager,"Bloomington, IL",Current Employee ,A great place for a career,0,"Career growth and many opportunities to pursue multiple career paths
","State Farm typically promotes from within, which can create bottlenecks for those who are upwardly mobile.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Mar 08 2018,Anonymous,,Former Employee ,An Amazing Decline/Trust Your Gut,582,"(At the time)

Fair pay and predictable bonus structure
They were pretty good at covering travel expenses and paying them back quickly
Diverse workforce & diversity initiatives 
Fun and funny coworkers
Opportunities for growth
Again, this was all four years ago and has likely changed
","(At the time and now, according to other comments)

Arrogant to a fault
Total lack of innovation & willingness to innovate
Odd attachment to the company's past (which prevents progress)
High number of veterans (20+ years) who are determined to get that retirement money, and therefore, are resistant to change and technology
Heavy reliance on command and control management style
Poor decision-making that leads to losses of all kinds
Advice to Management
When I was first hired to State Farm back in 2010, I felt truly blessed and fortunate. I felt I had found my work ""home,"" and that I would be able to learn and grow over time, and watch my career develop. And guess what? It did. I held three different positions at State Farm, each ""better"" than the last in terms of challenge, growth, and pay. I used to brag to others about State Farm and actively try to recruit them. I was a true believer and evangelist.

State Farm was like an abusive relationship in that, there were times when things were good! Really good! And then, there were those bad times... 

Even though my career was progressing, I was met at every level with some of the most hateful, spiteful, narcissistic leadership you could ever imagine. Egomaniacs and control freaks of the highest order. It was almost like they didn't want us to succeed, for fear that we may take their jobs someday. The behaviors got so bad that I even told one of my managers, ""There's no amount of money in this world that could get me to do your job. You all seem miserable."" This was toward the end of our relationship, of course. In each role, my managers found something, anything they could to harp on, and once I fixed that, something new would pop up to ""fix."" It was a moving target. They never taught, they only scolded. They treated employees of every age like children, from age 21 to age 61. It was disgraceful. 

Others took the time to focus on my personality. My work product was excellent and above standard according to one, but they always shifted the focus to my ""happiness."" ""Are you happy? You don't seem happy. Others are worried that you're not happy. Are you happy? Your happiness, or lack thereof, is affecting the team."" When I'd ask clarifying questions like, ""What makes you think I'm not happy?"" ""How is it affecting the team?"" ""Describe a time when you distinctly thought I wasn't happy..."" they couldn't do it. Never could. It morphed into vague generalizations and hearsay (made up stuff). They could never give me actionable specifics, and therefore, I could never correct the ""problems."" 

At the time, I did not realize that I was witnessing the beginning of the end. Everything that happened to me was symptomatic of a company preparing to enter into decline. Instead of leadership banding together and figuring out how to fix it, they chose to eat their babies. And they're paying for it dearly now.

The second part of this title is to trust your gut, and this is where I'll speak to current employees: When I quit State Farm, people thought I was crazy. I had a great title and pay. I had climbed through the ranks relatively quickly. The path was clear, but I wasn't willing to fight off psychopaths along the way. So I trusted my belief that I could do better for myself, and I did. You don't deserve poor treatment from anyone, and especially not your employer. Sometimes you have to vote with your feet. Although you will be brainwashed, threatened, and intimidated, State Farm is not the end all be all. There is life outside of SF. There are other industries. Regardless of what you do, you have picked up some valuable skills that are highly transferable in the marketplace. Don't give up on yourself. Start saving money and get out of there. You will survive and you will be better for it.
Helpful (582","When I was first hired to State Farm back in 2010, I felt truly blessed and fortunate. I felt I had found my work ""home,"" and that I would be able to learn and grow over time, and watch my career develop. And guess what? It did. I held three different positions at State Farm, each ""better"" than the last in terms of challenge, growth, and pay. I used to brag to others about State Farm and actively try to recruit them. I was a true believer and evangelist.

State Farm was like an abusive relationship in that, there were times when things were good! Really good! And then, there were those bad times... 

Even though my career was progressing, I was met at every level with some of the most hateful, spiteful, narcissistic leadership you could ever imagine. Egomaniacs and control freaks of the highest order. It was almost like they didn't want us to succeed, for fear that we may take their jobs someday. The behaviors got so bad that I even told one of my managers, ""There's no amount of money in this world that could get me to do your job. You all seem miserable."" This was toward the end of our relationship, of course. In each role, my managers found something, anything they could to harp on, and once I fixed that, something new would pop up to ""fix."" It was a moving target. They never taught, they only scolded. They treated employees of every age like children, from age 21 to age 61. It was disgraceful. 

Others took the time to focus on my personality. My work product was excellent and above standard according to one, but they always shifted the focus to my ""happiness."" ""Are you happy? You don't seem happy. Others are worried that you're not happy. Are you happy? Your happiness, or lack thereof, is affecting the team."" When I'd ask clarifying questions like, ""What makes you think I'm not happy?"" ""How is it affecting the team?"" ""Describe a time when you distinctly thought I wasn't happy..."" they couldn't do it. Never could. It morphed into vague generalizations and hearsay (made up stuff). They could never give me actionable specifics, and therefore, I could never correct the ""problems."" 

At the time, I did not realize that I was witnessing the beginning of the end. Everything that happened to me was symptomatic of a company preparing to enter into decline. Instead of leadership banding together and figuring out how to fix it, they chose to eat their babies. And they're paying for it dearly now.

The second part of this title is to trust your gut, and this is where I'll speak to current employees: When I quit State Farm, people thought I was crazy. I had a great title and pay. I had climbed through the ranks relatively quickly. The path was clear, but I wasn't willing to fight off psychopaths along the way. So I trusted my belief that I could do better for myself, and I did. You don't deserve poor treatment from anyone, and especially not your employer. Sometimes you have to vote with your feet. Although you will be brainwashed, threatened, and intimidated, State Farm is not the end all be all. There is life outside of SF. There are other industries. Regardless of what you do, you have picked up some valuable skills that are highly transferable in the marketplace. Don't give up on yourself. Start saving money and get out of there. You will survive and you will be better for it.
",3.0,,,,,,Doesn't Recommend,Negative Outlook,No opinion of CEO
Sat Feb 06 2021, Office Manager,"Cookeville, TN",Current Employee ,Good Company,0,"Help people navigate the complex world of Insurance.
","Most people don’t care and no one is happy to see you until they have a claim.
Helpfu",,5.0,,,,,,,,
Sun Feb 07 2021, Information Security Consultant,,Current Employee ,Great place to work!,0,,"ltant 
Recommends
Positive Outlook
Approves of CEO
I have been working at State Farm full-time for more than 10 years
Pros
An awesome place to work that offers a good work life balance!
Cons
Pay structure not in sync with rest of the industry.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Account Representative,"Jacksonville, FL",Current Employee ,Nice Company,0,"A great support system, boss cares about you, the potential to make more money
","No medical benefits requires a license.
Helpfu",,4.0,5.0,5.0,5.0,3.0,4.0,,,
Fri Feb 05 2021, Claim Associate,,Former Employee ,Great for part time work,0,"Lots of great company events with free food. Great training. Atmosphere is one of a team.
","If you are on a call you have to complete that call. No matter how long it takes. If a mom in a minivan is in an accident you have to get all the information you can, from her and if possible from the other drivers. It’s a tedious and sometimes slow process.
Advice to Management
Give employees more PTO
Helpfu","Give employees more PTO
Helpfu",5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,
Fri Feb 05 2021, Producer,,Former Employee ,Review,0,"Experience, corporate knowledge, learn a lot
","Pay, sales goals, cold calling
Helpfu",,4.0,,,,,,,,
Sat Feb 06 2021, Data Engineer,"Bloomington, IL",Current Employee ,Good company,0,"Great benefits. Mostly cool coworkers.
","Promotion is difficult. Lots of red tape. Your role and career advancement vary radically from area to area.
Advice to Management
Make promotion faster and value innovation more.
Helpfu","Make promotion faster and value innovation more.
Helpfu",4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021,Anonymous,"Bloomington, IL",Current Employee ,10/10 would recommend,0,"The culture is top-notch for those with families. The work-life balance is above and beyond most companies in the US. The salaries and benefits are generous, and they promote quickly with lots of opportunities to move between departments. Insurance is an incredibly stable industry.
","Things are slow moving but that’s to be expected at a company so large.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Recruiter,"Atlanta, GA",Current Employee ,Overall great company,0,"the company culture is great. Lots of autonomy and flexibility in the HR space
","Don't get too comfortable. ""Transitions"" aka layoffs happen left and right and no one is safe. In the last 5 years the company has gone from 70k+ employees to 56K
Helpfu",,4.0,,,,,,,,
