date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 09 2021, Synchrony Financial,"San Juan, PR",Current Employee ,Income,0,"Great Diversity, Compensation & benefits,
","Management needs more focus, poor management
Helpfu",,5.0,2.0,5.0,5.0,2.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Office Manager,"New York, NY",Current Employee ,Great company,0,"Great work life balance, management is amazing.
","No complaints that I can think of.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Fraud Investigator,"Kettering, OH",Current Employee ,Amazing Company,0,"Great place to work, amazing benefits.
","Honestly, I ha e enjoyed the last 5 years working here. No cons from me
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Field Sales Manager,,Former Employee ,Great Place to Work,0,"Caring culture and opportunity for growth
","50-75% travel required for job
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Security Engineer,"Los Angeles, CA",Former Employee ,Amazing Times,0,"People, CEO, benefits, work-life balance
","nepotism is running rampant - please curb this. HR needs to have some check and balances in place. At the very least limit how many relatives of an executives can be running around the company campus.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Wed Jan 27 2021, Collections Representative,,Former Employee ,"Great benefits, incentives, great deal of voluntary overtime",0,"stable, diverse, benefits 
resources, challenging
","very stressful and fast paced
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Sat Jan 23 2021,Anonymous,"Merriam, KS",Current Employee ,Data Analyst,0,"Synchrony does a great job of keeping employees motivated and nurturing a very positive workplace.
","Large corporation, sometimes projects or ideas fall through the cracks. This is very rare though, Synchrony leadership is all about improvement in all ways.
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Vice President,"Atlanta, GA",Current Employee ,Best company I have ever worked for,0,"Synchrony does a great job with corporate culture and with compensation, two things that are valued most in an employer. Synchrony has a very inclusive culture and ensures that diversity is an important and valued trait. Synchrony is particularly strong in supporting women, people of color, and LGBTQ. Compensation is very good. Leadership is also very focused on making sure employees are happy at work.
","Work load can be heavy, particularly if you are good at your job and everyone wants your help.
Advice to Management
Keep up the good work!
Helpfu","Keep up the good work!
Helpfu",5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Art Director,"Atlanta, GA",Current Employee ,Great Company,0,"Company is great with benefits, compensation and culture.
","Same toxic interpersonal minutia exists as with every corporation.
Advice to Management
Keep listening.
Helpfu","Keep listening.
Helpfu",4.0,5.0,4.0,4.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Mon Jan 18 2021, Collections Agent,"Dayton, OH",Former Employee ,.,0,"Great place to work, great benefits
","Difficult to change schedules, stressful
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Specialist,,Former Employee ,Comfortable benefits and family oriented,0,"Health benefits time off incentives
","Favoritism from some management and communication
Helpfu",,4.0,3.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 17 2021, Regional Director,,Current Employee ,Excellent!,0,"The people, the culture, and the family dynamic
","Can be too liberal at times
Helpfu",,5.0,5.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Sales,"Orlando, FL",Current Employee ,Great company,0,"Benefits , car, pay, environment , management
","Lots of paperwork, sometime micromanagement, not great training.
Helpfu",,4.0,,,,,,,,
Fri Jan 29 2021, Vice President Credit Account Management Implementation,"Canton, OH",Former Employee ,Great Company,0,"Work/Life Balance, opportunity for advancement
","Rotating leadership in Credit and morale is low.
Helpfu",,4.0,5.0,5.0,5.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Jan 26 2021, Vice President Marketing,"Stamford, CT",Current Employee ,An over-emphasis on culture and an under-emphasis on long term business vision,1,"SYF showed an amazing amount of sensitivity, compassion during 2020: pandemic, BLM, politics, etc. They acted as a caring, inclusive company that wanted to be on the right side of history. Their value set is real and lived by the leadership team.
","It felt like, in 2020, there was more attention payed to making everyone feel okay, but we didn't hear alot about SYF's future and plans to move away from Retail Card businesses since those are dying out daily. There's a gap in leadership on the vision of the future of SYF. Noone has a vision that has been articulated to associates, which makes me think there is none. Company is constantly reactive, not proactively moving into a deliberate direction.
Advice to Management
Commit to a vision of the future, or even a 5 year plan, and share it with the associates so we know what we're working toward.
Helpful (1","Commit to a vision of the future, or even a 5 year plan, and share it with the associates so we know what we're working toward.
",4.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,
Thu Jan 28 2021, Collections Specialist,"Canton, OH",Former Employee ,"Wonderful Company, collections isn't for everyone",0,"Great Benefits, tuition reimbursement, amazing 401k match, amazing PTO, contests, good people you work with, culture, fairness.
","Repetitive job, you have to ask people about their personal finances, wasn't a problem for me, but this job is not for everyone. However, there's also a fraud dept. to start out in. Not experienced with that.
Helpfu",,4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Customer Service Representative,"Merriam, KS",Former Employee ,Okay place to work,0,"Great benefits, amazing family culture, good pay, good time off
","Verbal abuse from the customers on the phone
Helpfu",,4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 12 2021, AVP,"Irvine, CA",Former Employee ,Great Company to work for!,0,"Diverse and growing company. Focuses on developing employees.
","No cons, great company and great people too.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 13 2021, Collections Specialist,"Altamonte Springs, FL",Current Employee ,Stable Job,0,"Great work and life balance, the company is very supportive.
","Stressful at times hard to take care of mental health.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Mon Jan 25 2021, Learning &amp; Engagement Specialist,,Current Employee ,Inclusion,0,"Super inclusive environment awesome place to be
","None at the moment to report
Helpfu",,4.0,3.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021,Anonymous,,Former Employee ,SYF,0,"Company really tries to connect with teams and keep them first
","Mid Level leadership becomes a political game.
Advice to Management
Growing pains of a growing company, but try to connect with your leaders too.
Helpfu","Growing pains of a growing company, but try to connect with your leaders too.
Helpfu",4.0,3.0,4.0,4.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Sat Jan 09 2021, AVP,"Stamford, CT",Current Employee ,Love the culture,0,"Incredible culture, values, and leadership
","Bonus could be better, but it's 2020...
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 09 2021, Customer Service Representative (CSR),"Charlotte, NC",Current Employee ,Love it a ton hondtly,0,"Love it I live it so much
","Nothing honestly I like it
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 09 2021, Senior Specialist,"Canton, OH",Current Employee ,Great Co/Great benefits,0,"Got everyone working form home very quickly
","There is little salary differentiation between new and long standing employees
Advice to Management
Help make your loyal employees feel more valued
Helpfu","Help make your loyal employees feel more valued
Helpfu",5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 04 2021, Collections Account Manager,"Dayton, OH",Current Employee ,Great Place to Work,1,"Advancement Opportunity, Bonuses, Supportive Management
","You will assimilate or you will not advance. If you do not join and actively support one of the pre-approved tribes within the company, you will not advance. It is not enough that you are tolerant of others and their beliefs, you have to choose at least one to be involved with. Of course, there's no group for straight, white men.
Helpful (1",,5.0,4.0,1.0,5.0,5.0,5.0,Recommends,Positive Outlook,Disapproves of CEO
Wed Jan 06 2021, Senior Vice President Marketing,"Orlando, FL",Current Employee ,Values based company,0,"Culture, Values, Career opportunities, Client partnerships
","-Occasional resource constraints in technology
Helpfu",,5.0,3.0,5.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Wed Jan 20 2021, Customer Service Representative,N/A,Former Employee ,Okay,0,"Synchrony stars, game tickets, movie tickets, free stuff
","unrealistic call time limits, rude customers
Helpfu",,3.0,,,,,,,,
Tue Jan 05 2021, Technical Writer,"Atlanta, GA",Current Employee ,Great company to work for.,0,"great environment to work in.
","Too many offices; all collaboration must be done by WebX or travel.
Advice to Management
Consolidate offices
Helpfu","Consolidate offices
Helpfu",5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Mon Jan 04 2021, Collections Specialist,"Orlando, FL",Current Employee ,Great,0,"Good place to work for
","Nothing to say right now
Advice to Management
Nothing
Helpfu","Nothing
Helpfu",5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 18 2021, Customer Service Representative,"Merriam, KS",Former Employee ,Don't do retail card,0,"Some bosses are great!
Lots of overtime potential 
Games and food trucks
Rotations and special projects and trainings available
VTO - Voulentary Time Off
","Non stop calls. Clock on and get a call, as soon as you hang up you have another. Some slow periods, but not usually.
Graded on calls, call times, fees waived, compliance, and customer survey. 
Drama, loud crowded offices, high turnover
EHD is overworked and made to be abused by customers
Advice to Management
Spend more time on the hiring process to hire the best people and then focus on promoting from within.
Helpfu","Spend more time on the hiring process to hire the best people and then focus on promoting from within.
Helpfu",2.0,,,,,,Doesn't Recommend,,
Sun Jan 17 2021,Anonymous,,Former Employee ,IT Compliance Analyst,0,"Great work life balance and benefits
","Nothing much to mention here
Helpfu",,4.0,5.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 01 2021, Inbound Fraud Representative,"Charlotte, NC",Current Employee ,Great company to work for.,0,"Competitive pay 
Flexibility of schedule
Ability to work from home
","I have no came across any cons.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 15 2021, Customer Service,,Former Employee ,Customer Service,0,"The company offers good benefit packages.
","There are no cons at this time notable of mentioning.
Advice to Management
.
Helpfu",".
Helpfu",3.0,,,,,,Recommends,Neutral Outlook,Approves of CEO
Tue Jan 12 2021, Assistant Vice President Digital Marketing,"Stamford, CT",Current Employee ,Great people,0,"The teams you work with will be some of the best people you will ever meet.
","Personal preference but the product is credit cards which at the end of the day isn't the most exciting focus in the world
Helpfu",,4.0,,,,,,,,
Tue Jan 12 2021, BLP Technology,"Chicago, IL",Former Employee ,Good company,0,"The company have great people.
","Lots of meetings and management can be slow.
Helpfu",,4.0,5.0,5.0,,,,,,
Sun Jan 10 2021, Customer Service Representative,,Current Employee ,CSR,0,"Great benefits, work from home opportunity
","Stressful, high demand, high pace
Helpfu",,4.0,3.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 11 2021, Debt Collector,"Altamonte Springs, FL",Former Employee ,great place to work,0,"great pay, great benefits, free coffee, a cafeteria with great chefs, gym, lounge, game room. great people as Well
","its a stressful position having to hear about peoples troubles and you not being able to do anything but take their money.
Helpfu",,4.0,5.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
