date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Jan 29 2021, IT Sales Executive,"Greenville, SC",Current Employee ,Na,0,"Great company to work for
","Volume of work load and time
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Sales Supervisor,,Former Employee ,A Learning Curve and An Opportunity,0,"The office environment is largely a good combination of collaboration and camaraderie, with great ""extras"" that come along with being in office (lunch and learns, vendor sponsored happy hours, etc.). There's good opportunity to grow your paycheck if you're willing to grind for it and build customer relationships. With hundreds of vendors heavily invested in Synnex, many reps get great opportunities to go on trips, excursions, and classy dinners quite frequently to honor that rapport building for the brands they serve. Experience is highly valued, but so is performance. Synnex makes certain to honor individuals through awards, spiffs, and other means to ensure these individuals are rewarded properly. The company recognizes both college grads and 20+ year industry experienced individuals well, as they recognize that success is a daily thing. An infamous mantra of “what have you done for me lately” lives at Synnex and does a great job of showing that the company appreciates the past success (whether 10 days or years), but that today is a new day and chance to continue to be great. Synnex is also consistently willing to listen to what they’re employees are saying if they are in good standing with the company. Synnex is also arguably the most stable company I will ever work at, managing to keep just about all of their staff through the 2008 crisis, and hiring many people in the midst of a pandemic. It’s a very secure job once you get it, and the company is very open about finding positions that best fit you and your skills, so internal movement of jobs is often an option. Dennis Polk is a CEO that deeply cares about the fundamentals of how the business runs and why, and so far is the only CEO who I had more than one in depth conversation about the successes and failures of the company. I started as a sales rep and moved into a supervisor role in my time there, so something to be said about opportunity to advance as well.
","The big catch is that there’s a serious issue with Synnex on the sales enablement and education side. It’s difficult to reach that high performance level that gets rewarded for most individuals, as the environment is infamously denoted as “sink or swim” when it comes to learning the job. These shortcomings of education include, but is not limited to, utilizing internal systems, understanding escalation paths, executing unique processes, allowing ample time for learning, coaching, and overall evaluation of performance. This is often left to the experienced reps and supervisors of the floor to help fill in these gaps of the knowledge, rather than selling to hit their own lofty sales goals (if you’re lucky enough to have one on your team, be sure to thank them). This often leads to reps and management alike to be generally overwhelmed and overworked. As Synnex’s line card increases, so does this disparity of information that ultimately causes many of the newer hires to leave (which is why turnover is rather high, especially in Western US offices). Many may argue that this grind is part of sales type positions, and while I agree, I find that Synnex’s grind ever increases, with management asking for more and more, with little compensation to counter offer their employees (and managers) with. You must have an entrepreneurial spirit to survive at Synnex, to thrive, you need to be a little lucky too.
Advice to Management
If I'm honest, I think the at the core of the issue is a structuring of the business as a whole, and just needs a whole revamping, but if that's not feasible (likely isn't) the learning process for new hires must be rebuilt. The current system is rigid and rough on new learners with little forgiveness and margin for error. Start by creating preset 30/60/90 plans to set concrete goals in LEARNING ONLY in the first quarter they arrive, then once they've created success there, pick out some accounts and give them some background on them, and ask them to create an attack plan in 24 hours (to learn pressure) with a 30/60/90 plan they create for their own success metrics. Have them present to management, have management evaluate, adjust, and approve. Evaluate them against their own word, and then let them run. While not a total solution, it at least gives new hires a chance to learn and grind out some of the finer details while not making management hugely overwhelmed.
Helpfu","If I'm honest, I think the at the core of the issue is a structuring of the business as a whole, and just needs a whole revamping, but if that's not feasible (likely isn't) the learning process for new hires must be rebuilt. The current system is rigid and rough on new learners with little forgiveness and margin for error. Start by creating preset 30/60/90 plans to set concrete goals in LEARNING ONLY in the first quarter they arrive, then once they've created success there, pick out some accounts and give them some background on them, and ask them to create an attack plan in 24 hours (to learn pressure) with a 30/60/90 plan they create for their own success metrics. Have them present to management, have management evaluate, adjust, and approve. Evaluate them against their own word, and then let them run. While not a total solution, it at least gives new hires a chance to learn and grind out some of the finer details while not making management hugely overwhelmed.
Helpfu",3.0,2.0,4.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Business Development Manager,"Greenville, SC",Former Employee ,Business Development Manager,0,"great people to work with, fast paced
","micro manager who was not willing to look at other ways to do job, even though I was exceeding my goals and tripled numbers since I started
Advice to Management
be open to new ways of doing business
Helpfu","be open to new ways of doing business
Helpfu",3.0,2.0,3.0,4.0,2.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Jan 18 2021, Business Development Representative,"Greenville, SC",Current Employee ,Great Company,0,"Great time off, great job stability
","Pay is not great for the Tech World
Helpfu",,4.0,5.0,5.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 13 2021, Business Development,"Greenville, SC",Current Employee ,Good company,0,"Loved my time at Synnex
","Limited mobility if you aren’t in marketing.
Advice to Management
None
Helpfu","None
Helpfu",5.0,4.0,3.0,3.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 23 2021, Order Picker,"Ontario, CA",Former Employee ,No Opportunity,0,"Reliable work, Fast pace, stable.
","No pay increase, no future.
Helpfu",,3.0,1.0,4.0,3.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Tue Jan 19 2021,Anonymous,"Fremont, CA",Former Employee ,Okay place to work with,0,"Bonus-
Snack 
Benefit and working for high tech
","No diversity- not flexible- high rate turn over
Helpfu",,3.0,1.0,2.0,1.0,3.0,2.0,,,
Wed Jan 20 2021, Current Employee,"Louisville, CO",Current Employee ,Current Employee,0,"Good company to work for
","Upward career path mobility is limited
Helpfu",,3.0,3.0,3.0,2.0,3.0,3.0,No opinion of CEO,,
Fri Jan 29 2021, Senior,"Fremont, CA",Current Employee ,"Favoritism, unfair, one-sided management",0,"Friendly environment,Just a job, not a career
","They are not fair, and they don't care about their employees. A very unethical place to work for, and very unprofessional. They don't care if you're honest, and good at what you do, as long as you don't know how to kiss-up, then none of your hard work really matters.
Helpfu",,1.0,2.0,2.0,2.0,2.0,2.0,,,
Tue Jan 05 2021, Product Business Manager,"Longmont, CO",Current Employee ,Pretty Good,0,"Great people and great extras
","Below average compensation for a large company
Helpfu",,3.0,4.0,4.0,4.0,4.0,2.0,Recommends,Positive Outlook,Approves of CEO
