date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 03 2021, Senior Human Resources Analyst,"Cypress, TX",Former Employee ,Great Company to work for,0,"Compassionate Employee's. Good benefits. Good work environment.
","Training needs improvement as well as guidance for change management in respect to integration to new systems.
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Functional Analyst,"Houston, TX",Current Employee ,Functional Analyst IT,0,"good pay and good management
","too many projects start and never finish
Helpfu",,5.0,3.0,4.0,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Sales,"Brooklyn, NY",Former Employee ,Sales,0,"Great people!! Family like place everyone is having a great time
","No cons great spot I am never leaves
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021,Anonymous,,Current Employee ,Great place to work,0,"Great place to work and good benefits.
","None that I can think of right now
Helpful
Sysco Response
February 2, 2021 – Director
We appreciate the kind words! At Sysco, we’re committed to doing the right things, and we’re so happy that you are enjoying your career with us",,5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Administrative,"Houston, TX",Former Employee ,salary,0,"they have good benefits and perks
","i cant think of any
Helpfu",,4.0,4.0,4.0,4.0,3.0,4.0,,,
Mon Feb 01 2021, Delivery Driver Trainee,"Houston, TX",Former Employee ,Driver Trainee Program,0,"It was great while it lasted.
","Early start times like 1:00 or 3:00 AM are very hard to adjust to.
Helpfu",,4.0,5.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Director,"Houston, TX",Current Employee ,Good Company,0,"Great benefits and working environment
","Sometimes executive management focus on bottom line without realizing impact to customers
Helpful
Sysco Response
February 2, 2021 – Director
Thanks for sharing your feedback about what it’s like to be a member of the Sysco team. We strive for excellence as we help our customers succeed. Keep up the good work",,4.0,4.0,5.0,5.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Mon Jan 25 2021, Supervisor,"Denver, CO",Current Employee ,Review of sysco,0,"Grate place to work. Get um
","Long Commute to get to work.
Helpful
Sysco Response
February 2, 2021 – Director
We appreciate the kind words! At Sysco, we’re committed to doing the right things, and we’re so happy that you are enjoying your career with us",,4.0,4.0,4.0,4.0,4.0,4.0,,,
Mon Feb 08 2021, Product Manager,"Houston, TX",Former Employee ,"Big, process oriented organization",0,"Excellent Benefits
Long term employees
Promote from within
","Cumbersome processes 
Too many managers
Advice to Management
Streamline processes and organizational structure to accomplish more in less time
Helpfu","Streamline processes and organizational structure to accomplish more in less time
Helpfu",3.0,4.0,4.0,5.0,2.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 08 2021, Driver Check,"Knoxville, TN",Former Employee ,"Paid fairly decently, but overworked and unheard",0,"Good pay and overall decent benefits
","There are never enough people employed to do all the work necessary, and yet senior leadership still expects an unrealistic level of productivity and quality in spite of this. Office politics were egregious and filtered down even to the levels of jobs in the warehouse, and senior leadership would rather hear themselves compliment one another than actual concerns from employees.
Advice to Management
Please hire a decent amount of employees for the necessary workload, and make sure that employee concerns are heard and respected,
Helpfu","Please hire a decent amount of employees for the necessary workload, and make sure that employee concerns are heard and respected,
Helpfu",3.0,1.0,2.0,3.0,3.0,4.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Business Analyst II,"Houston, TX",Former Employee ,"Great Company, but team culture is the most important",0,"Decent Pay, Lots of employee events and activities, Holiday gifts
","Company is too big to care about each team, so your manager/supervisor is what your entire career life will be.
Poor team management.
Any change takes too much time (""IF"" it is approved)
Advice to Management
Listen to your employees and be more caring for your subordinates.
Helpfu","Listen to your employees and be more caring for your subordinates.
Helpfu",3.0,3.0,2.0,3.0,2.0,4.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Thu Jan 21 2021, Outside Sales Representative,"Houston, TX",Former Employee ,Great company to work for,0,"Great work environment, great benefits, always room to grow and improve.
","lots of driving for me anyways.
Helpful
Sysco Response
February 2, 2021 – Director
Thank you for leaving a review! At Sysco, our goal is to support and sustain an inclusive work environment that engages and enables a diverse workforce",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Thu Jan 21 2021, Sales,"New York, NY",Current Employee ,job,0,"its a Job .. great benefits
","paystructure is needed to be readjusted
Helpful
Sysco Response
February 2, 2021 – Director
We appreciate the time you took to leave a review. Sysco values our hardworking associates, and we’re committed to providing them with a competitive, comprehensive pay and benefits package. Thank you for your positive feedback",,4.0,,,,,,,,
Thu Jan 21 2021, Warehouse &amp; Logistics Manager,"Austin, TX",Former Employee ,Great Place to Work,0,"Great people, systems, and team oriented concept,
","I do not have any Cons. Mandatory business closures due to Covid forced the company to make unwanted changes.
Helpful
Sysco Response
February 2, 2021 – Director
We’re happy to hear that you enjoyed your time working for Sysco. Thank you for leaving your valuable feedback and we wish you luck with your future endeavors",,4.0,,,,,,,,
Thu Feb 04 2021, Warehouse Selector,,Current Employee ,General labor,0,"Overtime if you are a selector or driver
","Lots of seniority within the company
Helpfu",,3.0,3.0,3.0,3.0,3.0,4.0,No opinion of CEO,,
Thu Feb 04 2021, Manager,"Houston, TX",Former Employee ,Old school management,0,"Before covid it was thought stable
","Management not willing to adapt
Helpfu",,3.0,,,,,,,,
