date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 08 2021, ASM,"Indianapolis, IN",Current Employee ,Good Company to Work For,0,"They invest time and training in their managers.
","Variable Schedule and difficult during Christmas time as all retail is.
Helpfu",,5.0,4.0,5.0,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Marketing Analyst,"Brentwood, TN",Current Employee ,fantastic,0,"My managers and fellow associates are amazing.
","I literally cannot think of a con.
Helpfu",,5.0,4.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Network Coordinator,"Bridgewater, VA",Current Employee ,Network Coordinator Summary,0,"Great insurance benefits with the company.
","Hard labor hours for distribution center. Network must constantly be covered.
Helpfu",,4.0,2.0,3.0,5.0,4.0,3.0,,,
Tue Feb 02 2021, Sales,"Columbus, MS",Former Employee ,N/A,0,"Good at working around schedule.
","Manager did not get alone with employees.
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Sales Associate,"Novi, MI",Current Employee ,Great opportunity,0,"Good schedule, great management, good training.
","Late nights, many projects at once
Advice to Management
Add more associates to the schedule.
Helpfu","Add more associates to the schedule.
Helpfu",5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Customer Service Coordinator,"Cincinnati, OH",Current Employee ,"Good place, just unorganized and cheap",0,"Good people, company takes care of you, fun workplace
","Way too much inventory and lack of inventory control, unorganized management with poor communication, very poor formal training
Advice to Management
Set up actual training programs/procedures, communicate and stay on the same page as a management team, and higher pay!
Helpfu","Set up actual training programs/procedures, communicate and stay on the same page as a management team, and higher pay!
Helpfu",4.0,4.0,5.0,5.0,4.0,3.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Thu Jan 28 2021, Part Time,"Monroe, NC",Former Employee ,Good place to work,0,"good place to work, good work environment, good organization and procedures
","none cons in the companie all is good
Helpfu",,5.0,,,,,,,,
Thu Jan 28 2021, Cashier,"Caro, AK",Current Employee ,best workplace,0,"good bosses, nice coworkers and good scheduling
","I would say not enough one on one with superiors but other than that no cons
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Market Services,"Sacramento, CA",Current Employee ,clearly,0,"Reasonable arrangement of goods and clearly
","Not easy to find the servers
Helpfu",,5.0,,,,,,,,
Tue Jan 26 2021, Merchandise Associate,"Elk Grove, CA",Current Employee ,GOOD Place to work,0,"Nice work culture
everyone is very helpful
","not always clear what to do for new comers.
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Senior Allocation Analyst,"Framingham, MA",Former Employee ,Great Compant,0,"-Development of skills 
-Kind Associates
","-No Work/Life Balance
-Management only concerned about self promotion
Helpfu",,5.0,1.0,1.0,1.0,4.0,3.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Tue Jan 26 2021, TJMaxx Sales Associate,"Los Angeles, CA",Current Employee ,Quite Easy!,0,"Very simple work
Nice people to work with
","Low Pay
Unorganized
Stress environment at times
Helpfu",,4.0,,,,,,,,
Mon Feb 08 2021, Coustmer Service,"Arlington, VA",Current Employee ,Overall it was a great job.,0,"Maxx is a fairly easy stress-free job. 
They're flexible with hours 
The managers I've worked with are very positive and easy to get along with.
","They don't give enough hours to all the employees 
Favoritism is shown
Helpfu",,3.0,2.0,5.0,5.0,2.0,3.0,Recommends,,
Mon Feb 08 2021, Sales Associate,"Saugus, MA",Former Employee ,Good,0,"They are very flexible and the company has a great future
","Tedious. The rewards card, somewhat stressful
Helpfu",,3.0,3.0,3.0,3.0,3.0,3.0,,,
Sun Jan 24 2021, Financial Analyst,"Framingham, MA",Current Employee ,"Great place to work, great benefits",0,"Good work culture 
Nice work life balance
Pretty competitive pay
","Monotony in the type of work at times
Helpfu",,5.0,5.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Operations Manager,"Brunswick, GA",Current Employee ,Operations Manager,0,"Great pay. Great bonus program.
","None known to date so far.
Advice to Management
None
Helpfu","None
Helpfu",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Assistant Manager,"Boston, MA",Current Employee ,Good company,0,"Work life balance is very good because we don't work regular manager retail hours
","Not allowed to hold associates accountable due to a culture of ""talking you through it""
Advice to Management
Now that ASM are going hourly exempt, you will have to delegate and hold people accountable more often.
Helpfu","Now that ASM are going hourly exempt, you will have to delegate and hold people accountable more often.
Helpfu",4.0,4.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 23 2021," Retail Sales Associate, Part Time","Farmington, UT",Current Employee ,Management is the best,0,"Great managers, Often supply lunch, great culture
","Hours can be hard sometimes
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Jan 23 2021, IT Compliance Auditor II,"Framingham, MA",Former Employee ,Fine job,0,"Good people, flexible schedule is nice
","No mobility, work can get repetitive
Helpfu",,4.0,,,,,,,,
Fri Jan 22 2021, Merchandise Assistant,"Framingham, MA",Former Employee ,Collaborative Environment,0,"People in higher up positions encouraged learning and advancing in the company
","Mandatory Lunch Hours that we unpaid.
Helpfu",,4.0,4.0,5.0,5.0,5.0,4.0,Recommends,,
Fri Jan 22 2021, Industrial Engineer,"Williamsport, PA",Former Employee ,Great to work for,0,"welcoming coworkers and great environment to work in
","constantly pushing for credit when most people already have or dont want a tjx credit card
Advice to Management
stop worrying about credit as much
Helpfu","stop worrying about credit as much
Helpfu",4.0,3.0,3.0,3.0,3.0,2.0,Recommends,Positive Outlook,No opinion of CEO
Thu Jan 21 2021, Cordinater,"Boston, MA",Current Employee ,great company,0,"great people, great work culture
","little room for growth, and pay could be better
Helpfu",,5.0,,,,,,,,
Wed Jan 20 2021, Information Technology,"Boston, MA",Current Employee ,Great Company,0,"Excellent Culture 
Cares about its Associates
","Sometimes difficult to get things done
Helpfu",,5.0,4.0,5.0,3.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
