date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Feb 05 2021, Global Account Manager,"Atlanta, GA",Former Employee ,a,0,"Great Atmosphere, Sweet building in Tampa, Free Swag, Coffee bar,
","Corporate, Sold out to private equity,
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Engineer,,Former Employee ,Review,0,"Great environment. Fast paced daily.
","Training could be better organized.
Helpfu",,4.0,,,,,,,,
Wed Feb 03 2021, Vendor Business Manager II,,Current Employee ,Overall a great place to work,0,"Fast paced, never a dull moment, always transforming in some way
","Every position is stretched thin, too much workload
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Customer Solutions Representative,,Current Employee ,Tech Data,0,"Great work environment for everyday
","Untouchable manager Hierarchy, massive Bureaucracy
Helpfu",,4.0,4.0,5.0,5.0,4.0,4.0,,,
Mon Feb 01 2021, Senior Financial Analyst,"Clearwater, FL",Former Employee ,Excellent,0,"Great team, good management, overall pleased
","Low pay for position to start
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Database Administrator,"Dallas, TX",Current Employee ,Senior SQL Server Developer,0,"I have been with this company going on 4 years. Never once have I felt that I dont want to come to work or the feeling of not wanting to come to work. The energy, the team, the love, and the environment truly makes this the best place to work! Come join our Team!
","There is nothing wrong with TechData.
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Assistant Systems Engineer (ASE),"Tempe, AZ",Current Employee ,Great Leadership,0,"Manager is very pleasant to work with
","no incremental raises, just promotions.
Helpfu",,5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Mon Jan 25 2021, Business Development Executive,"Atlanta, GA",Current Employee ,Inclusive and Cares about thier Employees,0,"A culture of inclusion for all and acknowledgement of employee contributions
","It's hard work! No complaints here.
Advice to Management
keep showing employees how much your appreciate them, just as you have. Thanks for the great efforts you have gone to to keep everyone working smoothly through COVID.
Helpfu","keep showing employees how much your appreciate them, just as you have. Thanks for the great efforts you have gone to to keep everyone working smoothly through COVID.
Helpfu",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Sat Jan 23 2021, Strategic Account Executive,"Clearwater, FL",Current Employee ,Great company that takes care of you,0,"Great culture and teams to work with.
","Lots of changes with a quick moving business. Have to be adaptable.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Inside Account Representative,,Current Employee ,Great money / great benefits,0,"Commission pay is lucrative for the job
","Starting associate salary is low. Depending on which region you are in some hours are not work life balanced
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Sales,"Clearwater, FL",Current Employee ,Great CEO,0,"Company really cares for it's employees
","You will be a small fish in a very large company
Advice to Management
Keep sticking to our core values since doing a great job at it. The fact that promised no lay offs during Covid and giving all employees bonus after 2020 to help them, shows that really care for your people.
Helpfu","Keep sticking to our core values since doing a great job at it. The fact that promised no lay offs during Covid and giving all employees bonus after 2020 to help them, shows that really care for your people.
Helpfu",4.0,5.0,5.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Vendor Development Manager,"Tampa, FL",Current Employee ,Great place to wrok,0,"My manager does not micromanage me. They know I will get the job done! Unlimited vacation is wonderful. The ability to work remote is fantastic.
","Pay is not so great
Helpfu",,5.0,5.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Human Resources,"Clearwater, FL",Current Employee ,Culture of Diversity & Inclusion,0,"Tech Data has a great culture - a commitment to diversity and inclusion.
","Pay is a little below market.
Helpfu",,5.0,4.0,5.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Associate Sales Representative,,Former Employee ,Great first job out of college,0,"Great training and great way to ease into the corporate world. This company really cares about its employees and has so many different types of jobs to move to internally
","Low pay, takes a long time to get promoted
Advice to Management
Give those that are excelling a shorter path to promotion if it was earned, versus requiring a certain amount of time with the company. You will lose good people to company’s with better pay and more room for growth
Helpfu","Give those that are excelling a shorter path to promotion if it was earned, versus requiring a certain amount of time with the company. You will lose good people to company’s with better pay and more room for growth
Helpfu",4.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 18 2021, Channel Manager,"Denver, CO",Current Employee ,Values employees,0,"Industry leader in IT distibution
","Very large IT distributor. World wide.
Helpfu",,5.0,,,,,,,,
Fri Jan 29 2021, Senior Accountant,"Clearwater, FL",Current Employee ,Good,0,"Unlimited PTO and good people
","Lots of work and raises are COLA
Helpfu",,3.0,,,,,,,,
Thu Jan 14 2021, Accounting,,Former Employee ,Awesome place!,0,"Benefits, Flex schedule, Hours, Management
","Upward mobility is a little tough
Helpfu",,4.0,4.0,4.0,5.0,4.0,4.0,Recommends,,Approves of CEO
Thu Jan 14 2021, Maintenance Technician,,Current Employee ,Great Salary,0,"Good place to work for very friendly environment
","great chance for opportunity advancement
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 14 2021, Associate Sales Representative,"Clearwater, FL",Former Employee ,Good corporate job,0,"Free snacks for sales, bonuses, PTO
","Unorganized, employees don’t feel seen and heard, repetitive work, hard to move up, not that diverse in the employees
Helpfu",,4.0,3.0,3.0,2.0,2.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sun Jan 24 2021, Assistant Engineering Manager,,Former Employee ,Good people but...,0,"Good people and nice building.
","Poor salary. Weird mentality. Would not recommend.
Helpfu",,3.0,,,,,,,,
Sun Jan 24 2021, Assistant Engineering Manager,,Former Employee ,Good people but...,0,"Good people and nice building.
","Poor salary. Weird mentality. Would not recommend.
Helpfu",,3.0,,,,,,,,
Sat Jan 09 2021, Solutions Associate,"Clearwater, FL",Former Employee ,great company. great culture.,0,"great company, culture, and everything
","half height cubicle life and forced to take an hour lunch
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Sat Jan 09 2021, Tech Support Representative II,"Groveport, OH",Former Employee ,Call center,0,"A generally robust corporate structure ensuring an optimistic outlook overall. 
Nice facility and environment. Had pleasant experiences with managers and leads who were mostly capable and understanding. 
Pay and benefits were alright.
","At the low levels, things were fairly unorganized.
Operation-wise, documentation was lacking. Too much tribal knowledge that was conflicting and scattered. There were many situations in which clueless people were left on their own. 
High turnover rate. 
The quality of my colleagues wasn't the best. Some were tardy while others were disruptive. This was understandable due to realistic limitations but was not healthy for sustainable collaborations. 
Corporate IT in Clearwater, FL was hardly helpful.
Advice to Management
Try to build a systematic methodology for enterprise support. Being a bit more organized goes a long way. 
Need stricter standards when it comes to hiring. 
Figure out why qualified people won't stay long.
Helpfu","Try to build a systematic methodology for enterprise support. Being a bit more organized goes a long way. 
Need stricter standards when it comes to hiring. 
Figure out why qualified people won't stay long.
Helpfu",4.0,4.0,2.0,5.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sat Jan 09 2021, Team Lead,,Current Employee ,Good company,0,"Great people with a fun atmosphere
","Could be slightly better pay
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,,,
Sat Jan 23 2021, Marketing Director,"Clearwater, FL",Former Employee ,Good place to learn!,0,"Great people
Strong sense of community
Continuing growth
Great reputation in the channel
Wonderful place to start and learn the channel
","Low pay for the industry 
Constant change
Unequal leadership skills (some are incredibly good, some are not) creates an atmosphere of disruption
Advice to Management
Be careful that you don't let private equity change who you are. Your reputation is built on your people. Also, offer more training opportunities to individual contributors.
Helpfu","Be careful that you don't let private equity change who you are. Your reputation is built on your people. Also, offer more training opportunities to individual contributors.
Helpfu",3.0,5.0,3.0,5.0,4.0,2.0,Recommends,Negative Outlook,Approves of CEO
