date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Feb 05 2021, Manager,"San Antonio, TX",Current Employee ,Great company,0,"Great teamwork, benefits and room for growth.
","Turnover with lower level position
Advice to Management
Increase pay rates to keep good employees
Helpful
Tenet Healthcare Response
February 6, 2021 – Recruitment and HR Operations
Thank you for this feedback! We're glad your role helped you develop professionally","Increase pay rates to keep good employees
Helpful
Tenet Healthcare Response
February 6, 2021 – Recruitment and HR Operations
Thank you for this feedback! We're glad your role helped you develop professionally",5.0,4.0,4.0,4.0,5.0,4.0,,,
Tue Feb 09 2021, ER Tech,"Sunnyvale, TX",Current Employee ,Great company to work for,0,"Friendly and family-like atmosphere amongst management and staff
","I can’t think of any “cons” or bad experiences
Helpful
Tenet Healthcare Response
February 12, 2021 – Recruitment and HR Operations
We appreciate this feedback. We're thrilled to hear you're so happy in your role",,4.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Physical Therapist Assistant,,Former Employee ,Good job,0,"Steady work in team driven atmosphere.
","Not everyone carries their weight
Helpful
Tenet Healthcare Response
February 10, 2021 – Recruitment and HR Operations
We appreciate this feedback. We're thrilled to hear you're so happy in your role",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Pharmacist,"Palm Springs, CA",Current Employee ,Salary,0,"Stability, big company, good benefits
","Depending if union or non
Helpful
Tenet Healthcare Response
February 12, 2021 – Recruitment and HR Operations
Thank you for this feedback! We're thrilled to hear you're so happy in your role",,4.0,,,,,,,,
Tue Feb 02 2021, Supervisor,,Former Employee ,Tenet sells 5 ga hospitals,0,"cared for employees showed their appreiation
","selling hospitals allowing employees to relocate
Helpful
Tenet Healthcare Response
February 3, 2021 – Recruitment and HR Operations
We appreciate this feedback. We're thrilled to hear you're so happy in your role",,4.0,,,,,,,,
Sat Jan 30 2021, Manager,"Dallas, TX",Current Employee ,Excellent place to work !,0,"Excellent work life balance. Good place to work.
","None, it is a great place.
Advice to Management
Keep up the great work
Helpful
Tenet Healthcare Response
January 31, 2021 – Recruitment and HR Operations
We appreciate this feedback. We're thrilled to hear you're so happy in your role","Keep up the great work
Helpful
Tenet Healthcare Response
January 31, 2021 – Recruitment and HR Operations
We appreciate this feedback. We're thrilled to hear you're so happy in your role",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Nurse Practitioner,"El Paso, TX",Former Employee ,Good company,0,"Good compensation and benefit
Awrsome work-life balance
","2% yearly salary increase at much
Helpful
Tenet Healthcare Response
January 29, 2021 – Recruitment and HR Operations
We appreciate this feedback! At Tenet, we look to provide successful careers for all employees",,5.0,4.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Wed Feb 10 2021," Registered Nurse, BSN","El Paso, TX",Current Employee ,Tenent,0,"great reputation within the community
","There is favoritism by upper management
Helpfu",,3.0,3.0,3.0,3.0,3.0,2.0,Recommends,,Approves of CEO
Tue Feb 09 2021, Mental Health Counselor,"Natick, MA",Current Employee ,Great Place to Learn,0,"It is a good job with good people and a great place to learn regardless of background. Most people will never experience a job like this in their lives. Most people genuinely care about this kind of work.. Have to be willing to be humbled a few times over.
","Like everywhere in this field there is dysfunction and frustration. Tenet itself makes it very noticeable it is a for profit hospital. No upward movement unless you plan to go back to school.
Helpful
Tenet Healthcare Response
February 10, 2021 – Recruitment and HR Operations
Career growth is important to us, and we're always looking for opportunities to reward hard work and loyalty. We encourage all employees to discuss career growth opportunities with their managers to help increase personal and business success",,3.0,4.0,2.0,3.0,3.0,3.0,Recommends,Positive Outlook,
Tue Jan 26 2021, Registered Nurse,"Birmingham, AL",Current Employee ,Great,0,"Great leaders, great staff, great facility
","There are no cons with this company.
Helpful
Tenet Healthcare Response
February 3, 2021 – Recruitment and HR Operations
We appreciate this feedback. We're thrilled to hear you're so happy in your role",,5.0,,,,,,,,
