date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Dec 05 2020,Anonymous,,Former Employee ,Job,0,"Everything nice job for this non
","Cool nice job an great team members
Advice to Management
Was nice
Helpfu","Was nice
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Thu Feb 04 2021, Maintenance Tech,"Kettering, OH",Current Employee ,Good Job,0,"Good money, lots of hours
","A work in progress at the moment
Helpfu",,4.0,,,,,,,,
Tue Feb 09 2021, Welder,"Jeffersonville, IN",Current Employee ,Salary,0,"Good pay, good benefits, good people
","Working everyday didn’t have time for family
Helpfu",,3.0,1.0,3.0,3.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021,Anonymous,,Former Employee ,Poor managmnet,0,"Good pay once you get hired on
","A lack of competent management
Helpfu",,2.0,1.0,2.0,3.0,1.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sat Jan 23 2021, Senior Applications Engineer,"Plymouth, MI",Former Employee ,Good place to work,0,"good coworkers and teams, good experiences
","lower pay, expensive benefits, low commitment to employees
Helpful
Tenneco Response
February 3, 2021 – Executive Director Global Talent Acquisition
Thanks for writing about our Plymouth Tech Center, we are working hard to improve",,4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Jan 22 2021, Product Design Engineer,,Current Employee ,Good company,0,"Clear view, good culture, above average pay
","Traditional products, high debt, layoff before the pandemic
Helpfu",,4.0,4.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Supervisor,"York, PA",Former Employee ,Ok,0,"Good pay, OK benefits, great coworkers
","They failed to unify the team after the Federal Mogul purchase.
Helpfu",,3.0,,,,,,Recommends,Neutral Outlook,No opinion of CEO
Thu Feb 04 2021, Manager,,Current Employee ,Good place to work,0,"A lot of OT if you like that.
","Automotive is a very unstable business to be working in.
Helpfu",,3.0,,,,,,,,
Wed Jan 20 2021, Product Development Engineer,,Former Employee ,Federal-Mogul,0,"I worked for them for several years, they have a good balance for work and life, flexibility and training program
","They offer below-average benefit (health insurance and vacations)
Advice to Management
To the progress of your company need to keep your highly qualified employees.
Helpfu","To the progress of your company need to keep your highly qualified employees.
Helpfu",4.0,,,,,,Neutral Outlook,,No opinion of CEO
Sun Jan 31 2021, Team Leader,"Seward, NE",Former Employee ,"Good pay, bad job",0,"Pay is good and good benefits
","Work and life balance is non existent. Management sucks. CI does not continuously improve anything. You can literally run yourself into the ground and you don't do anything good enough. HR is not helpful either and literally are always too busy for their employees.
",,2.0,1.0,4.0,4.0,3.0,5.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Fri Jan 29 2021, CNC Machine Operator,"South Bend, IN",Former Employee ,decent place to work,0,"great pay at the time, decent benefits
","very fast paced at times
Advice to Management
need less white collar workers on floor
Helpful
Tenneco Response
February 3, 2021 – Executive Director Global Talent Acquisition
Thanks for the feedback","need less white collar workers on floor
Helpful
Tenneco Response
February 3, 2021 – Executive Director Global Talent Acquisition
Thanks for the feedback",3.0,3.0,3.0,4.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Jan 13 2021, QA/QC Technician,"Athens, AL",Former Employee ,Interesting place to work,0,"Good people. Not hardwork. Decent pay
They promoted growth from within
","Was hot in there
Alot to learn
Advice to Management
Give PPE to employees when you bring people in to sanitize. 
They were wearing hazmat suits spraying the place down and we didn't have anything
Helpfu","Give PPE to employees when you bring people in to sanitize. 
They were wearing hazmat suits spraying the place down and we didn't have anything
Helpfu",4.0,3.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Sun Jan 24 2021, Group Leader,"Marshall, MI",Current Employee ,Supervisor,0,"Benifits are great. Pay is grat
","No work/life balance at all
Helpful
Tenneco Response
February 3, 2021 – Executive Director Global Talent Acquisition
Thanks for taking the time to write. As we've navigated the situation with Covid and the impact to our plants it has created difficulty for scheduling. We're working hard to improve",,3.0,,,,,,,,
Sat Jan 09 2021, Manager,,Current Employee ,Good,0,"Good Company to work for
","there is some bureaucracy in the middle management ranks
Helpful
Tenneco Response
January 13, 2021 – Executive Director Global Talent Acquisition
Thanks for taking the time to leave a review and comment",,4.0,,,,,,,,
Fri Jan 08 2021, Manufacturing Engineer,,Current Employee ,Nice place to work,0,"Management is nice, pay is good, nothing to complain about
","Decent amount of work and sometimes during weekends but not awful
Advice to Management
Hire younger people for management. Some do not have modern ideals which I think is important
Helpful
Tenneco Response
January 13, 2021 – Executive Director Global Talent Acquisition
Thanks for the feedback","Hire younger people for management. Some do not have modern ideals which I think is important
Helpful
Tenneco Response
January 13, 2021 – Executive Director Global Talent Acquisition
Thanks for the feedback",5.0,3.0,4.0,3.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Operations Manager,,Former Employee ,Not bad,0,"Pay, Location, team members, lower management
","Good ole boy system. If they don't like you well you know how it goes
Advice to Management
.
Helpfu",".
Helpfu",3.0,,,,,,,,
Wed Jan 06 2021, Marketing Analyst,,Former Employee ,Loved to Work Here,0,"Good company to work for, great opportunities as well
","Would have liked to have more vacation time
Helpfu",,4.0,3.0,4.0,5.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Jan 16 2021, Material Handler/Forklift Operator,"Hartwell, GA",Former Employee ,Good money,0,"The location I worked at paid well
","You could work up to 84 hours a week
Helpfu",,3.0,,,,,,,,
Sat Jan 16 2021, Senior CI Manager,"Grass Lake, MI",Former Employee ,The company is good...some people are not,0,"The company is a well respected organization and there is a lot of opportunity to work in a different sites, learn different things and develop yourself.
","Some management players will support only the people they want or they like. If you are not part of the “club”, you will forgotten.
Advice to Management
Treat everybody equal..no matter what.
Helpfu","Treat everybody equal..no matter what.
Helpfu",3.0,5.0,3.0,2.0,3.0,5.0,Recommends,Neutral Outlook,Disapproves of CEO
Wed Feb 03 2021, CNC Machinist,"Kettering, OH",Former Employee ,Place is a joke,0,"Good pay, lots of OT
","Idiots, way too many idiots
Helpfu",,1.0,4.0,1.0,5.0,1.0,5.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Wed Jan 13 2021, Welder,"Marshall, MI",Current Employee ,Not good,0,"Good pay and love welding
","Very bad upper management help
Advice to Management
Focus on your workers more
Helpfu","Focus on your workers more
Helpfu",2.0,1.0,1.0,1.0,2.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
