date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 10 2021, Electrical Engineer Intern,"Fremont, CA",Former Employee ,Testing Intern for the team at Tesla,0,"Amazing workspace. Enhances your work ethic if you really like working hard
","If you dont want to move up the ladder and work, then dont come to Tesla.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Apr 27 2017, White Collar Worker In Service (Headquarters),"Fremont, CA",Current Employee ,"A unique company, but it’s hard to last more than a couple of years here.",825,"Completely casual dress code

Flexibility to work from home when needed

Always interesting to work at the factory

If you look at the SEC filings, you can see that the top people are basically compensated the same as the other employees, which is a pleasant surprise.

Many “beautiful people” here (male and female). Lots of eye candy.

A lot of people complain about the pay, but they paid me more than my last company, where I had the same title

LGBT friendly

The product is cool, and really fun to drive

If you’re in the right department, you might be able to drive a Tesla somewhat regularly. If not, there is an ongoing contest where you can be randomly selected to take one home for a couple of nights

The company is still growing

There is room to move geographically within Service, since Tesla owns the Service Centers

Lots of “car guy” coworkers to keep conversations interesting

Benefits actually got better and cheaper every year from 2012-2015, and stayed similar after that. I guess this was due to the company growing and getting better group rates. Regardless, not many people can say that.

You’ll frequently come to work that day expecting to work on a certain project and end up on something totally different. This can be good and bad.

Starting hours are typically flexible, which is a really nice perk. Nobody is making sure you’re in your seat at a certain time.

Most employees are surprisingly responsive and friendly.

Very heavy email-based communication, and it mostly works quite well.

You get good at doing the best you can with the resources you have, rather than doing the best possible job. This isn’t necessarily a complaint, since it’s a valuable skill to have, but you should consider if you’re going to be okay in that kind of environment before applying.
","Rare to be recognized, let alone thanked, for going above and beyond to accomplish something out of the ordinary. Once you've ""done the impossible"", it's just assumed that you can and will do it again and again from now on. 

Literally hundreds of people in one room, desks on top of each other, as many as possible in every little space. Companies claim that they’re being “modern” and “progressive” by not having offices and cubicles, but they’re just being cheap. Look at pictures of offices from the 1950’s. You’ll see the same hundreds of desks in a room.

Yearly raises are typically less than the cost of living

Work/life balance is mediocre at best

Smallish yearly bonuses in the form of golden handcuffs. RSUs that vest over 4 years, so you’ll wait a long time to benefit from them

Those who were hired before mid-2013 made a lot of money off stock options, but many of those people are leaving now that all of their options are used up. 

Revolving door. It’s hard to last more than a couple of years here. 

It’s always seemingly a few steps away from massive failure

Very few processes in place, so work is done extremely inefficiently

Very common to compose an email and see “This is no longer a valid Tesla address”

The entire Service organization shares one budget. I am scrimping to save $50 on software while a barely-related manager wastes literally tens of thousands of dollars a week on cool toys, and it all comes from the same place.

Everything’s urgent, and people try to name-drop that Elon’s watching this very project so I need to stop everything for them. Luckily those of us who have been around for a while see right through that charade.

Technically, no 401(k) match, though if you’re careful with the health benefits you choose, you can end up with some leftover that can be diverted into the 401(k).

Middle managers are very hit-and-miss. Many were promoted because a manager was needed and they were the only one who knew anything about the department. Much room for improvement here.

Minimal leadership training. No real employee development opportunities. The results are just as bad as you’d expect.

Massive inter-departmental struggles. Most of my problems can be traced to one power-hungry manager of a sister department. It only takes one person to ruin the work lives of many people. 

There are more meetings than I expected from this kind of company. Elon sent a great email about how wasteful meetings are, but people have fallen into old bad habits.

Completely ineffective HR department

Every department is grossly understaffed, just barely above the point of collapse. Nearly everyone has to work harder than they would if they were doing the same job at another company.

Anything that they can do in house, they’ll do, rather than outsourcing to a supplier. There are people who spend their whole careers deciding “make vs. buy”… no need for them here, it seems. This is corporate arrogance, and it reduces quality, wastes human resources, and slows time to market in many cases. A positive side effect is that more products are made here in California than would be if they were outsourced.

Inadequate parking

Note to hiring managers at other companies: Watch out if someone from Tesla has “Project Manager” on their title. Many of these people are just general office workers with no skills beyond harassing people via email.
Advice to Management
I was debating whether I approve of the CEO or not. 

On the one hand, he occasionally sends these excellent emails about business philosophy and avoiding siloing, wasteful meetings, and that managers are there to support their employees, not the other way around. 10/10 on that! When he leads an all-hands meeting, he usually has interesting things to say, especially if you can get him free-form thinking out loud during a Q&A session.

On the other hand, he is a relentless micro-manager and singlehandedly derails production, reduces product quality, makes hundreds of people have to work much harder, and causes massive waste because he wants to see every little detail and change those details at literally the last minute. It’s grossly inefficient and is ruining the company bit by bit. 

My advice to management: The company would work much better if Elon was only an idea man, locked up safely in a room somewhere, with his hands completely off of operations.
Helpful (825","I was debating whether I approve of the CEO or not. 

On the one hand, he occasionally sends these excellent emails about business philosophy and avoiding siloing, wasteful meetings, and that managers are there to support their employees, not the other way around. 10/10 on that! When he leads an all-hands meeting, he usually has interesting things to say, especially if you can get him free-form thinking out loud during a Q&A session.

On the other hand, he is a relentless micro-manager and singlehandedly derails production, reduces product quality, makes hundreds of people have to work much harder, and causes massive waste because he wants to see every little detail and change those details at literally the last minute. It’s grossly inefficient and is ruining the company bit by bit. 

My advice to management: The company would work much better if Elon was only an idea man, locked up safely in a room somewhere, with his hands completely off of operations.
",3.0,1.0,5.0,4.0,3.0,3.0,Neutral Outlook,,Disapproves of CEO
Mon Feb 08 2021, Manager,,Current Employee ,Fair Treatment,0,"I've been treated fairly at my time at Tesla
","Pay does not seem to match the output given
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Warehouse Associate,"Atlanta, GA",Current Employee ,Great,0,"Plenty of benefits and they’re extremely understanding. Their communication skills are great as well
","Some positions are more laborious and most employees work 12 hour shifts. They're attendance policy is on the stricter side which is understandable.
Advice to Management
Make sure the shift leads and supervisors are running shifts and treating employees the way Elon Musk intended his staff to be.
Helpfu","Make sure the shift leads and supervisors are running shifts and treating employees the way Elon Musk intended his staff to be.
Helpfu",5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Office Administrator,,Former Employee ,Office Admin,0,"I enjoyed my coworkers and management.
","They were laying people off every other day.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Customer Service Advisor,"Los Angeles, CA",Current Employee ,Employee,0,"Great over time opportunities. Great benefits.
","More work than life balance. Very little lot space depending on location.
Helpfu",,4.0,2.0,3.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Customer Experience Specialist,,Former Employee ,Good Overall Experience,0,"Very innovative and cool products
","High turnover for most employees
Helpfu",,4.0,3.0,4.0,3.0,3.0,4.0,Recommends,,Approves of CEO
Mon Feb 08 2021, Production Associate,"Sparks, NV",Current Employee ,Pretty Good,0,"- Extremely easy work given you are young and healthy

-Good benefits

-Management honest for the most part
","-Long Days

-Commute is awful and parking is too crowded

-Equipment and machines constantly break down
Advice to Management
Hiring qualifications should be a bit stricter, and please don't talk down to blue collar staff
Helpfu","Hiring qualifications should be a bit stricter, and please don't talk down to blue collar staff
Helpfu",4.0,3.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 09 2021, Strategy and Operations,,Former Employee ,Great place to work if you buy in to the mission,0,"Inspirational mission, outsized scope granted relative to your experience, minimal red tape
","Company values the mission more than its employees
Helpfu",,4.0,3.0,3.0,2.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Associate Process Engineer,"Fremont, CA",Current Employee ,Process Engineer,0,"Learning curve is too good
","Too much hours put into work
Helpfu",,4.0,3.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
