date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 09 2021, Senior Financial Analyst,"Waltham, MA",Current Employee ,Fantastic company,0,"Great culture of long-term thinking and not cutting corners.
Complex supply chains, ERP systems and manufacturing, which is hard to understand at first but very challenging.
","If you don't like complexity you will struggle here.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, R&amp;D Scientist,"Greenville, NC",Current Employee ,Great Place to Work,0,"Competitive salaries, opportunity for career growth and networking
","Your experience greatly depends on what site you work at
Advice to Management
Look internally for your future leaders
Helpfu","Look internally for your future leaders
Helpfu",4.0,3.0,3.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Production Team Lead,"Asheville, NC",Current Employee ,team,0,"stable work, good pay, meaning
","work life balance, long hours
Helpfu",,4.0,,,,,,,,
Sun Feb 07 2021, Senior Associate MFG,"Mountain View, CA",Current Employee ,Excellent,0,"Excellent work environment and management
","Work on Saturdays otherwise work environment and management is great
Helpfu",,5.0,,,,,,,,
Sun Feb 07 2021, Data Analyst II,,Current Employee ,Great company,0,"The benefits are great and our CEO is fantastic.
","The career track could be better defined.
Helpfu",,5.0,4.0,5.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Test Technician,"Asheville, NC",Current Employee ,End of the line performance test,0,"Good work environment and friendly people
","I couldn't find any as such
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021," Director, Marketing",,Former Employee ,Good place to work,0,"stable, innovative company, fast growing, inclusive culture
","lean in resources. heavy corporate processes
Helpfu",,4.0,4.0,4.0,5.0,4.0,3.0,,,
Sat Feb 06 2021, Quality Assurance,,Former Employee ,Great company,0,"Benefits, company direction, diversity of business
","Review process and HR. Visibility to new roles.
Advice to Management
Love company but HR is way too disconnected from the operational business to be of any help or support
Helpfu","Love company but HR is way too disconnected from the operational business to be of any help or support
Helpfu",4.0,4.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Intern ,"Hillsboro, OR",Current Employee ,Good company but i havent been here long,0,"Nice boss and office life
","Long work days or weeks sometimes
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021," Senior Manager, Marketing","Tewksbury, MA",Former Employee ,Keep your eyes open,0,"Great mission and lots of opportunities to move within
","Have to wait for at least one year to move to another role
Advice to Management
Including career development conversation in monthly meetings between managers and staffs.
Helpfu","Including career development conversation in monthly meetings between managers and staffs.
Helpfu",4.0,3.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Sales Manager,N/A,Former Employee ,Stable company for long-term growth,0,"Benefits are good and competitive compared to other companies.
","Workload could be too much some times.
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Student,"New Haven, CT",Former Employee ,na,0,"good learning experience, end to end process
","turn over is high as compared
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Material Handler I,"Rockville, MD",Former Employee ,Good company not great pay,0,"Great schedule, people and work place
","Promotions few
Compensation is not competitive
Helpfu",,4.0,4.0,5.0,5.0,3.0,3.0,Positive Outlook,,Approves of CEO
Wed Feb 03 2021, Manufacturing Technician,"Buffalo, NY",Current Employee ,Good,0,"Benefit is better in this comp
","Only 1-1.25 raise every yr
Helpfu",,5.0,5.0,4.0,5.0,5.0,5.0,,,
