date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 09 2021, Manager of Operations,"Hartford, CT",Current Employee ,Great place to work,0,"No shortage of opportunity to take advantage of
","Required to do a lot of innovation
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Associate Account Executive,"Phoenix, AZ",Current Employee ,Great Company,0,"Great company to work for. Excellent job training and educating employees.
","Pay is below average. WFH is annoying.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,,,
Fri Feb 05 2021, Business Intelligence Analyst,"Hartford, CT",Current Employee ,Business Intelligence Analyst,0,"The people who work there are always willing to help you succeed
","You don’t get to pick what team you go to
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Inside Sales Executive,"Chicago, IL",Current Employee ,Best Places to Work 2021 for a Reason,0,"Diverse, Experts, Excellence, Professionals, Internal Promotions, Encouraged to Grow Career, your health comes first, I mean honestly, anything positive is what Travelers has strived to be and continually executing.
","Giant company, with a lot of information to process (ie. training)
Advice to Management
Thank you for putting the trust into your employees
Helpfu","Thank you for putting the trust into your employees
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Outside Claims Adjuster,"Diamond Bar, CA",Current Employee ,Great Company! I Love Travelers!,0,"Colleagues, Pay, Management, Daily Tasks, Training, and Culture
","Not a con if you are a grinder, but the workload could intimidate some.
Advice to Management
Keep doing what you're doing!
Helpfu","Keep doing what you're doing!
Helpfu",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Utilization Review,"Buffalo, NY",Former Employee ,Great place to work,0,"Flexible hours, room for growth, work like balance
","Unable to work remote for a couple years
Helpfu",,5.0,5.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Wed Feb 03 2021, Outside Property Claims Adjuster,"Spartanburg, SC",Current Employee ,Good place to work,0,"Make your own schedule
Company car
Flexible hours
Great pay
Make your own decisions
","Workload is sometimes high

If you’re not good with time management, this job isn’t for you.
Advice to Management
No advice really. My manager is great, the job sometimes gets a bit ridiculous when it gets busy. However, it’s actually not that bad when you get into a groove.
Helpfu","No advice really. My manager is great, the job sometimes gets a bit ridiculous when it gets busy. However, it’s actually not that bad when you get into a groove.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Senior Director,"Hartford, CT",Current Employee ,Travelers lifer,0,"Strong market stability and good leadership
","nothing that i can think of
Helpfu",,5.0,,,,,,,,
Tue Jan 26 2021, Director,"Saint Paul, MN",Current Employee ,Great Place to Work,1,"Travelers is a company that genuinely cares about the well-being of its employees. I've worked for several different employers in both the public and private sectors, and working at Travelers has been the best experience by far. Certainly no job experience is perfect, but this is pretty close. I can't imagine working anywhere else and at this point I plan on working here until retirement.
","Broadly speaking management is great, but I've seen several instances in lower level management where the most qualified, professional candidate is passed over for someone less professional and less qualified, which is very frustrating. There are power struggles and politics are definitely at play in those first and second tier management level positions, at least as I've observed. But again, by the time you get to the upper management level, for the most part it's great people that truly do care.
Advice to Management
Regular, anonymous 360 reviews of managers by their direct reports would help weed out those ""bad"" managers who are ineffective, under-qualified, and are the ones driving turnover.
Helpful (1","Regular, anonymous 360 reviews of managers by their direct reports would help weed out those ""bad"" managers who are ineffective, under-qualified, and are the ones driving turnover.
",5.0,5.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, FLDP Analyst,"Hartford, CT",Current Employee ,Great place to work,0,"Surrounded by incredibly intelligent and passionate individuals. I’ve learned so much since joining my team.
","It’s in Hartford— not that great of an area.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
