date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Jan 12 2021, Sales Associate,"Phoenix, AZ",Current Employee ,Great Place to Work,0,"Great team members and leadership staff
","Lots of burecracy, and red tape
Helpfu",,5.0,5.0,5.0,2.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 08 2021," Registered Nurse, BSN","North Wilkesboro, NC",Current Employee ,Great Experience,0,"Proactive when it comes to employee safety and COVID response. Made it possible for team members to get vaccines if wanted and free COVID testing. Other incentives such as free health care for team members are in the near future.
","Long work weeks 5-6 days a week. As long as the plant runs, nurses are there. It is not your typical 3 day work week but you are also not gone 12 plus hours a day either. Year wait for vacation time.
Helpfu",,4.0,3.0,4.0,4.0,3.0,4.0,,,
Wed Feb 03 2021, Material Handler,"Council Bluffs, IA",Current Employee ,Cbcr tyson foods,0,"Plenty of overtime if you want it. Very diverse company
","Hardly get the day off you ask for
Helpfu",,5.0,3.0,5.0,5.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Lead Person,"Russellville, AR",Current Employee ,lead,0,"no benefits at all same as the other team members
","no bonus unless your a supervisor
Helpfu",,5.0,5.0,5.0,4.0,3.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Material Handler,"Sherman, TX",Current Employee ,Good,0,"The Money and the benefits
","Short break and long hours
Advice to Management
None
Helpfu","None
Helpfu",5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Data Engineer,"Springdale, AR",Former Employee ,Data Engineer,0,"Work Culture, Stability, Career growth
","Compensation, Job Locations, IT growth slow
Helpfu",,4.0,,,,,,Recommends,,Approves of CEO
Fri Jan 29 2021, Senior Project Manager,"Fayetteville, AR",Former Employee ,Restructuring due to digital transformation,0,"IT department was always looking to partner with customers to gain business advantage
","New path for IT management meant eliminating 30% of their department.
Helpfu",,4.0,,,,,,,,
Fri Jan 29 2021, Customer Development Manager,"Springdale, AR",Former Employee ,Fair,0,"Good Salary, Great People, fun to sell.
","Can be chaotic, systems catching up, meat industry not for everyone.
Helpfu",,4.0,5.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, General Laborer,"Hinesville, GA",Former Employee ,Great company hard work,0,"Great pay with awesome benefit
","Long hours short breaks extreme temperatures
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Wastewater Operator,"Rogers, AR",Current Employee ,Awesome Company,0,"Great environment, soild job, good pay
","Needs to be more fair in policy enforcement
Advice to Management
Work on it
Helpfu","Work on it
Helpfu",5.0,5.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Cone Line,"North Wilkesboro, NC",Current Employee ,Kicking chicken,0,"Good atmosphere and steady work
","The smell of raw meat will get to you
Helpfu",,4.0,4.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
