date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Jan 25 2021, Coordinator,,Current Employee ,Great company,0,"Good work life balance and hours
","Can’t think of any really
Helpfu",,5.0,5.0,,,,,,,
Tue Feb 09 2021, Bank Teller,,Former Employee ,good,0,"good management, positive environment ,helping coworkers
","no benefits for part time
Helpfu",,5.0,4.0,,,,,,,
Tue Feb 09 2021,Anonymous,,Former Employee ,Teller Coordinator,0,"Good atmosphere, Retention, Pay, Organization
","Hiring freezes, management, store closings
Helpfu",,4.0,,,,,,,,
Tue Feb 09 2021, Business Banking Specialist,,Current Employee ,Position,0,"Good position for those interested in business banking. Learn the basic loan and banking products
","Incentive Pay, very conservative borrower
Helpfu",,4.0,,,,,,,,
Mon Feb 08 2021, User Experience Architect,"Brookfield, WI",Current Employee ,"Great culture, solid leadership",0,"Great leadership, lots of room for growth, career growth encouraged
","Technology in use isn't always cutting edge
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Financial Analyst,,Current Employee ,Good company,0,"The company is Caring and supportive
","The company is very Conservative
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,,,
Mon Feb 08 2021, Personal Banker,,Former Employee ,Universal banker,0,"Good opportunities for lots of growth
","Work life balance is real bad
Advice to Management
Care more
Helpfu","Care more
Helpfu",4.0,1.0,1.0,4.0,4.0,4.0,,,
Mon Feb 08 2021, Accounting Clerk,"Minneapolis, MN",Current Employee ,USBank teller,0,"Good work environment, friendly collegues
","management changing a lot, inconcitsent menagement
Helpfu",,4.0,3.0,4.0,3.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Mon Feb 08 2021, Banker,,Current Employee ,Good,0,"Upper management helpful and resourceful
","Training is not as good as it should be
Helpfu",,4.0,,,,,,,,
Mon Feb 08 2021, Personal Banker,,Former Employee ,Universal banker,0,"Good opportunities for lots of growth
","Work life balance is real bad
",,4.0,1.0,1.0,4.0,4.0,4.0,,,
Sat Feb 06 2021, Customer Service Representative,,Current Employee ,Amazing,0,"Really enjoy working for this company.
","None that I can think of.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Sat Feb 06 2021, Account Executive,"Little Rock, AR",Current Employee ,Great Place To Work,0,"Understanding and supportive of the needs of their employees and customers. Flexible during the time of the pandemic.
","I can’t think of anything.
Advice to Management
Keep up the great leadership!
Helpfu","Keep up the great leadership!
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Vice President,"Washington, DC",Current Employee ,Current Employee,0,"Quality of work family balance
","None to report, great company
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Univesal banker,N/A,Former Employee ,Great Company for College Student,0,"Great Company, Great Ethics, and Chills
","Incompetence Manager, Lack of leadership
Helpfu",,5.0,3.0,5.0,5.0,3.0,3.0,,,
Fri Feb 05 2021, Business Analyst,"Saint Louis, MO",Former Employee ,Good company,0,"Great people, challenging work, good life/work balance
","Inability to push back on vendors to successfully complete projects
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Underwriter,,Current Employee ,Solid company,0,"Benefit package is generous and company is stable.
","Work Life balance is non existent.
Helpfu",,5.0,1.0,5.0,5.0,5.0,4.0,,,
Sat Feb 06 2021, Personal Banker,"Portland, OR",Current Employee ,Amazing Company,0,"Great opportunity for growth within the company
","I have yet to think of any
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Commercial Banker,"Sioux Falls, SD",Current Employee ,Banking,0,"Stable work with decent career path
","Many changes via restructuring regularly
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Bank Teller,,Former Employee ,Great place to work,0,"Great management, decent pay, pretty easy work once you get to know what you’re doing.
","If you open a lot It can wear you down a lot.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,
Thu Feb 04 2021, Customer Due Diligence Manager,"Charlotte, NC",Current Employee ,Overall good place to work,0,"Focus on diversity, well-managed, friendly atmosphere, managers fight to keep talent
","Overly bureaucratic, HR roadblocks to promotions, out-of-date technology
Helpfu",,4.0,5.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Product Owner,,Current Employee ,Love it Here,0,"Culture, People, Opportunities, Growth, Impact
","It can be difficult to get out of the business line you are in.
Advice to Management
There is opportunity within Business Line Management to approach as a Leader.
Helpfu","There is opportunity within Business Line Management to approach as a Leader.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Global Trade Representative,"Saint Paul, MN",Current Employee ,"Good benefits, Strained work/life balance at times",0,"The benefits and employee support are great
","During high business volumes, work days can stretch to 11-13 hours
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021,Anonymous,N/A,Former Employee ,Benefits Review,0,"Great benefits, very competitive and comprehensive
","Could have better dental and other
Helpfu",,5.0,5.0,4.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Part Time Teller,"Fitchburg, WI",Former Employee ,US Bank Teller Salary,0,"Friendly staff with a great branch manager.
","Understaffed at times which led to inefficiencies.
Helpfu",,4.0,,,,,,,,
Wed Feb 03 2021, Sales Manager,"Denver, CO",Former Employee ,"Stable company, decent people, too frugal, dated tech",0,"Enjoyed the people a lot. Had a tremendous boss who supported me and helped me grow in my career. Stable job with good opportunities.
","Very regimented organization. Penny wise and pound foolish. Technology, even basic stuff like functional laptops and business software, was lacking.
Helpfu",,4.0,,,,,,,,
Wed Feb 03 2021, Client Relationship Consultant,"Portland, OR",Current Employee ,US Bank,0,,"ltant in Portland, OR
Recommends
Positive Outlook
Approves of CEO
I have been working at U.S. Bank full-time
Pros
- Access to resources and training
- Emphasis on development and employee engagement
Cons
- Disconnect between certain business lines
Helpfu",,4.0,2.0,5.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Personal Banker,,Former Employee ,Good in most areas,0,"Opportunity for growth, and location.
","Most employees were out for themselves.
Helpfu",,4.0,4.0,3.0,3.0,4.0,2.0,Recommends,,Disapproves of CEO
Tue Feb 02 2021, Dual Branch Manager,"Little Rock, AR",Current Employee ,Great place to work,0,"Great place to work. Great ethics, values and they focus on their employees.
","You have a lot on your plate. Don't work here if you don't want to work.
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Software Test Automation Engineer,"Chicago, IL",Current Employee ,Good place to work,0,"I like company culture. Nice ppl
","I would not mention anything bad about them! Cool guys
Helpfu",,5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, CRC,,Current Employee ,Good company,0,"Good benefits and vacation is alright
","Work life balance is not good
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Bank Teller,,Current Employee ,Great,0,"Great benefits, schedule, and atmosphere
","Some challenges are very few branches open and very busy.
Helpfu",,5.0,5.0,5.0,5.0,5.0,,,,
Tue Feb 02 2021,Anonymous,,Current Employee ,Good place to work,0,"it promotes work life balance.
","The compensation may be uncompetitive.
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Manager,,Current Employee ,Great company,0,"Benefits, environment, diversity, flexibility, inclusion
","None that I can think of
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Software Developer,"Saint Paul, MN",Current Employee ,Pretty solid,0,"Good company with ethics. I enjoy working here.
","Bit slow. But also encourages employees to offer suggestions for improvement.
Helpfu",,4.0,5.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Wealth Management Associate,"Portland, OR",Former Employee ,"Stressful, but rewarding",0,"Fantastic team, supervisors and environments
","Stressful work and high demands from Senior Management
Helpfu",,4.0,,,,,,,,
Mon Feb 01 2021, Project Analyst,"Milwaukee, WI",Current Employee ,Perfect company to work,0,"Work life balance
Best learning opportunity
","There aren't any downsides of working in usbank
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Devops Engineer,"San Francisco, CA",Current Employee ,US Bank DevOps Salary,0,"Employment security, Good immigration team, Good HR team, Good culture
","Base salary and TC is less
Helpfu",,4.0,3.0,5.0,5.0,5.0,1.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Commercial Lending Team Lead,,Current Employee ,Great Bank,0,"High ethical standards. Team based environment with extensive product offerings.
","Speed to market and conservative credit culture.
Helpfu",,4.0,5.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Applications Developer II,"Minneapolis, MN",Current Employee ,Great Work/Life Balance,0,"Work/Life balance
Supportive team members
Thoughtful leadership
Progressive values
","Old tech
Too much down time
Too big for my taste (75,000 employees)
Pay is below market average
Helpfu",,4.0,5.0,4.0,4.0,4.0,2.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Teller Coordinator,,Former Employee ,Great place to work,0,"Good schedule, great work life balance, lots of room for advancment
","customers can act pretty entitled and treat you poorly.
Helpfu",,5.0,,,,,,,,
Sun Jan 31 2021, Business Banking Development Consultant,"Cleveland, OH",Current Employee ,Control your own career,0,,"ltant in Cleveland, OH
Recommends
Positive Outlook
Approves of CEO
I have been working at U.S. Bank full-time for more than 5 years
Pros
Rewards for those that earn it
Cons
No one taps you on the shoulder
Advice to Management
Mentor the careers of others
Helpfu","Mentor the careers of others
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 30 2021, CRC I,"Mount Vernon, IL",Current Employee ,Good company,0,"Flexible, good company, good ethics
","Tech focused, layoff in some positions
Helpfu",,4.0,,,,,,,,
Sat Jan 30 2021, Human Resources Coordinator,"Seattle, WA",Former Employee ,Human Resources,0,"Management is flexible and treats employees as individuals.
","Standard bureaucracy which limits innovation and efficiency in some areas.
Helpfu",,4.0,5.0,5.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Personal Banker,"Overland Park, KS",Former Employee ,Good Place,0,"Good Company, good culture, would recommend
","pressure to sell products leads to stress
Advice to Management
less focus on selling
Helpfu","less focus on selling
Helpfu",5.0,5.0,3.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Software Development Engineer,"Chicago, IL",Current Employee ,Great bank to work for.,0,"Work life balance is great. The place is fair and ethical.
","Pay not competitive. Bureaucracy gets in the way of progress.
Helpfu",,5.0,5.0,5.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Product Owner,"Minneapolis, MN",Former Employee ,Good place to work but some issues,0,"U.S. Bank has the highest ethical standards of any American bank, and it stands out for its decency and fairness. I never once felt looked down upon by management, and over my 13.5 years with the company I felt like I myself, my customers, and my co-workers were all treated fairly. There are lots of opportunities for hard workers, and I miss working there. (I was laid off in October 2020.)
","I have only minor complaints from my time working at U.S. Bank.

1. U.S. Bank may be nice, but it's also a ""no frills"" place to work. No fancy holiday parties at this company, and awards to outstanding workers are few and far between. Cost cutting never seems to end, and can be demoralizing.

2. Healthcare coverage with United Healthcare provided by this employer can be a challenge at times. The plans seem appealing at first for their low deductibles and low costs, and the employer sponsored FSA is nice. But if you want to make use of healthcare services you may find yourself fighting with United Healthcare on a regular basis. For example, the bank's mental health plan generously provides $0 co-pay outpatient services once individual deductible is met. But UHC does not code this into their claims processing, and that can mean numerous monthly phone calls you shouldn't have to make.

3. U.S. Bank has in recent years gotten into the bad habit of reorganization through layoffs, and I think they are still learning how to make the process humane. I didn't like that half of my severance payment came with significant strings attached. I especially didn't appreciate the lie told by the bank that laid off employees are favored for job openings. Not only was I turned down for numerous positions for which I was well-qualified, but absolutely no one I know who was laid off was able to successfully get back into the bank. I've only heard of it happening one time. In truth, getting laid off from the bank actually appears to be held against you when applying to get re-hired. The bank's outright lie about opportunities for laid off employees cost me a lot of valuable time.
Advice to Management
U.S. Bank is a great company to work for, and there is a lot to be proud of. I'd like to see laid off employees given better opportunities to apply for job openings. In general, it would be great to see this company try harder to avoid layoffs with better internal restructuring. A company that is always hiring should not be firing so many experienced people without some opportunity for them to first transfer to position openings.
Helpfu","U.S. Bank is a great company to work for, and there is a lot to be proud of. I'd like to see laid off employees given better opportunities to apply for job openings. In general, it would be great to see this company try harder to avoid layoffs with better internal restructuring. A company that is always hiring should not be firing so many experienced people without some opportunity for them to first transfer to position openings.
Helpfu",4.0,4.0,5.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Client Relationship Consultant,"Saint Louis, MO",Former Employee ,"Overall, US Bank is a good company",0,,"ltant in Saint Louis, MO
Recommends
Neutral Outlook
No opinion of CEO
I worked at U.S. Bank full-time for more than 3 years
Pros
I had great people to work with at my branch. I would feel comfortable going back to work for US Bank.
Cons
My immediate manager was very checked out for over a year and did not motivate or inspire us to do better. Most of us just did what was necessary to get by and keep our heads above water. Due to staff cuts, we were too understaffed to make efforts to go above and beyond sales-wise.
Advice to Management
Treat branch employees (including branch management) better so that they will work harder for you. Branch sales slump when no one is cheering on the sales team or tellers. Cutting branch positions and not having plans to replace those people brings down the morale. Remaining team members have to take on additional duties without pay increases and a lot of times have to do those additional duties without support or guidance.
Helpfu","Treat branch employees (including branch management) better so that they will work harder for you. Branch sales slump when no one is cheering on the sales team or tellers. Cutting branch positions and not having plans to replace those people brings down the morale. Remaining team members have to take on additional duties without pay increases and a lot of times have to do those additional duties without support or guidance.
Helpfu",4.0,4.0,4.0,5.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Jan 28 2021, Project Manager,,Current Employee ,great place to work,0,"Great benefits and great corporate values
","None as of right now
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Portfolio Manager,"Los Angeles, CA",Former Employee ,Good,0,"Diversity , good management, good dental insurance.
","Health insurance is not the best
Helpfu",,5.0,,,,,,Recommends,,Approves of CEO
Thu Jan 28 2021, Customer Service Representative,"Saint Paul, MN",Former Employee ,Short time assignment,0,"Great Remote, Vitural training provided
","Contract assignment was cut short due to branch closing
Helpfu",,4.0,3.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Jan 27 2021, Payroll Specialist II,,Former Employee ,company review,0,"Good start in HR/Payroll Career in a corporate setting
","No room for growth within the department. Pre-covid, no flexibility to work from home. Repetitive work. Office needs some update
Helpfu",,4.0,,,,,,,,
Wed Jan 27 2021, Executive Administrative Assistant,"Minneapolis, MN",Former Employee ,"Great experience, benefits not as good",0,"Had great manager and team
","Benefits and pay could have been better
Helpfu",,4.0,3.0,3.0,4.0,3.0,3.0,,,
Tue Jan 26 2021, Customer Service Consultant,,Current Employee ,Ethical company,0,,"ltant 
I have been working at U.S. Bank full-time
Pros
Ethical company that cares and does right be employees
Cons
To be completely honest, none
Advice to Management
NA
Helpfu","NA
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,,,
Wed Jan 27 2021, Senior QA Analyst,,Current Employee ,Great company,0,"Flexibility, 401k match, 3 weeks vacation depending on grade, sick time
","Depends on what area of the bank your work in
Helpfu",,5.0,4.0,5.0,3.0,5.0,5.0,Recommends,Positive Outlook,
Tue Jan 26 2021, RCA Manager ,"Charlotte, NC",Former Employee ,Great Opportunity!,0,"Work - Life Balance.
Growth Opportunities.
","Our group was initially over-staffed and then we had to downsize impacting many team members unexpectedly.
Advice to Management
Be more forward looking. Hire based on the work required.
Helpfu","Be more forward looking. Hire based on the work required.
Helpfu",4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,
Tue Jan 26 2021, Project Manager,,Current Employee ,Great company,0,"All levels of management really seem to care about their employees
","Big companies have lots of bureaucracy and that's the case here.
Helpfu",,4.0,5.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Customer Service Representative,"Minneapolis, MN",Current Employee ,What it’s like working there,0,"You get paid for being off every 30 hours you work 1 hour goes toward your paid time off
","Not enough time to be alone for a break
Advice to Management
You should learn to value your workers
Helpfu","You should learn to value your workers
Helpfu",4.0,3.0,3.0,2.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Software Development Intern,,Former Employee ,Great place to learn and grow,0,"Easy onboarding 
Good project
Nice company culture
Diversity and Inclusion a plus
","Technology wise, somewhat ancient
Help desk is hit or miss sometimes.
Helpfu",,4.0,4.0,5.0,5.0,5.0,4.0,Recommends,,Approves of CEO
Tue Feb 09 2021, Teller,"Bremerton, WA",Current Employee ,Ok company,0,"You Learn about banking processes.
","No opportunity for lateral move.
Helpfu",,3.0,,,,,,,,
Mon Jan 25 2021, Mortgage Loan Processor,,Current Employee ,Ratings,0,"It is a good company
","It is hard to switch from one career to another in the same company
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Teller,"Milwaukee, WI",Current Employee ,Great place to work,0,"Friendly Environment and cares for customers
","I have no complaints about this company.
Advice to Management
N/A
Helpfu","N/A
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Analyst,,Former Employee ,Liked my time,0,"They have teammates that care
","none that I can think of
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Credit Analyst (Commercial Real Estate),"Denver, CO",Former Employee ,Great Start,0,"Solid Entry-Level Pay for recent grads
","Limited Growth Opportunities, small bonuses
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Analyst,"Akron, OH",Former Employee ,GOOD PLAASE,0,"factors examined to create our custom formulas
","hen you step into SEI - anywhere in the world - you know you're not inside a traditional financial services company. We have no offices. Our open innovation spaces spur creativity, provocative artwork that inspires conversation, and flexible work-life balance that drives personal and professional growth. We are a place to inspire your work, build your voice, and grow your community.
We're different. And we're proud of it.
Helpfu",,4.0,5.0,5.0,5.0,5.0,,Neutral Outlook,,No opinion of CEO
Mon Feb 08 2021, Personal Banker,"Santa Clara, CA",Former Employee ,good team but low pay,0,"good communication in the team
","low pay and no advance opportunity
Helpfu",,3.0,3.0,4.0,4.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Mon Feb 08 2021, KYC Analyst,"Charlotte, NC",Current Employee ,Don’t really promote within,0,"Great team environment, great managers
","HR doesn’t really promote within
Helpfu",,3.0,3.0,4.0,5.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Feb 08 2021, Personal Banker,,Former Employee ,Personal Banker,0,"You get to meet a lot of people
","Too much pressure from manager and top executives to sell something
Helpfu",,3.0,2.0,2.0,1.0,2.0,3.0,,,
Mon Feb 08 2021, Private Wealth Associate,"Saint Paul, MN",Former Employee ,Fine,0,"decent pay, comfortable office, interesting
","Formal atmosphere, not a great culture
Helpfu",,3.0,4.0,2.0,3.0,3.0,3.0,Recommends,Neutral Outlook,
Sun Jan 24 2021, Relationship Banker,,Current Employee ,Satisfying,0,"I hear all time how much of a great bank we are. I definitely agree with this and can say everyone I have met in this company goes above and beyond in the work that they do.
","You won't survive long if you don't have a natural ability for banking.
Helpfu",,5.0,3.0,5.0,5.0,3.0,3.0,Approves of CEO,,
Mon Feb 08 2021, Director,"New York, NY",Former Employee ,Limited opportunities,0,"Very nice folks in New York and head office
","Limited opportunities. Inexperienced senior management. Good old boys club.
Helpfu",,2.0,2.0,1.0,1.0,1.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Sat Feb 06 2021, Client Relationship Consultant,"Davenport, WA",Current Employee ,It's okay,0,,"ltant in Davenport, WA
I have been working at U.S. Bank part-time
Pros
Coworkers are typically great
Good benefits
Cons
Very very little communication
Unreasonable sales goals
Overall stressful environment
Helpfu",,3.0,,,,,,,,
