date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Jan 16 2021, Customer Service and Support Specialist,"Louisville, KY",Current Employee ,"Great Benefits, Constsntly Changing process",0,,"sntly Changing process""
5.0
★★★★★
Current Employee - Customer Service and Support Specialist in Louisville, KY
Recommends
Positive Outlook
No opinion of CEO
I have been working at UPS full-time
Pros
Amazing Benefits selection, Essential Business, Consistent hours and overtime, entry level, many growth opportunities, yearly raises of 3-5%, vacation increase over years worked (2 wks 1-5 years, 2.5 wks 5-10 yrs, 3 wks 10-15 yrs, 3.5 wks 15-20 yrs, 4 wks 20-25 yrs), Retire with 401k after 25 years of service, 401k match by company up to 10%, discounted UPS stock, various coupons from local businesses fo rworking with company
Cons
Job process changes constantly, management not vary communicative, processes do not always make the most sense/are the most efficient, overtime mandatory during peak and any time it is needed, slow seasons where you may only get 25-30 hours a week, 1st year of work vacation accrues monthly, may not take off during peak, vacation is based on seniority and only a certain amount of people per day may take off, those who take off full weeks take priority,
Advice to Management
I understand this is a large company and management is under constant pressure, as a team member that works hard it would be more encouraging to have more upfront communication about job processes. I would also like more clarification on what our main goal is (is it customer service or company service)
Helpfu","I understand this is a large company and management is under constant pressure, as a team member that works hard it would be more encouraging to have more upfront communication about job processes. I would also like more clarification on what our main goal is (is it customer service or company service)
Helpfu",5.0,4.0,4.0,3.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Sat Jan 03 2015,N/A,"Auburn, ME","Delivery Driver in Auburn, ME",Package driver for 27 years,909,"The pay is excellent .health care is 100 % paid with 100 %coverage...with exception to eye and dental which is about 70%..coverage...pension is outstanding..full package with wages and benefits is worth 130,000 yearly..without a college education I am grateful for the standard of living UPS HAS AFFORDED ME AND MY FAMILY!...and with 27 years of service I now get 6 weeks vacation with 8 sick days..and 9 paid holidays...we work hard like many people in the work force but we are well compensated!.
","The only con is while your children are young you give up a lot of family time..I never got to watch my kids play sports and missed a lot of their growing years...the job can be hard on your home life but if you can make it through those years you and your family will enjoy the financial freedom that UPS provides...and now I look forward to a prosperous retirement!...so hang in there all you young drivers...
Advice to Management
Ditch Orion ...95 % if your drivers are loyal and are out there to save time and miles !!! Orion puts ridiculous restrictions on them!!! especially in remote areas...and to upper management I would recommend you compensate your mid to lower management with the same excellent pay and benefits you give us drivers..when they see us drivers with better benefits it makes bitter management..everyone should be able to say they are proud and well compensated to work for UPS...it's what has kept UPS a cut above the competition quality employees for quality pay...
Helpful (909","Ditch Orion ...95 % if your drivers are loyal and are out there to save time and miles !!! Orion puts ridiculous restrictions on them!!! especially in remote areas...and to upper management I would recommend you compensate your mid to lower management with the same excellent pay and benefits you give us drivers..when they see us drivers with better benefits it makes bitter management..everyone should be able to say they are proud and well compensated to work for UPS...it's what has kept UPS a cut above the competition quality employees for quality pay...
",5.0,2.0,4.0,1.0,5.0,3.0,Recommends,Positive Outlook,
Fri Feb 05 2021, Director of Strategy,"Atlanta, IN",Current Employee ,Company in the midst of Transformation,1,"Great People to work with
","Uncertainties about the future of a unionized work force
Helpful (1",,4.0,1.0,3.0,4.0,3.0,3.0,Recommends,Positive Outlook,Disapproves of CEO
Sat Feb 06 2021, Account Executive,"Louisville, KY",Current Employee ,Great company,0,"Competitive salary. Schedule flexibility. Opportunity for advancement
","Work/life balance, long hours at times.
Advice to Management
Great company
Helpfu","Great company
Helpfu",4.0,3.0,5.0,5.0,5.0,5.0,,,
Sun Feb 07 2021, Delivery Driver,,Former Employee ,Good,0,"Good place to work, very busy, keeps you going all day.
","Very very busy, work a lot of hours
Helpfu",,4.0,3.0,4.0,4.0,3.0,4.0,,,
Sun Feb 07 2021, Seasonal Driver Helper,,Former Employee ,"Pretty decent place to work,",0,"Decent pay, good benefits, nice culture
","Physically demanding, as you have to sit in a truck for 8 hours and run packages constantly
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,,,
Sun Feb 07 2021, Delivery Driver,,Current Employee ,Hours,0,"Pay is decent and the work is in abundance
","No balance of personal life
Helpfu",,4.0,1.0,5.0,4.0,5.0,5.0,,,
Sat Feb 06 2021, Server,"Atascocita, TX",Current Employee ,Very good working business,0,"Hardworking, constant business, safe, nice teammates
","Night shift, not enough hours
Helpfu",,5.0,4.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Preloader,,Current Employee ,Great Workplace,0,"Flexible with hours and availability most of the year.
","Hard work and not the best working hours, mostly either early morning/overnight hours.
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Air Ramp Person,"Ontario, CA",Current Employee ,Ramp Driver,0,"Health benefits.
Earn and Learn Education Programs.
Flexible Hours
","Progression is slow, this is because it is based on time put in.
Helpfu",,4.0,4.0,3.0,4.0,3.0,4.0,,,
Sat Feb 06 2021, Account Executive,"Louisville, KY",Current Employee ,Great company,0,"Competitive salary. Schedule flexibility. Opportunity for advancement
","Work/life balance, long hours at times.
",,4.0,3.0,5.0,5.0,5.0,5.0,,,
Fri Feb 05 2021, Delivery Driver,"Chantilly, VA",Former Employee ,Great place to work,0,"Packages keep coming, so job security.
","You have to drive in bad weather
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Business Development,"Phoenix, AZ",Current Employee ,Good Company,0,"Great pay and benefits, PTO. Vacation, Sick Days
","Over analytical, always requesting unnecessary paperwork, no time to sell unless work after hours
Advice to Management
Stop being so analytical of everything.
Helpfu","Stop being so analytical of everything.
Helpfu",5.0,3.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,
Fri Feb 05 2021, Seasonal Driver Helper,"Denver, CO",Former Employee ,would do it again.,0,"Great pay, flexible schedule, good seasonal gig
","none. didn't hire after the season
Helpfu",,5.0,,,,,,Recommends,,
Fri Feb 05 2021, Part Time Package Handler,"Goodyear, AZ",Current Employee ,Great First Job,0,"Good hours and Great Safety Training
","There are none that I have had
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Data Scientist,,Former Employee ,nice company to work,0,"work life balance is pretty good
","you may find it boring sometimes
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Building and Systems Engineering Specialist,"Dallas, TX",Former Employee ,Great place to work for benefits,0,"Great entry position and upward mobility
","Be prepared to work shifts at odd hours including weekends and nights
Advice to Management
If you want to improve retention be more generous with vacation packages for new employees and stop giving seniority preferences on vacation. Especially when new employees get the fewest vacations and last pick at off time.
Helpfu","If you want to improve retention be more generous with vacation packages for new employees and stop giving seniority preferences on vacation. Especially when new employees get the fewest vacations and last pick at off time.
Helpfu",4.0,1.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, PVD Personal Vehicle Driver,"Asheville, NC",Former Employee ,Chaos but good pay,0,"Pay is good and you work independently
","If you get stuck somewhere don't count on UPS to help you. Very much a figure it out on your own culture
Helpfu",,4.0,,,,,,,,
