date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Feb 04 2021, Sales Consultant,"Memphis, TN",Current Employee ,Great company,0,,"ltant in Memphis, TN
Recommends
Positive Outlook
Approves of CEO
I have been working at US Foods full-time
Pros
Freedom, honesty, training, sense of accomplishment, recognition
Cons
Communication can be lacking at times like most larger companies
Helpfu",,5.0,5.0,5.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, EDI Business Analyst,"Gilbert, AZ",Current Employee ,Great place to work.,0,"Work from home, flexible schedule, great support team
","Pay could be better but not bad.
Advice to Management
Put more emphasis on retaining your dependable high performers
Helpfu","Put more emphasis on retaining your dependable high performers
Helpfu",4.0,5.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,
Wed Feb 03 2021, Production Specialist,"Austin, TX",Former Employee ,Innovative foodservice distributor,0,"We developed software and innovative food products to make running a restaurant easier and more profitable.
","US Foods is a large company with many moving parts, so implementing innovation and utilization requires a great team and lots of self-motivation.
Advice to Management
Have better compensation rates for the employees who work hard to make a difference.
Helpfu","Have better compensation rates for the employees who work hard to make a difference.
Helpfu",5.0,3.0,5.0,5.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Feb 03 2021, Territory Manager,"Phoenix, AZ",Current Employee ,Great place to work,0,"Great support from manager to help me grow
","Work life balance is difficult
Helpfu",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Tue Feb 02 2021,Anonymous,,Current Employee ,"Fantastic company, good leadership, challenging work, decent work life balance",0,"Leadership, technology, work life balance, team culture, pay.
","Need to continue to better align initiatives from top to bottom. Stick with ideas/initiatives long enough to ensure they are proven out and appropriately staff support functions.
Advice to Management
Ensure the vision and priorities penetrate all levels.
Helpfu","Ensure the vision and priorities penetrate all levels.
Helpfu",4.0,4.0,4.0,3.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Order Selector,"Fairburn, GA",Current Employee ,Good hob,0,"Great pay at current location
","Physical work but fun atmosphere
Advice to Management
Should listen to workers more
Helpfu","Should listen to workers more
Helpfu",5.0,2.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, National Sales Manager,,Current Employee ,Great,0,"Great company and great people
","Growth opprotunity for a management career
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Sales Support,"Portland, OR",Current Employee ,Best Company Ever!!!,0,"Team environment, competitive salary, opportunity for advancement
","I can’t think of any
Advice to Management
Keep it up
Helpfu","Keep it up
Helpfu",5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Category Manager,"Philadelphia, PA",Former Employee ,Great team and support,0,"Great team and support network.
","Some issues were out of reach to fix at a regional level causing frustration.
Helpfu",,5.0,4.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Business Intelligence Analyst,"Rosemont, IL",Former Employee ,Best Career Move Ever,0,"Exciting role supporting decision makers
","Covid has hurt the foodservice industry
Helpfu",,4.0,3.0,5.0,5.0,4.0,3.0,Recommends,,
