date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Feb 07 2021, Staff Auditor,"San Antonio, TX",Current Employee ,Dedicated to Learning,0,"Work life balance is important to the company, education and interest professional growth is evident
","There are no cons at this time.
Helpfu",,5.0,,,,,,,,
Sun Feb 07 2021, Modeling Analyst,"San Antonio, TX",Current Employee ,Experience,0,"Nice working culture, mission & purpose
","Too many changes as of recently.
Helpfu",,4.0,4.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sun Feb 07 2021,Anonymous,,Current Employee ,Slipping,0,"Independence and can pick from many projects. And incredibly loyal customer base. Huge opportunities to improve things and easy to be a “hero” solving many simple challenges.
","IT is a mess. They take months or years to implement changes that should take weeks at most. The talent has become inbred with very few new ideas. 
The desire or need to have new systems “customized” to USAA vision means almost none of it can be easily upgraded.
Advice to Management
Use data to make decisions. Your gut instincts are failing you terribly. And get some IT leaders who know what current capabilities are out there.
Helpfu","Use data to make decisions. Your gut instincts are failing you terribly. And get some IT leaders who know what current capabilities are out there.
Helpfu",4.0,5.0,5.0,5.0,4.0,4.0,Doesn't Recommend,Neutral Outlook,
Wed Feb 03 2021, Senior Digital Product Manager,"Chicago, IL",Current Employee ,"Great benefits, but despairingly bureaucratic",1,"Friendly culture, great mission, great work life balance, fantastic benefits and generous bonus. Lots of opportunity to move around and gain broad functional expertise.
","Hard to move up from within, corp culture has become over-focused on risk mitigation at the expense of making timely, common sense improvements to the digital experience. Also hampered by legacy tech infrastructure. Most people are great, but there are a lot of shameless self-promoters and con-artists in the bloated management tier.
Helpful (1",,4.0,5.0,5.0,4.0,4.0,3.0,Recommends,Negative Outlook,No opinion of CEO
Fri Feb 05 2021, Membership Account Representative,"Colorado Springs, CO",Former Employee ,Great Place to work,0,"Good pay, decent hours, amazing facility, and great training.
","The only thing that could improve would be the technology. Better computers and software.
Advice to Management
None
Helpfu","None
Helpfu",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Anti,"Boise, ID",Current Employee ,Great Place,0,"Lots of people joining everyday, a clear mission and a good product
","Lots of changes happening all at once
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Customer Service Team Manager,"San Antonio, TX",Current Employee ,Amazing place to work.,0,"Great benefits and compensation package
","Lack of promotional opportunities due to high degree of tenure
Advice to Management
Find a way to engage tenured employees
Helpfu","Find a way to engage tenured employees
Helpfu",5.0,4.0,5.0,5.0,2.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Sat Feb 06 2021, Loan Originations Specialist,"Tampa, FL",Current Employee ,Amazing company if you enjoy call center work,0,"Awesome bonuses and pay, exceptional benefits, as well as plenty of PTO and you’re able to purchase more if needed during enrollment period. I love my manager and team! USAA tries their absolute best to create an amazing call center experience.
","Can still get extremely burnt out from calls
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Senior Insurance Specialist,"San Antonio, TX",Former Employee ,Very Customer Focused Organization,0,"Outstanding Employee Benefits Packages for Full Time Workers
","You are underpaid compared to some other organizations
Advice to Management
Offer more opportunity for advancement for call center employees
Helpfu","Offer more opportunity for advancement for call center employees
Helpfu",4.0,,,,,,,,
Fri Feb 05 2021, Licensed Insurance Professional,"San Antonio, TX",Current Employee ,IP1,0,"Pretty good pay very supportive good maternity leave great benefits awesome work culture
","If you don’t have tenure the schedule stinks, not flexible hours at all
Helpfu",,4.0,3.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
