date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Feb 21 2020,Anonymous,,Current Employee ,Life on the Railroad is great,0,"Great benefits, competitive salaries
","Schedule can be hard to adjust to because certain positions are on call 24/7
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,
Mon Feb 08 2021, Chief Diversity Officer,"Omaha, NE",Current Employee ,Good company at building long-term careers,1,"Great pay and benefits. Very stable company. You will build long-term friendships here. They promote from within. Extremely dedicated to D&I efforts. Free college education through UNO. You can go in almost any direction for your career. I have been in 3 very different and distinct jobs.
","Tough to get into UP. In operating, you may need to move.
Helpful (1",,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Senior Manager,"Houston, TX",Former Employee ,do not work for this company,2,"pay, diversity and group setting
","no time off, no support
Advice to Management
we need more time off
Helpful (2","we need more time off
",2.0,1.0,1.0,3.0,2.0,4.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Fri Feb 05 2021, Director,,Current Employee ,Great Company,0,"Great Company to work for
","Constant change with lack of clairity
Advice to Management
More transparency
Helpfu","More transparency
Helpfu",5.0,,,,,,,,
Tue Feb 02 2021, Locomotive Engineer,"Beaumont, TX",Current Employee ,Just a job,3,"Good pay and benefits coworkers
","No work life balance management
Helpful (3",,2.0,,,,,,,,
Thu Feb 04 2021, Manager,,Current Employee ,Culture is ok,0,"Decent benefits, pay, and vacation.
","Unstable wind culture has declined.
Helpfu",,3.0,2.0,3.0,4.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Wed Feb 03 2021, Operations,N/A,Former Employee ,Union Pacific,1,"They have great pay and benefits.
","The culture was not great and the hours were long.
Helpful (1",,3.0,1.0,2.0,4.0,2.0,,Disapproves of CEO,,
Mon Feb 01 2021, Train Dispatcher,"Omaha, NE",Former Employee ,Great Company to work for,0,"Great pay, good people to work with
","Schedule always subject to change
Helpfu",,5.0,2.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Wed Jan 27 2021,Anonymous,,Current Employee ,"Enjoy working in HR department, not a fan with corporate decisions",1,"Working for a railroad
Good pay, decent benefits
","UP wants to make more money obviously, and that means more cuts across the board.
Advice to Management
Don't pursue PSR.
Helpful (1","Don't pursue PSR.
",4.0,5.0,3.0,3.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Tue Jan 26 2021,Anonymous,,Current Employee ,Not for Family,2,"Good employees for the most part.
","Little to no personal life. They used to stress quality of life but no those 3 words are non existent. No work/life balance in management in the field. Started with an 8 on and 7 off schedule then moved to an 11 on 3 off schedule. Current schedule is 12 on and 2 off with travel a majority of the time. If you’re looking for a 9 to 5 don’t look here. Started the day off at 3 am and finished the day at 1100 pm (not kidding) to be back up by 5 am. Changed to management after multiple restructures which was ultimately just the company reducing the amount of people they employ and taking the work those people did and putting it on those that remain.
Advice to Management
Will not matter what you put.
Helpful (2","Will not matter what you put.
",2.0,1.0,3.0,4.0,2.0,3.0,Doesn't Recommend,,
Mon Jan 25 2021, Mechanical Engineer,"Little Rock, AR",Former Employee ,Bb,0,"Very good job great wonderful
","Long stressful consuming spontaneous frenetic
Helpfu",,3.0,,,,,,,,
Fri Jan 22 2021, Conductor/Locomotive Engineer,"Houston, TX",Former Employee ,Be prepared to not have a life.,2,"Good benefits and pay. You get to see the world.
","On call all the time. Can not plan anything in life and they will own you if you expect to keep a job with them. Union Pacific Railroad will be your new family.
Helpful (2",,2.0,,,,,,,,
Fri Jan 22 2021, Director,"Houston, TX",Former Employee ,Decent company,0,"Great people and ability to move up.
","Management is not transparent. Bonus is always a surprise.
Helpfu",,4.0,2.0,2.0,1.0,5.0,4.0,Recommends,Negative Outlook,Approves of CEO
Thu Jan 21 2021, Train Conductor,,Current Employee ,I don't know,0,"Pay and retirement always working with different people
","Furloughs... always trying to catch you to fire you
Helpfu",,3.0,,,,,,,,
Sun Jan 17 2021, Freight Conductor,,Current Employee ,Not so good,2,"Can make a decent living
","Not compensated enough for time away
Advice to Management
Do better
Helpful (2","Do better
",2.0,,,,,,,,
Sun Jan 17 2021, Business Analyst,"Omaha, GA",Former Employee ,Salary,0,"Great environment to work on. Nice people.
","Office could be more updated
Helpfu",,4.0,5.0,5.0,5.0,5.0,5.0,Approves of CEO,,
Mon Jan 18 2021, Train Dispatcher,"Omaha, NE",Current Employee ,its ok,0,"good money. I like my co workers
","cannot get time off when need it
Helpfu",,4.0,,,,,,,,
Fri Jan 15 2021, Conductor/Freight,"Kansas City, MO",Current Employee ,Expect to get laid off,2,"Great pay and retirement benefits
","3 layoffs in seven years
Helpful (2",,2.0,2.0,2.0,2.0,3.0,4.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Sat Jan 16 2021, Freight Conductor,"Livonia, LA",Current Employee ,Good company,0,"Good company pay is good once you are done with training and working on your own.
","Working on call for the first couple of years while you gain seniority
Helpfu",,4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
