date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Feb 08 2021, Flight Attendant,"Houston, TX",Current Employee ,Great workplace,0,"Definitely there’s alot of misconception of being a flight attendant. It’s definitely a career pay gets better the longer you are with the company. Being a flight attendant is all about seniority. And also flying is not for everyone.
","No fixed schedules so you sleep whenever you can. Being away all the time.
Advice to Management
Listen more to your employees
Helpfu","Listen more to your employees
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Feb 06 2021, Senior Staff Representative Flight Dispatch Support,"Chicago, IL",Former Employee ,Solid corporation with good people to work with,0,"United Airlines is a solid company with good benefits. Employees like what they do and work together to do it well. When times get tuff, the employees step up and do what it takes.
","Airlines can be a cyclable business and tuff times can get extremely rough on employees who have vested so much.
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Airline Pilot,"Houston, TX",Former Employee ,Salary,0,"UAL Excellent place to work
","Covid will continue to impact the industry
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Wed Feb 03 2021, United Airlines Flight Attendant,"San Francisco, CA",Current Employee ,Great company,0,"Flexibility is great once you have a schedule.
","If you want to make the top money, you have to be gone a lot.
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Lead Customer Service Representative,"Houston, TX",Current Employee ,Great opportunity for movement,0,"Good salary, benefits, opportunity for movement
","Mid level management all about metrics
Advice to Management
Devote more energy into people rather than demanding perfect metrics
Helpfu","Devote more energy into people rather than demanding perfect metrics
Helpfu",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Airline Pilot,"Denver, CO",Current Employee ,Excellent place to work,0,"Great place for a career. Numerous types of aircraft to fly. A lot of great destinations.
","I guessing would say having to put up with the industry swings. You find this with every company in the airline business but it’s a pain.
Helpfu",,5.0,4.0,5.0,5.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Ramp Agent,"Dulles, VA",Current Employee ,amazing,0,"the work schedule is flexible and they work with you as much as possible
","cannot think of any negatives other with the company
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Customer Service Representative (CSR),"Littleton, CO",Former Employee ,Excellent,0,"Awesome company to work for (would do it again)
","Distance from home to airport was longer than preferred
Advice to Management
Find ways for company to survive the Covid Pandemic
Helpfu","Find ways for company to survive the Covid Pandemic
Helpfu",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Yes,"Warsaw, AL",Current Employee ,Yes,0,"Yesssssssssssssss yes yes yes yes yes
","No no no no no no no
Advice to Management
None none none none
Helpfu","None none none none
Helpfu",5.0,5.0,3.0,2.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Flight Attendant,"Chicago, IL",Current Employee ,Amazing,0,"Good pay, amazing experiences, great benefits
","Being furloughed because of Covid, being away from family due to schedule
Advice to Management
Manage furloughs better
Helpfu","Manage furloughs better
Helpfu",5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Sun Jan 31 2021, Customer Service Representative,"Atlanta, GA",Current Employee ,great place to work,0,"Great compensation, flexibility, pay, support
","nothing, nothing, nothing, nothing, nothing
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 31 2021, Flight Attendant,"Dulles, VA",Current Employee ,United,0,"Benefits are wonderful protected by Union
","Furloughs due to COVID 19
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Negative Outlook,Approves of CEO
Fri Jan 29 2021, United Airlines Global Services Representative,"Dulles, VA",Current Employee ,United Airlines,0,"Flexible, part time work, friendly environment and stimulating fast-paced jobs.
","Weekend and holiday work unavoidable, very strict on timeliness
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Flight Attendant,,Current Employee ,Great Job,0,"You get to travel the world
","Aren’t always home for holidays
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Flight Attendant,,Current Employee ,Flight attendant job,0,"Great benefits, flexible schedule, supportive union.
","Very large company so you can get lost in the mix
Helpfu",,5.0,5.0,4.0,5.0,5.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Jan 28 2021, Flight Attendant,"Chicago, IL",Current Employee ,Good company. Great benefits.,0,"Flight benefits and schedule flexibility.
","More junior workers have to work holidays.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Ramp Agent,"Philadelphia, PA",Current Employee ,great place to work and. great Environment,0,"great place to work and great environment
","riding stand by Travel gets to be little hard
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Customer Service Representative,"Miami, FL",Current Employee ,good job,0,"nice people, good work ambience,
","just a few hours a day working and 5 days a week
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Sun Jan 24 2021, Flight Attendant,"Arvada, CO",Current Employee ,Amazing,0,"Get to travel the world
","Lack of stability but flexible once you gain seniority
Advice to Management
We are humans, not cogs in your machine
Helpfu","We are humans, not cogs in your machine
Helpfu",5.0,3.0,4.0,5.0,4.0,5.0,Recommends,Negative Outlook,Disapproves of CEO
