date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Jan 19 2021, Business Manager,"San Diego, CA",Current Employee ,Great place to work!,0,"Flexible schedule, awesome employees, boss is funny and easy going, great work culture.
","Ups and downs that come with every start up!
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Warehouse Associate,"Greenwood, IN",Former Employee ,Fast pace,0,"Money is good and nice people
","Lots of work in a small building
Helpfu",,4.0,,,,,,Doesn't Recommend,Positive Outlook,
Tue Feb 09 2021, Operations Supervisor,"Montgomery, NY",Current Employee ,Meaningful Challenging Work and Great Pay,0,"Excellent PAY plus commission
Job stability
Great support
Good time off
Nice people
Recognition
","Work is very physical, not for everyone, 50-60 hours a week
Advice to Management
Provide more PTO and be more flexible with attendance
Helpfu","Provide more PTO and be more flexible with attendance
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Operations Superintendent,"Harrisburg, PA",Former Employee ,Good company to work for,0,"Room for advancement within the company
","Life balance sometimes was unbalanced. Had to work even on days off.
Helpfu",,4.0,3.0,3.0,5.0,4.0,4.0,,,
Mon Feb 01 2021,Anonymous,,Current Employee ,IT review,0,"Good company and people with great benefits
","pay could be a lot higher
Helpfu",,4.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Warehouse Order Selector,"Fort Wayne, IN",Former Employee ,Order Selector,0,"Good money. Great Leadership. Plenty of overtime
","Long hours some days if you don't like that.
Helpfu",,5.0,3.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Financial Analyst,"Minneapolis, MN",Former Employee ,Good Company overall,0,"Good Market to be in these days- food.
","Changing business focus to distribution is sometimes difficult.
Helpfu",,4.0,2.0,2.0,2.0,2.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Supplier Relationship Specialist,"Providence, RI",Former Employee ,Overall Good Place to work,0,"Hours, People, always learning new things, community outreach.
","Raises are very small unless you switch positions.
Helpfu",,4.0,4.0,5.0,5.0,3.0,3.0,Recommends,,Approves of CEO
Tue Feb 09 2021, Order Selector,"Milwaukie, OR",Former Employee ,Order Selector,0,"Great pay. Great Benefits. Plenty of OT.
","Very fast paced. High turnover. One day off per week.
Advice to Management
More days off.
Helpfu","More days off.
Helpfu",3.0,1.0,3.0,4.0,2.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Jan 25 2021, Logistics Assistant,"Providence, RI",Current Employee ,Good company,0,"Working from home, great boss, flexible hours.
","I feel slightly underpaid for my position
Helpfu",,4.0,5.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Sun Jan 24 2021, Sales Consultant,,Current Employee ,Great place to work!,0,,"ltant 
Recommends
I have been working at United Natural Foods full-time
Pros
Great team, strong work/life balance.
Cons
Car time can be substantial some weeks.
Helpfu",,5.0,,,,,,Recommends,,
Fri Feb 05 2021," Manager, Indirect Category","Eden Prairie, MN",Former Employee ,Gaslighting employees is pervasive. Phony corporate messaging.,0,"Office is on a lake and has extensive walking trails.
","Caucasian baby boomers are wall to wall.
Advice to Management
Listen
Helpfu","Listen
Helpfu",2.0,1.0,1.0,1.0,3.0,2.0,Doesn't Recommend,Negative Outlook,
Fri Feb 05 2021,Anonymous,"Montgomery, NY",Current Employee ,Own risk,0,"On site nurse to take your vitals to give you a cheaper rate
","It takes 6 months or more to hear back
Advice to Management
They think they are doing great it will never change until the old mentality gets removed and stop taking from the same dirty bucket
Helpfu","They think they are doing great it will never change until the old mentality gets removed and stop taking from the same dirty bucket
Helpfu",2.0,2.0,1.0,3.0,2.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Jan 20 2021, Manager Sales,"Minneapolis, MN",Current Employee ,Great company and interesting work!,0,"Great company that provides valuable services
","Old-school business environment and technical infrastructure
Helpfu",,4.0,,,,,,,,
Tue Jan 19 2021, Order Selector,"Mechanicsville, VA",Current Employee ,Great place to make money!,0,"The are great and love to work here.
","none so far. I just started but so far so good.
Helpfu",,4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Tue Jan 19 2021, Shared Services,,Current Employee ,Review,0,"Great team atmosphere and management
","There can be a lot of turnover
Helpfu",,4.0,,,,,,,,
Tue Feb 02 2021, CDL,"Missoula, MT",Current Employee ,Generally good,0,"Good pay. Nice hotels for layover
","Large Corporation. Just a number to them
Helpfu",,3.0,4.0,3.0,3.0,2.0,4.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Mon Feb 01 2021, Order Selector,"Aurora, CO",Current Employee ,Dont do it,0,"Good pay, company culture, physical therapist
","You are just a number, equipment is terrible
Helpfu",,2.0,1.0,4.0,5.0,2.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Thu Jan 28 2021, Class A CDL Delivery Driver,"Richburg, SC",Former Employee ,Pay,0,"Made decent money at that job
","Not enough home time out two or more days
Helpfu",,3.0,2.0,4.0,3.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Wed Jan 13 2021, Tax Accountant I,"Eden Prairie, MN",Current Employee ,.,0,"- work from home part of the week available
","- a lot of change happening 
- small raises
Helpfu",,4.0,,,,,,,,
Thu Jan 14 2021, Department Specialist II,"Minneapolis, MN",Former Employee ,Good company,0,"Just a good start to the industry and people you work with
","Nothing really stands out as a con to me
Helpfu",,4.0,,,,,,,,
Tue Jan 12 2021, IT Disaster Recovery Analyst,"Providence, RI",Current Employee ,UNFI,0,"The culture, and opportunity for exposure and professional growth
","The biggest 'con' would have to be the disparate teams and offices.
Helpfu",,4.0,5.0,5.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 07 2021, Route Planner,"Rocklin, CA",Current Employee ,Great company!,0,"Ability to move up within company
","Work life balance is rough
Helpfu",,5.0,3.0,5.0,5.0,5.0,4.0,Recommends,,Approves of CEO
Tue Jan 19 2021, Human Resources Manager,"Richmond, VA",Former Employee ,UNFI,0,"Multiple US warehouse and store Locations
","Local growth for corporate positions
Helpfu",,3.0,3.0,3.0,3.0,3.0,2.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Mon Jan 04 2021, Warehouse Loader,,Former Employee ,"The work is easy, but there was too much work that needed to be done",0,"Good pay, fairly simple work
","Very long shifts, lots of negativity
Advice to Management
Try to make the shifts not as long, or if people want longer shifts work with the employees
Helpfu","Try to make the shifts not as long, or if people want longer shifts work with the employees
Helpfu",4.0,1.0,3.0,4.0,4.0,5.0,Doesn't Recommend,Neutral Outlook,
Thu Dec 31 2020, Account Manager,"Pacific, CA",Current Employee ,enjoy your work,0,"Culture, customers, autonomy, relationships, size of portfolio
","Logistics, delivery, accountability, marketing, ecommerce
Helpfu",,4.0,4.0,5.0,5.0,3.0,2.0,Recommends,Positive Outlook,Approves of CEO
