date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Nov 02 2020, QA Automation Tester,"Newark, NJ",Current Employee ,QA Tester,0,"-Great team always around me
","-Strict management that doesn't let you breathe much
Helpfu",,5.0,,,,,,,,
Thu Aug 13 2015,N/A,"Eden Prairie, MN","IT Project Manager in Eden Prairie, MN",Very heads-down,762,"I will preface this review with a statement you need to heed when reading this review as well as any reviews for this company -- ""It depends on your area."" 

This is a GIGANTIC company and YMMV depending on your group. Keep that in mind when reading.

Anyway, I've been here only 6 months, but I think I have enough of a feel for Optum to write a review.

The positives:
Great work/life balance: I never have to stay late, work on weekends, etc. I get 23 vacation days and my manager encourages me to use them AND completely unplug while away. 

Beautiful office: I work at the new Optum office in Eden Prairie. Building is modern and comfortable. Full size gym and locker room, and workout classes. Great parking ramp with a skyway so you never need to go outside in the rain or snow!

Work from home: VERY progressive with WFH! I can work from wherever I want. if I want to WFH one day, I can. If I want to WFH the whole week, I can do that, too. No one questions you.

Total autonomy

No drama: This is a very heads down place! I can't stress that enough. No one socializes with each other -- most of the time, you never even talk to your cube neighbors (because they're probably working from home). This is a positive for me though -- after working in some high drama offices, this is a refreshing change. 

All meetings are over webex: Great news if you hate in-person meetings like I do -- because there are very few! In the 6 months I've been here, I've had 4 in person meetings. This is also a con because you never meet your coworkers - read the con list for more info. 

30 minute ""best practice"" meeting times: You will not get invited to 2+ hour meetings, ever. Nearly all meetings are only 30 minutes. You might have the one-off meeting that's an hour, but it's rare. 

Good, standardized PM practices. But some of the documentation requirements are too rigid and can slow progress down. Our group is trying to move to 100% agile. Slowly.... All of my projects so far have been waterfall SDLC. Although as a new person, it would help to have a PM to shadow on some of these documentation/audit practices. I've had to learn as I go. 

- Great cafeteria with cheap prices. I can get a lunch here cheaper than I can bring it from home.

-Very engaging training classes!!! All training classes are over LearnSource (i.e. your computer) but the videos are well done and entertaining.
","-Building seems empty because so many people WFH. It's almost kind of...sad. Such a nice building but no one is there.

-Internet explorer is the browser of choice. Yuck. You have to have special permissions to download Google Chrome or Firefox on your computer.

-If you like socializing with your coworkers, this is NOT a place for you! I can't stress that enough!! You will NOT meet your new BFF here. Everyone is very heads-down and focused on work -- no one chit chats about football or True Detective! You will not have coworkers stopping by your desk (to chat about a TV show OR to even chat about work). Most of my days, I don't talk to anyone in person. It's kind of depressing -- and I'm an introvert! There are no happy hours, social events outside of work, etc (this is a positive for me because I hate that stuff).

-Lots of contractors. Not that it's a bad thing - I've had great experiences with the PM contractors. They obviously don't last as long as the employees, and there's more contractor PMs than employee PMs.

-Difficult, as a new person, to know ""who's who."" There is no face-to-face meetings, so as a PM, it's tough to know who does what, since there's no face to put with the name. I struggle with this a lot, as I'm not used to this extreme of a ""remote"" workforce! 

-No wifi for your phone. Wifi is only available for visitors and you must have a user name and password. 

-Nearly all social media websites are blocked. Not really a con, but something you might want to know. You won't be browsing facebook at work!

-LOTS of meetings. Sure, the meetings aren't in person, they're over Webex, but you will have a LOT of them.

-Some ""know-it-all"" ego-driven coworkers, especially on the tech side. But this is typical of IT in general. I've witnessed this at every org in which I've worked.
Advice to Management
Get some org charts!
Helpful (762)
UnitedHealth Group Response
September 12, 2016 – Enterprise Talent Community Manager
Thank you for your thorough review! Yes, UnitedHealth Group is a hard-working company, but we also strive for work-life flexibility by having telecommute positions and work from home options. I'm happy to hear you enjoy working at the company. Judy Cater, Talent Community Manager, UnitedHealth Grou","Get some org charts!
",4.0,5.0,3.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Sun Feb 07 2021, Account Consultant,,Current Employee ,Account Consultant in NY,0,,"ltant in NY""
5.0
★★★★★
Current Employee - Account Consultant 
I have been working at UnitedHealth Group full-time for more than 3 years
Pros
Great healthcare. Great people. Overall, great environment to work at!
Cons
Minnesota based company so there are draw backs to opportunities
Advice to Management
None
Helpfu","None
Helpfu",5.0,,,,,,,,
Mon Feb 01 2021, Quality Assurance Analyst,"Bridgeport, OR",Former Employee ,Great Company,1,"Very Flexible Work Hours and Schedule
","None Experience was very good
Helpful (1",,5.0,5.0,4.0,4.0,5.0,5.0,,,
Fri Feb 05 2021, Comparable to Proposal Manager/Writer,"Cincinnati, OH",Current Employee ,The,0,"Remote, flexible, supportive of work life balance
","Understaff but let dead weight stay on far too long.
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Data Scientist,"Minnetonka, MN",Current Employee ,Good job with meaningful projects,0,"The jobs started with an intensive two-month training program in machine learning and coding, which helped me develop new skills and expand my breadth of data science expertise. Also, I've worked on some really interesting projects that are focused on improving diagnosis and treatment for cancer, diabetes, and other diseases. Even though I have mixed feelings about United Health as a whole, it's nice that my team focuses on projects that have a positive impact on our healthcare system.
","The structure of my division at work is constantly changing, which can be disruptive to projects that I am working on.
Helpfu",,4.0,,,,,,,,
Fri Feb 05 2021, Data Analyst II,"Colorado Springs, CO",Current Employee ,Fairly Godd,0,"The people I work with are great and having the ability to work from home has been great.
","How do I work for a health insurance company and pay well more than I ever have for health insurance for me and my family?
Helpfu",,4.0,2.0,4.0,4.0,4.0,2.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Complex Customer Care Representative,,Current Employee ,Great company,0,"Company is large with plenty room for growth
","The people can make the work environment stressful at times
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Operations Manager,,Current Employee ,Opportunities to Succeed,1,"As an employee of 14 years, I will say I have been lucky to have many opportunities to move up in the company. They also paid for my BA degree in full which I am grateful for. I have worked alongside many leaders that are good role models but as with any other large company I have experienced those that are not. There are some segments and departments that are very unprofessional but there are others that are extremely professional and offer a great learning opportunity. This is a company that instills paying for a performance so if you do well you will be rewarded.
","The larger benefit package is nice but the health insurance itself is definitely not what people think it will be, especially being that we are an insurance company. People assume that since we work for the insurance company we will get low deductibles and low premiums which is not the case. That said, 401k match is good and there are stock options at a discount. The dental is pretty good as well.
Helpful (1",,4.0,,,,,,,,
Tue Feb 02 2021, Customer Care Coordinator,"Memphis, TN",Former Employee ,Love the company,0,"Great company to work for
","I don’t have any cons for this company
Helpfu",,5.0,,,,,,,,
