date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 02 2021, Operator,,Current Employee ,Great company,0,"Benefits and money is great
","Times when personal time gets low
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, Associate Process Engineer,"Corpus Christi, TX",Current Employee ,Good place to work,0,"Stability, benefits, salary, great coworkers
","Limited path upwards, limited mentorship
Helpfu",,4.0,5.0,5.0,3.0,5.0,3.0,,,
Sat Jan 30 2021, Clerk,N/A,Former Employee ,Awesomeeee,0,"I wish I still worked there
","Lots of elderly people who like to talk
Helpfu",,5.0,1.0,1.0,1.0,2.0,1.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Process Engineering Intern,"Port Arthur, TX",Former Employee ,Great Internship Program,0,"Great Pay, Good Mentoring, Lots of Networking Potential
","Struggled to keep me fully busy
Helpfu",,4.0,,,,,,,,
Thu Jan 28 2021, Customer Service Representative,"Webster, TX",Former Employee ,Wonderful place to work,0,"You build relationships with people in your community. It’s really wonderful to make someone’s day by knowing what they buy and their name. Not to mention the environment is always moving so you don’t have to worry about being stagnant.
","You may have to deal with situations that are dangerous but they do have an amazing security system
Advice to Management
Promote Sandra at Valero 2150 in Webster Texas
Helpfu","Promote Sandra at Valero 2150 in Webster Texas
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Engineer,,Former Employee ,Excellent team,0,"It was easy to call up other engineers from other plants and talk through problems
Most people were great to work with and wanted to help you succeed
","It is a very structured and time consuming process to get projects approved
Helpfu",,5.0,5.0,5.0,4.0,5.0,5.0,Recommends,,Approves of CEO
Thu Jan 21 2021, Accounting Coordinator,"San Antonio, TX",Current Employee ,Accounting Coordinator,0,"Valero is a great place to work
","May get stuck in a job position if you are not attempting to make a lateral move or apply for a new position.
Helpfu",,4.0,4.0,4.0,,,,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Technology Advisor,"San Antonio, TX",Current Employee ,Na,0,"Money/pay is good, pension, daycare
","Lot of work, no work life balance
Helpfu",,4.0,2.0,3.0,3.0,3.0,4.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Thu Jan 28 2021, Accounting Coordinator,,Former Employee ,Culture,1,"Very good benefits and work life balance
","Do not promote people based on performance
Helpful (1",,2.0,4.0,2.0,3.0,1.0,4.0,Recommends,,Approves of CEO
Wed Jan 13 2021, Manager,"San Antonio, TX",Current Employee ,Love working here!,0,"Opportunity for professional growth and to reach personal career goals.
","I have found anything too awful...
Helpfu",,5.0,,,,,,,,
Tue Jan 05 2021, Process Engineer,"San Antonio, TX",Current Employee ,"Great Opportunities, Great People",0,"Many different areas and disciplines for limitless growth. Hard work and interest allow for more opportunities. Decent pay with great benefits.
","Depending on the job, it can quite demanding and taxing. Not a progressive company, thus unsupportive if abnormal request or non-conventional idea that don't have a policy. Promotions based on time and tenure, rather than quality of work.
Helpfu",,4.0,2.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 05 2021, Cashier,"San Antonio, TX",Former Employee ,Good,0,"The Hours are always good
","Rude people refuse to wear mask
Helpfu",,5.0,,,,,,,,
Tue Jan 05 2021, Accountant,"Adrian, MI",Former Employee ,Employee minded,0,"Fair compensation, family and work balance
","None at this time, occasional micromanage
Helpfu",,4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 05 2021, Contractor,N/A,Former Employee ,Good Company,0,"Good company with good pay
","Decent company With good pay
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
