date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Sep 08 2020, Senior Graphic Designer,"New York, NY",Current Employee ,Great place to work,0,"Everyone is very nice and friendly
","Cooperation bureaucratic kind of problems
Helpfu",,5.0,5.0,4.0,3.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Scheduling Coordinator,"New York, NY",Current Employee ,Adaptable,0,"Adapting well to ever-changing market
","Constant change can be jarring to those looking for stability
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Senior Vice President,"New York, NY",Former Employee ,Awesome company,0,"Culture, diversity, inclusion and opportunities
","None that I have experienced
Helpfu",,5.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Editor In Chief,"New York, NY",Former Employee ,"Good benefits, outdated systems",0,"+ Competitive salary
+ Good benefits
+ People-centric
+ Flexible work environment
","+ Slow-moving company
+ Tech systems outdated and behind the curve
+ Too much reliance on contractors
Advice to Management
Be more bold. Hire diverse voices. Upgrade and simplify the systems that run the company.
Helpfu","Be more bold. Hire diverse voices. Upgrade and simplify the systems that run the company.
Helpfu",4.0,4.0,4.0,3.0,4.0,4.0,Recommends,Negative Outlook,Disapproves of CEO
Sat Feb 06 2021, AP Specialist,"New York, NY",Former Employee ,Good Company,0,"Benefits and flexible time staff support remote working
","No bonus constant layoffs and management
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,,,
Thu Feb 04 2021, Music Producer,"New York, NY",Current Employee ,long time employee,0,"everyone is very loyal to the brand
","lots of bureaucratic corporate none-sense
Helpfu",,4.0,4.0,4.0,3.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Director,"New York, NY",Former Employee ,Good culture but some jobs are redundant.,0,"Great company culture. Viacom is more diverse than most companies its size. Great compensation for full-time staff. Great for working parents (most ""WFH"" on Fridays - aka shopping in Soho).
","A lot, a lot of redundant work and roles. Sometime you have to ask what someone actually does because it isn't apparent. 

The roles and responsibilities within one department or team very greatly. One role will be manageable while another person with the same role will work endless late nights.

Slow career progression and unclear promotion criteria.
Helpfu",,4.0,4.0,5.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Senior Manager,"Los Angeles, CA",Current Employee ,Great company,0,"Flexible schedule, support, career growth
","The pay could be more competitive
Helpfu",,4.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Intern,"New York, NY",Former Employee ,ViacomCBS Intern Review,0,"Great people, understanding, flexible hours, well paid, treated like a professional and you learn alot
","I had a really bad mentor who did not care to help
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Research Associate,,Current Employee ,Entertainment company,0,"Fun place to work as it is entertainment content driven
","Lack of advancement for employees in certain roles
Helpfu",,4.0,4.0,4.0,4.0,3.0,5.0,Recommends,Positive Outlook,
Wed Jan 27 2021,Anonymous,"New York, NY",Former Employee ,Great Job,0,"The people were awesome and the culture was so much fun! Work life balance could get intense during busy season, but it's worth it given all the benefits Viacom has to offer!
","Difficult to move within the company
Advice to Management
None
Helpfu","None
Helpfu",5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Production Coordinator,"New York, NY",Current Employee ,Production Coordinator,0,"Cool team, okay content, great work environment
","terrible pay, not much room for growth
Helpfu",,4.0,3.0,4.0,4.0,4.0,2.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Jan 26 2021, Senior Director,"New York, NY",Current Employee ,VCBS,0,"Positive culture and work environment
","A lot of structural changes
Helpfu",,4.0,,,,,,,,
Sun Feb 07 2021, Senior Producer Creative,"New York, NY",Former Employee ,The company needs to allow room for growth.,0,"Benefits are great, salary is decent.
","No room for promotion, it's a dog eat dog world
Helpfu",,3.0,1.0,4.0,4.0,3.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Fri Jan 22 2021, Production Designer,"New York, NY",Former Employee ,Loved working here,0,"Supportive Manager & team, some cool perks.
","None that I can think of
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Commercial Operations Coordinator,"New York, NY",Former Employee ,Terrible,0,"-good work life balance
-company events and resources
","-very low pay
-departments and teams are VERY politcal.
-Little room for growth on merit
Advice to Management
Stop treating your teams and departments like fraternities and sororities.
Helpfu","Stop treating your teams and departments like fraternities and sororities.
Helpfu",3.0,4.0,3.0,4.0,3.0,2.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Fri Jan 22 2021, Client Service Representative,"Chicago, IL",Current Employee ,Good job!,0,"Love the coworkers, good work environment, and a great learning experience
","Not many negatives quite honestly; all around very decent position
Advice to Management
More hands on approach
Helpfu","More hands on approach
Helpfu",5.0,4.0,5.0,5.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Production Artist,"New York, NY",Former Employee ,No space to grow,0,"Steady hours and a steady paycheck
","bad company culture, their inclussion approach is changing for the good, no benefits
Advice to Management
More transparency and team building
Helpfu","More transparency and team building
Helpfu",3.0,4.0,1.0,2.0,2.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Thu Jan 21 2021, Client Service Representative,"New York, NY",Current Employee ,Great Familial Atmosphere,0,"All employees are extremely friendly and make you feel like you're in an extended family
","Sometimes, there can be long hours
Helpfu",,5.0,,,,,,,,
Thu Jan 21 2021, Client Services Representative,,Current Employee ,Good entry level,0,"-good connections
- great benefits 
- managers are nice
","- could be paid more
Helpfu",,5.0,5.0,4.0,3.0,5.0,5.0,Recommends,,Approves of CEO
Tue Feb 02 2021, Director,"New York, NY",Former Employee ,Do more with less,0,"You get to work on fun content and generally with fun people who are passionate about what they do.
","The company politics and constant reorgs/downsizing creates a pretty toxic environment. It’s very hierarchical, with junior people doing all of the legwork but not being included in strategic conversations to make them feel connected to outcomes of their efforts.
Advice to Management
Require leadership training (people fall into management with no training along the way, there are a lot of bad managers there), create a more open culture.
Helpfu","Require leadership training (people fall into management with no training along the way, there are a lot of bad managers there), create a more open culture.
Helpfu",3.0,3.0,3.0,3.0,3.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Wed Feb 03 2021, Partnerships Manager,,Current Employee ,A standard corporate experience,0,"The culture of the individuals is good. People are friendly outside of sales.
","Very common problem: out of touch senior management.
Helpfu",,3.0,,,,,,,,
