date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Feb 09 2021, BI Developer,"San Francisco, CA",Current Employee ,Company review,0,"Work life balance & laid back environment
","Very less growth opportunities within the company.
Helpfu",,5.0,5.0,5.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Director,,Former Employee ,Great brand,0,"Nice office, matured business, great brand
","Limited career opportunities, limited benefits
Helpfu",,4.0,5.0,3.0,3.0,3.0,3.0,,,
Mon Feb 08 2021, Senior Associate Product Manager,"Foster City, CA",Current Employee ,Great benefits,0,"visa has amazing benefits, socially responsible
","older generation company, outdated thoughts on work environment, dress code, etc.
Helpfu",,4.0,,,,,,,,
Mon Feb 08 2021, Staff Software Engineer,"Highlands Ranch, CO",Former Employee ,Good,0,"you get very friendly environment
","None of the issue at all.
Helpfu",,4.0,,,,,,,,
Sun Feb 07 2021, Regulatory &amp; Governance Manager,"Washington, DC",Current Employee ,Great company,0,"Leader, supportive, inclusive, flexible, innovative
","not any at this time
Helpfu",,5.0,,,,,,,,
Mon Feb 08 2021, Director,"San Francisco, CA",Current Employee ,"Nice people, opportunities to move around internally",0,"Smart and nice people. Interesting space within payments / do tech
","Can be at times slow moving
Helpfu",,4.0,5.0,,,,,,,
Sat Feb 06 2021," Senior Director, Client Services","San Francisco, CA",Current Employee ,Fantastic!,0,"Honestly, with Al at the helm, Visa is the best it’s ever been. Lots of opportunity to grow, and great comp structure. ","ant evolution of its products and capabilities has created an innovative and forward thinking company.
Cons
Some long time VPs and higher leaders should be retired. Too long in roles that they are not leading, but rather just surviving in until retirement.
Advice to Management
Sweep out the dead weight.
Helpfu","Sweep out the dead weight.
Helpfu",5.0,4.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Senior Program Manager,"Foster City, CA",Former Employee ,Good place to work,0,"World class company with excellent product development practices.
","Like other corporations, at times there are many teams you need to work with to get stuff done.
Helpfu",,4.0,4.0,4.0,4.0,3.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Senior Product Manager,"San Francisco, CA",Current Employee ,Great Place to work,0,"Amazing benefits for employees, great culture
","Behemoth, quite slow with executing on ideas.
Advice to Management
Be more flex like Facebook and Google
Helpful
Visa Inc. Response
February 5, 2021 – The Visa Team
Thanks for the positive review! We are glad to see that you appreciate the culture. In order to keep up with the rapid pace of innovation and growth within our industry, we’re committed to processes that will help everyone do their best work","Be more flex like Facebook and Google
Helpful
Visa Inc. Response
February 5, 2021 – The Visa Team
Thanks for the positive review! We are glad to see that you appreciate the culture. In order to keep up with the rapid pace of innovation and growth within our industry, we’re committed to processes that will help everyone do their best work",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Analyst,"Lehi, UT",Current Employee ,Great Place to Work,0,"I really enjoy working at Visa. This organizations thinks about the little details as far as benefits and employee experience goes. Everyone here is so willing to help you grow and succeed at Visa. By far, the most collaborative global organization I've ever worked at. You are treated with respect and everyone is supportive and respectful to each other. We all come from different corners of the globe and everyone gets along just great. The culture is super friendly and professional. Really good work/life balance.
","Not too many. Overall, Visa is a global organization and, in like most tech companies, you'll find your self wearing multiple hats.
Advice to Management
Keep innovating and improving the employee experience. Continue to be open to different ideas and create an environment that is diverse and inclusive.
Helpfu","Keep innovating and improving the employee experience. Continue to be open to different ideas and create an environment that is diverse and inclusive.
Helpfu",5.0,5.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Executive Assistant,"San Francisco, CA",Current Employee ,A Great Place to Grow,0,"Good growth opportunities, culture of promoting and hiring from within, lots of education opportunities, lots of resources for personal and professional development
","Work can be very demanding, highly competitive, global company may mean tough hours
",,5.0,3.0,4.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, NGDP Business Associate,"San Francisco, CA",Current Employee ,"Great company, phenomenal program.",0,"Terrific opportunity to work to drive the future of payments and enable financial inclusion. Smart colleagues, healthy culture, excellent benefits.
","Pretty consistent disconnect with Human Resources.
Helpful
Visa Inc. Response
February 5, 2021 – The Visa Team
Thank you for the five-star review! We agree – the people at Visa are among the best and brightest and that makes all of us very proud. Great to hear that you enjoyed your experience",,5.0,4.0,5.0,3.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021," Director, Corporate Controller","Foster City, CA",Current Employee ,Great company with an amazing leads,0,"Al Kelly, the CEO is exemplary in his focus on vision and employee's well being 
Very stable company with interesting leading edge payment solutions 
Overall work life balance is good
","Within Finance, it is very difficult to get promoted (compared to the IT organization)
Pay + Bonus compared to other ""Tech"" or ""FinTech"" companies is still a little lower in the Bay Area
Advice to Management
If you want to keep your employees, provide them with ample opportunity to progress in their careers - otherwise they will just move on. 

Al Kelly - best CEO I've ever met in my 25 year career!
Helpful
Visa Inc. Response
February 5, 2021 – The Visa Team
Thank you for sharing your thoughts and feedback with us! We’re glad to hear you enjoyed Visa’s strong leadership. Visa is committed to investing in the growth and development of our employees, such as classes offered through Visa University online curriculum, the education assistance program, leadership training exposure. However, we believe the best place to start is to address your concerns in a conversation with your manager who can help you develop a growth plan that will help you achieve your career goals","If you want to keep your employees, provide them with ample opportunity to progress in their careers - otherwise they will just move on. 

Al Kelly - best CEO I've ever met in my 25 year career!
Helpful
Visa Inc. Response
February 5, 2021 – The Visa Team
Thank you for sharing your thoughts and feedback with us! We’re glad to hear you enjoyed Visa’s strong leadership. Visa is committed to investing in the growth and development of our employees, such as classes offered through Visa University online curriculum, the education assistance program, leadership training exposure. However, we believe the best place to start is to address your concerns in a conversation with your manager who can help you develop a growth plan that will help you achieve your career goals",4.0,5.0,5.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Senior Director,N/A,Former Employee ,Solid company,0,"Lots of resources, great benefits, good opportunities
","Hard to make significant changes across the organization
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, VP,"Foster City, CA",Current Employee ,Great place to work,0,"Great company, great benefits and bonuses
","Usual office politics, slow moving
Helpful
Visa Inc. Response
February 5, 2021 – The Visa Team
It’s great to hear that you enjoyed your experience at Visa. Thanks for the review",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Product Manager,"San Francisco, CA",Current Employee ,Interesting Company and Industry,0,"-Smart and friendly co-workers
-Exciting industry with fast innovation.
-Complex and challenging products
-Good work life balance
-Stable
","-Like any other big risk averse company, internal bureaucratic processes makes pushing new initiatives difficult. 
-Some teams are not agile
-Career progress is slow
Helpful
Visa Inc. Response
February 5, 2021 – The Visa Team
Thanks for the positive review! We agree – the people at Visa are among the best and brightest and that makes all of us very proud. In order to keep up with the rapid pace of innovation and growth within our industry, we must be agile and we’re committed to processes that will help everyone do their best work",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Senior Systems Analyst,"Austin, TX",Current Employee ,Good work culture,0,"401K is double matched by company
","Very less stocks in Bonus
Helpfu",,5.0,,,,,,,,
Tue Feb 02 2021, Data Scientist,"San Francisco, CA",Current Employee ,good for newbee,0,"guidance from managers and leadeship team
","complex hierarchy, not good for long-term career growth
Helpful
Visa Inc. Response
February 5, 2021 – The Visa Team
Thank you for sharing your feedback with us! We’re glad to hear you enjoyed Visa’s strong leadership. Visa is committed to investing in the growth and development of our employees, such as classes offered through Visa University online curriculum, the education assistance program, leadership training exposure. However, we believe the best place to start is to address your concerns in a conversation with your manager who can help you develop a growth plan that will help you achieve your career goals",,4.0,,,,,,,,
Fri Jan 29 2021, Senior Cybersecurity Engineer,"Denver, CO",Current Employee ,Great company,0,"Salaries and Benefits are fantastic
","Can often be an intense work environment
Helpfu",,5.0,3.0,5.0,5.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Thu Jan 28 2021, Director,"Denver, CO",Current Employee ,Great Place to work,0,"Caring and engaged Leadership. Fair salary. Awesome benefits.
","So much red tape and process. It comes with working in the financial and technology field. Interview process is a long haul.
Helpfu",,5.0,1.0,4.0,3.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 27 2021, Software Engineer,,Current Employee ,Brilliant Place to work,0,"Lots of opportunities to learn about fintech with leading fintech company
","Can't think of any right now
Helpfu",,5.0,5.0,,,,,,,
Tue Jan 26 2021, Senior Software Engineer,"Foster City, CA",Current Employee ,great!,0,"I would recommend the company ....perfect
","There's nothing to con's to provide
Helpfu",,4.0,,,,,,,,
Mon Feb 08 2021, Director,"Chicago, IL",Former Employee ,"good comp, very political org",1,"good comp, very political org
","very political, doesn't move quickly for a tech company
Helpful (1",,3.0,3.0,3.0,3.0,3.0,5.0,,,
Tue Jan 26 2021, Program Manager,"Denver, CO",Current Employee ,Great company,0,"Visa cares about the employees
","Upward movement is a challenge when you are at a higher level
Helpfu",,5.0,5.0,5.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021," Manager, Implementation","Miami, FL",Former Employee ,Good company to work for,0,"Excellent benefits and good pay
","Too big to move fast
Helpfu",,5.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Director,,Current Employee ,Good place to work,1,"Culture, leadership, and innovation. Business model is evolving to be leader in Fintech space.
","Internal mobility is difficult if non-existent
Helpful (1",,4.0,3.0,5.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Training Manager,"San Francisco, CA",Former Employee ,Top employer of choice in the Bay Area,0,"Top pay for top professionals. Work on the leading edge of payments and card processing
","Highly political at the top which can spill down the ranks
Advice to Management
Keep going!
Helpfu","Keep going!
Helpfu",5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Senior Software Engineer,"Foster City, CA",Current Employee ,Good Place to work,0,"Work Life Balance, Good Benefits.
","Opportunity to learn new stuff is limited.
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,
Sun Jan 24 2021, Staff Software Engineer,"Los Angeles, CA",Current Employee ,Great Place to Work,0,"- Surrounded by smart people
- Heavy focus on security
- The work is challenging and meaningful
- Good work/life balance
","- Limited opportunity for advancement at present, which may lead me to look elsewhere.
Advice to Management
Be able to recognize who your true difference-makers are and be able to differentiate them from those who merely ride their coattails to look good.
Helpfu","Be able to recognize who your true difference-makers are and be able to differentiate them from those who merely ride their coattails to look good.
Helpfu",4.0,5.0,5.0,5.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Client Services,,Current Employee ,"Many pros, but there are cons",0,"Room for development
Well-respected company name
Amazing benefits, holidays etc.,
","Slow progression
No work life-balance 
Boring product
Helpfu",,3.0,1.0,5.0,5.0,2.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Sat Jan 23 2021, Staff Network Engineer,"Denver, CO",Current Employee ,Positive,0,"Two to One 401 k Match
","Lot of legacy Technologies in the environment
Helpfu",,5.0,5.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Jan 23 2021, Senior Director,"Austin, TX",Current Employee ,Great company. Awesome CEO.,0,"Salary is great with opportunities to grow.
","Slow pace of deploying solutions.
Helpfu",,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Vice President,"Foster City, CA",Current Employee ,Lost its way,1,"Pay seems competitive with outside.
","Leadership manages from top down only
Helpful (1",,2.0,,,,,,,,
Fri Jan 22 2021, Senior Systems Analyst,"Austin, TX",Current Employee ,Good benefits with 401 K and ESPP,0,"Good benefits with 401 K and ESPP
","Work life balance is bad
Helpfu",,4.0,2.0,5.0,4.0,5.0,5.0,Recommends,,Approves of CEO
Sat Jan 23 2021,Anonymous,,Current Employee ,It was a great experience,0,"Culture, perks, gym, snacks, luxury bus
","Overworked, long hours, extended hours
Advice to Management
It’s nice to have team building activities
Helpfu","It’s nice to have team building activities
Helpfu",4.0,4.0,2.0,2.0,2.0,2.0,Recommends,Positive Outlook,
Sat Jan 23 2021, Consulting Manager,,Current Employee ,Benefits,0,,"lting Manager 
I have been working at Visa Inc. full-time
Pros
Good benefits and stock options for employees
Cons
There is Way too much bureaucracy
Helpfu",,4.0,,,,,,,,
Sat Jan 23 2021, Senior Director,"Foster City, CA",Current Employee ,Ability to work on solutions impacting billions of people,0,"Global impact, Large scale solutions that influences the entire payment ecosystem
","Usual big enterprise related cons
Helpfu",,4.0,4.0,4.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Systems Analyst,,Current Employee ,Great Place to Work,0,"employee benefits, strong leadership, work-life balance
","can get political/hierarchical, not diverse enough
Helpfu",,4.0,4.0,5.0,3.0,4.0,5.0,Recommends,,Approves of CEO
Fri Jan 22 2021, Senior Manager,"New York, NY",Current Employee ,Pretty good,0,"Massive amounts of global opportunities
","Very focused , not much culture
Helpfu",,4.0,,,,,,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Senior Software Engineer,,Current Employee ,Enjoy the wlb,0,"The work life balance is good. Don't really have to work late unless we're delivering something.
","The compensation could be better
Helpfu",,3.0,,,,,,,,
Wed Jan 20 2021, Senior Staff Software Engineer,"Austin, TX",Current Employee ,Good company to work,0,"good work life balance experience
","not like a technology company
Helpfu",,4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Director,,Former Employee ,Great technology company,0,"Some of the best people I've worked with in my career, I think Visa cares about its employees.
","Removing the pension, but Visa was just following suit with all other companies at the time.
Helpfu",,5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jan 19 2021, Software Engineer,,Current Employee ,Good company,0,"Great company to work for. Upper management is very effective and sensitive to employee wellbeing
","there are lot of bureaucracy
Helpfu",,4.0,5.0,5.0,5.0,4.0,5.0,,,
Wed Feb 03 2021, Client Consulting Analyst,"San Francisco, CA",Current Employee ,"Great Opportunities, Overworked Staff",0,,"lting Analyst in San Francisco, CA
Approves of CEO
I have been working at Visa Inc. full-time
Pros
Always opportunities to grow your skillset; exposure to unique and creative projects
Cons
Management tries to squeeze every last drop out of their employees, overstaffing them on multiple projects and leading to overworked staff
Helpful
Visa Inc. Response
February 5, 2021 – The Visa Team
This feedback is very helpful; Visa is committed to investing in the growth and development of our employees. We hope you had a chance to express your feedback through various mediums we offer like Employee Surveys, HR business partner discussions, manager discussions, etc. where your concerns can be heard",,3.0,,,,,,Approves of CEO,,
Mon Jan 18 2021, Financial Analyst,"Foster City, CA",Current Employee ,Financial Analyst,0,"Great company to work for career growth and learning
","Pay is low compare to other San Francisco companies
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 18 2021, Senior Systems Engineer,"Austin, TX",Current Employee ,Excellent work life balance,0,"Excellent work life balance and amazing benefits.
","Nothing at this moment. NA
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,,Approves of CEO
Tue Jan 19 2021, Associate,"New York, NY",Current Employee ,Great First Job,0,"Kind people, good work life balance
","Lower pay, complex work, few young people
Helpfu",,5.0,,,,,,,,
Tue Jan 19 2021, Senior User Experience Designer,"San Francisco, CA",Current Employee ,"Great company culture. But, ""innovation"" means pushing Visa products through sales.",0,"Great company culture and benefits
","Not the best place for a designer looking to actually make in the innovation centers.
Helpfu",,4.0,4.0,5.0,4.0,2.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 18 2021, Senior Software Engineer,"Austin, TX",Current Employee ,SSE at Visa Austin,0,"Good WLB and decent learning
","Slow growth and tech is lagging by 2 to 3 years
Helpfu",,4.0,5.0,4.0,5.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO
