date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Jan 25 2021, Pharmacist,"Philadelphia, PA",Current Employee ,Great opportunity,0,"Excellent company to work for
","Hard to find any downsides
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Certified Pharmacy Technician,"Minneapolis, MN",Current Employee ,Love my job,0,"Fulfilling, fast-paced, well-paying clinical experience for pre-health students or great as an end-goal career.
","Some internal disorganization. Certainly depends on district and location.
Helpfu",,5.0,,,,,,,,
Wed Feb 03 2021, Pharmacist,,Current Employee ,Awesome Place To Work,0,"The benefits are really good for employees especially the prescription coverage.
","Change in policy and procedures often
Helpfu",,5.0,4.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Pharmacy Technician,,Current Employee ,Not bad. Pay could be better.,0,"Great company. Great service to customers. Great training.
","Pay is not enough and we do not have commission to compensate low hourly wage. Lots of calls for to little income.
Helpfu",,4.0,5.0,5.0,5.0,5.0,2.0,,,
Wed Jan 27 2021, Pharmacist,"New York, NY",Current Employee ,good,0,"good people to talk 
good salary
","a lot of hours
bad building conditions
Helpfu",,4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Wed Jan 20 2021, Currently Unemployed,"Lake Mary, FL",Former Employee ,okay,0,"opportunities for growth within the company
","management can never seem to agree as a unit
Helpfu",,5.0,3.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Pharmacy Technician,"Orlando, FL",Current Employee ,Pays bill!,0,"Easy work once you know what your doing
","Redundant after a while, best team is Tocara's team.
Advice to Management
N/A
Helpfu","N/A
Helpfu",3.0,3.0,3.0,5.0,2.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Pharmacist (Floater),"Long Neck, DE",Current Employee ,Average place to work,0,"Benefits
Nice Coworkers
Scheduler
Workflow balance
Well staffed during the day
","Salary
Heavy Workloads
Management 
Little help in the pharmacy
Stressful work environment
Helpfu",,3.0,3.0,2.0,5.0,4.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Tue Feb 02 2021, Pharmacist,"Oakland, CA",Current Employee ,Decent Job,0,"Got opportunity to work with great team members to serve the community
","Not enough staffing and old technological infrastructure is not allowing Walgreens to untap its potential as a premier pharmacy in the United States
Helpfu",,3.0,3.0,2.0,4.0,4.0,3.0,Recommends,Neutral Outlook,Disapproves of CEO
Mon Jan 18 2021, Asset Protection Manager,"Seattle, WA",Current Employee ,Great Company,0,"Great company to work for
","I don’t have any Cons
Helpfu",,4.0,3.0,3.0,2.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Sun Jan 17 2021, Senior Certified Pharmacy Technnician,"Markham, IL",Current Employee ,Walgreen's,0,"Pharmacy only store worker
Must calmer environment
","Full time is only 30 hours
Advice to Management
Pay employees what they're worth
Helpfu","Pay employees what they're worth
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jan 18 2021, Senior Systems Engineer,"Chicago, IL",Former Employee ,Walgreens,0,"Fair wages
Low pressure environment
Many different IT opportunities
","IT Leadership has changed too often over the last 10 years.
Helpfu",,4.0,4.0,3.0,4.0,3.0,4.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Sat Jan 16 2021, Senior Finance Manager,"Deerfield, IL",Former Employee ,Good growth opportunities,0,"Salaries, people, office space, flexible.
","Strategic vision, profitability, industry, PTO, performance
Helpfu",,5.0,,,,,,,,
Sat Jan 16 2021, Clinical Pharmacist,"Boston, MA",Current Employee ,Review,0,"Variety, Opportunity , Community outreach, MTM
","Staffing, Hours , Communication , Software system
Helpfu",,4.0,,,,,,,,
Thu Jan 14 2021, Senior Internal Auditor,"Deerfield, IL",Current Employee ,Great company to work for,0,"Large department to work for
","Can be complicated to grow
Helpfu",,4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Pharmacy Manager,"Fort Worth, TX",Former Employee ,No longer a pro patient culture,0,"Benefits such as insurance and time off
","It’s been a changing culture for many years but once the merge with Boots happened Walgreens has become more and more money driven. Pharmacists did not get raises for the last 2 years I was there. The culture is much more based on hitting KPI numbers than patient care. I was a 20+ year employee who could no longer deal with the increasing workload and decreasing benefits that came every year. There is no longer pride in working for Walgreens. Salary caps for long time technicians make it difficult to retain good people who have a much larger job pool to choose from.
Helpfu",,3.0,3.0,2.0,4.0,4.0,3.0,Doesn't Recommend,,Disapproves of CEO
Mon Jan 11 2021, Senior Maintenance Technician,"Moreno Valley, CA",Current Employee ,Walgreens DC maintenance technician,0,"Great company culture. Walgreens has a manageable pace compared to other DCs.
","Benefits do not start until 90 days.
Advice to Management
N/A
Helpfu","N/A
Helpfu",5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Mon Jan 11 2021, Director,,Current Employee ,Would recommend,0,"great culture and company benefit
","no cons that I can think of
Helpfu",,5.0,,,,,,,,
Mon Jan 25 2021, Shift Lead,"Chicago, IL",Former Employee ,Good benefits thats it.,0,"Good benefits especially the insurance. Some coworkers were cool.
","And some were not. Customers too can be difficult. Probably the hardest part of the job are the customers. Everything else is do-able.
Advice to Management
Walgreens needs self check out machines. 3 registers with 1 cashier helping 3 people check themselves out at one time. Checkout is always a problem for Walgreens and its customers. Constant ic3s.
Helpfu","Walgreens needs self check out machines. 3 registers with 1 cashier helping 3 people check themselves out at one time. Checkout is always a problem for Walgreens and its customers. Constant ic3s.
Helpfu",3.0,3.0,2.0,3.0,3.0,2.0,,,
Sun Jan 24 2021, Store Manager,"Matawan, NJ",Current Employee ,Poor Wages,0,"Schedules, flexibility, room for promotion, culture and values
","Salary, bonus, unrealistic expectations, communication
Advice to Management
Need to take care of leaders who are keeping the stores running and producing
Helpfu","Need to take care of leaders who are keeping the stores running and producing
Helpfu",2.0,1.0,5.0,5.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Sat Jan 09 2021, Tech Lead,"Chicago, IL",Current Employee ,Great company,0,"Great work culture, great scope of learning.
","Therw is nothing for the moment.
Helpfu",,4.0,5.0,5.0,5.0,4.0,5.0,,,
Thu Jan 07 2021, Retail Store Manager,"Auburndale, FL",Current Employee ,Walgreens Boots Alliance Review,0,"Promotes within, can move up in the company without a formal education
","Budget restraints from corporate makes giving good customer service an issue
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Thu Jan 07 2021, Coordinator,,Current Employee ,Great place to work,0,"Walgreens treats their employees well and is always working to promote from within
","Big corporation that can take a while to get tasks moved along
Helpfu",,5.0,,,,,,,,
Thu Jan 07 2021,Anonymous,N/A,Former Employee ,Good job,0,"Great job to work for
","Great job to work for on time
Helpfu",,5.0,5.0,5.0,,,,,,
Wed Jan 06 2021, Door Dash Driver,"Easley, SC",Current Employee ,Good company,0,"Great benefits, easy to move up within the company, easy to transfer!
","Your on you feet 6-12 hours straight
Advice to Management
Some people take responsibility to the extremes sometimes younger management, be littles or treats older adult employees like children in kindergarten, requiring store employees to ask permission to pee. Or walk around the store to help with hip or back pain from standing in one spot for too long.
Helpfu","Some people take responsibility to the extremes sometimes younger management, be littles or treats older adult employees like children in kindergarten, requiring store employees to ask permission to pee. Or walk around the store to help with hip or back pain from standing in one spot for too long.
Helpfu",4.0,1.0,2.0,1.0,5.0,2.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Tue Jan 19 2021, Beauty Consultant,"Orlando, FL",Current Employee ,Overall alright,0,,"ltant in Orlando, FL
I have been working at Walgreens Boots Alliance full-time for more than 3 years
Pros
Your own overall department, trainings involved
Cons
No advancement, feels dead end, low salary
Helpfu",,3.0,3.0,5.0,5.0,2.0,3.0,,,
Tue Jan 19 2021, Retail Sales Associate,"Lafayette, LA",Former Employee ,NO BENEFITS ONLY PART-TIME POSITIONS,0,"IF you are FULL-TIME, INSURANCE is offered.
","Only part-time positions are offered. I worked for 11 years faithfully, left recently and now decided to return to the company. Yet, now I can only get a part-time position. No exceptions. No insurance. Work schedule is not family friendly. It's 3 weekends out of four, nights, weekends and holidays. Never a set schedule. At the mercy of your scheduling manager.
Advice to Management
Give your subordinates appreciation. Listen to them. They may have some good ideas.
Helpfu","Give your subordinates appreciation. Listen to them. They may have some good ideas.
Helpfu",3.0,1.0,1.0,3.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Sun Jan 17 2021, Financial Analyst,"Chicago, IL",Former Employee ,?,0,"People, meals, site amenitites, flexibility, engagement
","Routine, location, office space, work hours
Helpfu",,3.0,,,,,,,,
Sun Jan 17 2021, Pharmacy Technician,"Miami Lakes, FL",Current Employee ,N/A,0,"- kind
- some of the function leads(managers) actually like the job and it shows
","- disorganized 
- abusive customers
- low pay for type of work
Helpfu",,3.0,2.0,3.0,3.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Fri Jan 01 2021, CSA and Designated Hitter,"Colorado Springs, CO",Former Employee ,Good company,0,"-empowers personal growth
-fast placed
-friendly coworkers and customer
-great items
Good pay
","-too little time to complete online based training
Advice to Management
Continue encouraging coworkers to improve and grow.
Helpfu","Continue encouraging coworkers to improve and grow.
Helpfu",5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Mon Jan 11 2021, Executive Assistant,"Deerfield, IL",Former Employee ,Turbulent,0,"Up-close view of the good, the bad, and the REALLY bad
","Changes of management, terrible deals (Theranos...), low and inconsistent pay, HR
Helpfu",,3.0,2.0,1.0,2.0,3.0,2.0,,,
Sat Jan 09 2021, Store Manager,,Former Employee ,Has changed over last 13 years,0,"Solid company not going anywhere
","Changed to much not worth headache
Helpfu",,3.0,2.0,4.0,3.0,3.0,2.0,,,
Fri Jan 08 2021, Leader,,Former Employee ,Wanted better,0,"License, learn new skills, can make great friends
","Stunted growth, looked over, under appreciated, under paid
Advice to Management
Listen to your leaders. Invite them to the table. Pay them what they’re worth.
Helpfu","Listen to your leaders. Invite them to the table. Pay them what they’re worth.
Helpfu",2.0,2.0,2.0,3.0,1.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Dec 23 2020, Pharmacy Technician,"Gilbert, AZ",Current Employee ,"Great Leadership, Not so Great Pay",0,"Pay for your pharmacy tech certification and you can train on the job. They give you a dollar per hour raise when you are certified. Management is kind and cares
","The pay is less than great and the training is somewhat haphazard
Advice to Management
Find a better training method and offer higher wages to keep up with other pharmacies
Helpfu","Find a better training method and offer higher wages to keep up with other pharmacies
Helpfu",4.0,3.0,5.0,5.0,4.0,2.0,Recommends,Positive Outlook,Approves of CEO
Wed Dec 23 2020, Designated Hitter,"Altamonte Springs, FL",Current Employee ,Keep Climbing,0,"Can advance quickly if you are willing to work for it
","communication could be better. 
On occasion we would hear about big things happening in the company on the news not from our higher ups
Advice to Management
Communication, Communication, communication
Helpfu","Communication, Communication, communication
Helpfu",4.0,4.0,3.0,4.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Mon Dec 21 2020, Pharmacy Manager,"New York, NY",Current Employee ,Constantly evolving,0,,"antly evolving""
5.0
★★★★★
Current Employee - Pharmacy Manager in New York, NY
I have been working at Walgreens Boots Alliance full-time
Pros
Amazing and dynamic place to work
Cons
communication tends to be not on the strong side
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Store Manager,"Coral Springs, FL",Former Employee ,Gone,0,"Pharmacy giant with plenty of leverage
","Cultura is gone. It has changed so much and they are desperate for numbers
Helpfu",,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Mon Jan 04 2021, Beauty Consultant,"Mahomet, IL",Current Employee ,Walgreens,0,,"ltant in Mahomet, IL
Recommends
Positive Outlook
Approves of CEO
I have been working at Walgreens Boots Alliance full-time
Pros
It is nice meeting new people.
Cons
Sales goals are quite high.
Helpfu",,3.0,3.0,3.0,5.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Dec 20 2020, Retail Store Manager,"Little Rock, AR",Current Employee ,A leader in the industry,0,"Solid origins, innovative, results driven, fun place to work
","Open on holidays, labor budgets continue to decline
Helpfu",,5.0,,,,,,,,
Tue Jan 05 2021, Function Manager,"Carolina, PR",Former Employee ,Function Manager,0,"Significant work for the community
","Management doesn’t really care about personnel, no professional growth, company is no longer growing in multiple aspects, inclusion is not part of their values
Helpfu",,2.0,2.0,1.0,1.0,2.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Mon Jan 04 2021, Pharmacy Technician,"East Elmhurst, NY",Current Employee ,Pharmacy Technician,0,"Managers and coworkers are very helpful.
","30 minute break, too many customers.
Helpfu",,3.0,1.0,3.0,4.0,2.0,3.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO
Sun Jan 03 2021, Store Manager,,Current Employee ,Adapt to change,0,"Enjoy the set schedule, which is uncommon in retail environment 
Holidays off
","ant change which forces leaders to grow
Great health care benefits
Forced to wear many hats
Cons
Bonuses over the past couple of years have been hit or miss
Evaluation are behavior based which is open to interpretation of current boss which makes for inconsistent feedback for growth
Advice to Management
Overall solid company to work for. I would recommend anyone being in role for a couple of years just for the challenges and work experience. If your able to manage expectations at this company any other opportunity should be a piece of cake.
Helpfu","Overall solid company to work for. I would recommend anyone being in role for a couple of years just for the challenges and work experience. If your able to manage expectations at this company any other opportunity should be a piece of cake.
Helpfu",3.0,3.0,3.0,3.0,2.0,4.0,,,
Sun Jan 03 2021, Assistant Manager,"Omaha, NE",Current Employee ,Stable,0,"Job security, walgreens will take care of you as long as you tow the line. Benefits are good. Pay is fair(er) as you climb the ladder
","Work life balance is non existent
Advice to Management
Hard to say.
Helpfu","Hard to say.
Helpfu",3.0,2.0,3.0,4.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Fri Jan 22 2021, Pharmacist,"Berkeley, CA",Current Employee ,"metrics, metrics, metrics",0,"easy to navigate the system
","retail environment: often understaffed. cut tech hours. driven by numbers & metrics.

I used to manage a store & hit targets throughout the year; earning a bonus. Right before giving out the bonus, they informed us that they are taking half. There are currently NO perks for managing the pharmacy.
Helpfu",,1.0,1.0,1.0,2.0,5.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Tue Jan 19 2021, Customer Service Associate,,Former Employee ,Horrible location,0,"Some of the staff and customers were nice. Close to elderly facility so seeing them come in was very rewarding. Hours was pretty decent. The management was fair and decent.
","Homeless people in front of store and frequency of shoplifting was out of control
Helpfu",,1.0,,,,,,,,
Tue Dec 29 2020, Pharmacist Manager,"Phoenix, AZ",Current Employee ,Continuously reducing pay for more work,0,"Fun team to work with constantly experiencing new ideas and new challenges each day
","Lack of support staff with proper training
Helpfu",,2.0,1.0,4.0,5.0,2.0,1.0,Recommends,Neutral Outlook,Disapproves of CEO
Sun Dec 13 2020, Shift Leader/Manager,"Tequesta, FL",Current Employee ,n/a,0,"great work environment and people
","always have to find things to do for yourself
Helpfu",,4.0,5.0,4.0,5.0,2.0,3.0,Recommends,Positive Outlook,Approves of CEO
Thu Dec 10 2020, Customer Service,"Kansas City, KS",Former Employee ,Customer service,0,"Good for those who would like to get more customer exp
","Good for achieving customer service
Advice to Management
Make sure employees are doing jobs properly
Helpfu","Make sure employees are doing jobs properly
Helpfu",4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Dec 10 2020, Asset Protection,"Washington, DC",Current Employee ,Good,0,"Love it, great place to work
","None that i can think of
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Dec 08 2020, Manager,"Deerfield, IL",Former Employee ,Great company to work at but a few opinions,0,"401K is nice with the match per dollar at day one. Ability to work from home and systems are in place to support this especially at the corporate level. Extremely clean open environment at the corporate office along with a health care multiplex service that includes (pharmacy, health cafe, medical center, messages on site, gym with awesome trainers, nutritionist). Believe me you participate in all the offerings you will live an even more healthy style.
","Insurance offerings are a bit high. Company going through downsizing as well lost good employees. Pay could be a little higher in some instances.
Advice to Management
Please be strong enough to get rid of leaders who are not receptive to new ideas and inclusive of positivity. If someone reaches out to have a discussion, take time to listen and ask the reason why. Believing falsehoods could create even more hardships in the long run. Always keep in mind.
Helpfu","Please be strong enough to get rid of leaders who are not receptive to new ideas and inclusive of positivity. If someone reaches out to have a discussion, take time to listen and ask the reason why. Believing falsehoods could create even more hardships in the long run. Always keep in mind.
Helpfu",4.0,5.0,4.0,2.0,2.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Dec 22 2020, Assistant Manager,"Madison, WI",Former Employee ,Not like it used to be.,0,"I enjoyed working with my crew. Helping older clientele.
","Lack of support from corporate when dealing with customer conflicts. Walgreens was a much better employer to work for before it bought the Boots company.
Advice to Management
Your employees are your strongest asset, treat them that way.
Helpfu","Your employees are your strongest asset, treat them that way.
Helpfu",3.0,2.0,2.0,4.0,2.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Dec 23 2020, Store Manager,"Cleveland Heights, OH",Former Employee ,store manager,0,"good pay and decent benefits,
","poor work life balance, long hours
Helpfu",,3.0,1.0,3.0,4.0,2.0,4.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Tue Dec 22 2020, Accountant,"Deerfield, IL",Current Employee ,"Great people, but company is going the wrong direction",0,"There are plenty of great and knowledgeable people working for this company. Work from home twice a week is pretty nice as well.
","Recent, cost transformation initiative have outsourced a lot of the work offshore.
Helpfu",,2.0,3.0,3.0,2.0,2.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Mon Dec 07 2020, Pharmacist,"Houston, TX",Current Employee ,Pharmacist,0,"There is a Work life balance
","The job is Laborious; requires long hours of standing
Helpfu",,4.0,,,,,,Recommends,Positive Outlook,Approves of CEO
