date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Feb 07 2021, Clerk,"Iowa City, IA",Former Employee ,They’re pretty cook,0,"Lots of employees to work with.
","No over time Or chances to get more hours
Advice to Management
Listen to employees
Helpfu","Listen to employees
Helpfu",5.0,5.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Cashier,,Current Employee ,Cashier,1,"Pay is good , flexible hours
","Benefits, time off , management
Helpful (1",,5.0,,,,,,,,
Sat Feb 06 2021, Cashier,"San Diego, CA",Current Employee ,Great Job,0,"Flexible schedule, easy going managers, simple job
","Dealing with thieves and entitled people
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Sales Associate/Cashier,"Burke, VA",Former Employee ,Job,0,"Good pay and flexible hours
","Long shifts, sometimes it can be boring
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Manager,,Current Employee ,Good company to work for.,0,"Lot of opportunities to grow
","health benefits could be better
Helpfu",,5.0,,,,,,,,
Sun Feb 07 2021, Sales Associate/Cashier,"Poplar Bluff, MO",Former Employee ,Loved it,0,"Good work environment great boss
","rude customers, too much put on employees
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Technician,"Kansas City, MO",Former Employee ,Good company,0,"They have great stock optu
","Too many hours and not enough staff
Helpfu",,5.0,2.0,1.0,2.0,5.0,3.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Sun Feb 07 2021, Front End Cashier,"Valdosta, GA",Current Employee ,A great company.,0,"New friends, good relations with co-workers, not a lot of work
","Work schedules can be insane
Advice to Management
Fix scheduling. <3
Helpfu","Fix scheduling. <3
Helpfu",5.0,,,,,,Recommends,Neutral Outlook,Approves of CEO
Sat Feb 06 2021, CAP Team II Associate,"Monument, CO",Former Employee ,Not that bad,0,"The hours were good, and the pay was great.
","Scheduling is a nightmare and management had a high turnover rate
Helpfu",,4.0,,,,,,,,
Sun Feb 07 2021, Department Manager,"Jacksonville, FL",Current Employee ,Work hard and you will go somewhere,0,"It is what you make of it
","There is often a disconnect between management in planning.
Advice to Management
Do more to promote people who go above and beyond
Helpfu","Do more to promote people who go above and beyond
Helpfu",4.0,5.0,2.0,5.0,4.0,3.0,Approves of CEO,,
Sun Feb 07 2021, Sales Associate,"Houston, TX",Current Employee ,It's a great place to start,0,"Walmart can provide a job, easy to learn. ","stent hours!
Cons
There is a learning ceiling and you hit it very early. Great starter job
Helpfu",,4.0,4.0,2.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, ECommerce Personal Shopper,"Collinsville, IL",Former Employee ,Walmart OGP employment review,0,"Flexible schedule being a college athlete was incredibly nice. Was able to pick the shift I wanted to work was awesome.
","Management needs to understand how manage better and understand that they way the treat their employees has a direct correlation to employee productivity.
Advice to Management
Needs to have more training in management. How management handled situations, and talked to employees from a business major perspective was appalling.
Helpfu","Needs to have more training in management. How management handled situations, and talked to employees from a business major perspective was appalling.
Helpfu",4.0,5.0,3.0,5.0,4.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Sun Feb 07 2021, Overnight Stocker,,Current Employee ,Good,0,"Easy job to do and flexible schedule
","The pay is not too good for overnights
Helpfu",,4.0,,,,,,,,
Sun Feb 07 2021, Certified Pharmacy Technician,,Former Employee ,Great place to work,0,"Yearly opportunities for raises, opportunities for overtime, flexible hours
","Pharmacy area is really tight and the counters are low so if you are taller than 6' then it can cause some back and neck pain from bending over all the time.
Helpfu",,4.0,3.0,4.0,5.0,3.0,3.0,Recommends,Neutral Outlook,No opinion of CEO
Sun Feb 07 2021, Sales Associate/Cashier,"New York, NY",Former Employee ,Excellent Service,0,"Great Communication with the staff.
","Late hours working throughout the night.
Helpfu",,4.0,3.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Feb 07 2021, Assistant Manager,"Hattiesburg, MS",Former Employee ,It was good,0,"Money was good and benefits were great
","If management at market and regional levels would get out of the way the stores would run a lot smoother
Helpfu",,4.0,2.0,3.0,5.0,4.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Self Employed,"Dallas, TX",Current Employee ,Great,0,"401 k stock benefits are good, employee discount
","pay is not that great
Helpfu",,5.0,1.0,3.0,5.0,2.0,2.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sat Feb 06 2021, Team Lead,,Current Employee ,Great Benefits,0,"$1 a day college education
","Sometimes heavy workload, stressful situations
Helpfu",,5.0,5.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Any,"Bowling Green, KY",Current Employee ,Love the job,0,"Amazing people and have my customer that I get to see every day and love them. Love being able to live the people who need the help
","I just need some more money a better chance to move on.
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Cashier,"San Diego, CA",Current Employee ,Great Job,0,"Flexible schedule, easy going managers, simple job
","Dealing with thieves and entitled people
Helpfu",,5.0,,,,,,,,
Sat Feb 06 2021, Cap II Associate,"Edinburg, TX",Former Employee ,"Great pay, favoritism at its best.",0,"Great starting pay at 11hr
","They favorite people that don't do the things right and like to mess around and promote them because they are cool with them instead of promoting people that are trying their best to actually move up in the company.
Advice to Management
Promote people that actually are trying their best to get promoted, not just somebody that you are ""cool with"".
Helpfu","Promote people that actually are trying their best to get promoted, not just somebody that you are ""cool with"".
Helpfu",4.0,4.0,3.0,3.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 06 2021, Cashier,,Current Employee ,Not bad but not so good,0,"-good hours
-good benefits
-good breaks
There are pretty good advantages
","Bad training
Bad customer service teams
Helpfu",,4.0,4.0,2.0,3.0,2.0,3.0,,,
Sat Feb 06 2021, Sales Associate/Cashier,"Richton Park, IL",Former Employee ,N-a,0,"Hours, coworkers, flexible hours, hour given, pay rate
","Favoritism, poor management, no structure, sometimes overworked, no move up opportunities
Advice to Management
Cashier are not paid enough
Helpfu","Cashier are not paid enough
Helpfu",4.0,3.0,4.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Sat Feb 06 2021, Remote Work From Home Jobs,"Pittsburgh, PA",Current Employee ,Walmart,0,"Great place to work. Very nice people to work with.
","The management could be much better in terms of relaying information to the associates.
Helpfu",,4.0,,,,,,,,
Sat Feb 06 2021, Assistant Manager,,Current Employee ,Good,0,"Money is good stress is high though
","Disconnected leadership is a big problem
Helpfu",,4.0,1.0,3.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Sat Feb 06 2021, Fresh CAP Team Associate,"Roscoe, IL",Former Employee ,Average Experience,0,"They never cancelled any of my shifts, always gave me a lot of hours, and my coworkers were all really nice
","Very repetitive work and I was not able to get put into the system fully in the month that I worked there, which provided issues for leaving
Helpfu",,4.0,,,,,,,,
Sat Feb 06 2021, CAP Team II Associate,"Monument, CO",Former Employee ,Not that bad,0,"The hours were good, and the pay was great.
","Scheduling is a nightmare and management had a high turnover rate
Helpfu",,4.0,,,,,,,,
Thu Feb 04 2021, Sales Associate,"Dallas, TX",Current Employee ,Great job for Highschooler,0,"Good pay, good benefits, and not ridiculiously hard work.
","Sometimes they over schedule you, but you just have to communicate with management.
Advice to Management
Your schedule system confuses yall and sometimes you schedule me way more hours than I can work.
Helpfu","Your schedule system confuses yall and sometimes you schedule me way more hours than I can work.
Helpfu",5.0,5.0,4.0,5.0,4.0,5.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Feb 05 2021, Sales Team Leader,"Altoona, PA",Former Employee ,I loved my job,0,"I loved working at walmart. The pay was nice, the people were great! However, this job is not for everyone. If you like high stress situations (I thrived on this) you will do great moving up.
","It's hard to move up while having a family. Moving up is not job security, your job can be demolished 3 months from now.
Advice to Management
Help boost the morale of your teams by telling them how good of a job they really are doing.
Helpfu","Help boost the morale of your teams by telling them how good of a job they really are doing.
Helpfu",5.0,2.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
