date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Jan 23 2021, Analyst,N/A,Former Employee ,Wells Fargo,0,"Great people to work with
","Long commute from my house
Helpfu",,5.0,4.0,4.0,3.0,4.0,5.0,Approves of CEO,,
Sun Feb 07 2021, Administrative Assistant,"Charlotte, NC",Current Employee ,Good company,0,"Good benefits, time away, medical insurance
","Difficult to move up within the company
Helpfu",,4.0,4.0,4.0,3.0,3.0,4.0,,,
Sat Feb 06 2021, Data Analyst,,Current Employee ,Solid Experience,0,"Good place to use a lot of tools and understand pros/cons of each tool
","none that I think are relevant
Advice to Management
none
Helpfu","none
Helpfu",5.0,,,,,,,,
Sat Feb 06 2021, Senior QA Analyst,,Former Employee ,Software testing,0,"Fast growth for new college graduates
","Repetitive work
Management and Leadership changes often
Helpfu",,4.0,4.0,3.0,4.0,5.0,5.0,,,
Sat Feb 06 2021, Analyst,"New York, NY",Current Employee ,Teamwork oriented culture,0,"Teamwork oriented, supportive environment, company wants to retain good talent (ie. ability to move laterally)
","Internal bureaucracy can be frustrating
Helpfu",,4.0,,,,,,,,
Sat Feb 06 2021, Phone Bank Supervisor,"Bethlehem, PA",Former Employee ,Great place to learn and grow,0,"Great culture, great learning opportunities
","Very demanding, relentless goals, tough to balance personal / business life
Advice to Management
Continue to focus on engagement and doing the right thing at the right time by clients and team members even if that means scaling back or re assessing a goal.
Helpfu","Continue to focus on engagement and doing the right thing at the right time by clients and team members even if that means scaling back or re assessing a goal.
Helpfu",4.0,3.0,4.0,5.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Sat Feb 06 2021, Lead Teller II,"Houston, TX",Current Employee ,Its okay,0,"Great insurance benefits and paid time off
","Its depends on Management for the specific branch.. some wanna help you succeed and other dont support you..
Helpfu",,4.0,5.0,3.0,3.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sun Feb 07 2021, Teller,"Washington, DC",Current Employee ,Good place to grow,0,"A lot carreer opportunities
Compliance on top
","Sometimes stressful
A lot of things new everyday
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Fri Feb 05 2021, Lead Teller,"Chandler, AZ",Former Employee ,Great job to get into Finance,0,"Decent benefits, great team environment, knowledgeable professionals. East to move up, many jobs available in the industry.
","Some micromanaging from the management
Helpfu",,5.0,5.0,5.0,5.0,5.0,3.0,Recommends,Positive Outlook,
Fri Feb 05 2021, Data Management Consultant,"Atlanta, GA",Current Employee ,Great Place to Work,0,,"ltant in Atlanta, GA
Recommends
Positive Outlook
Approves of CEO
I have been working at Wells Fargo full-time for less than a year
Pros
Inclusive, friendly and helpful co-workers. Open and transparent management. Lots of opportunity to move around to different teams.
Cons
As with any large company, there is always constant change, Wells Fargo is no different. Not really a con if this isn't a problem for you. I'm used to it as I've always worked for large companies, so doesn't really bother me anymore, I just roll with it.
Helpfu",,5.0,5.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
