date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Feb 10 2021, Maintenance Technician,,Current Employee ,Maintenance,0,"Plenty of money to be made
","Swing shift can be difficult
Helpfu",,5.0,,,,,,,,
Tue Feb 09 2021, Continuous Improvement Manager,"Norcross, GA",Former Employee ,WestRock,0,"Good stable growing company, good culture and core values
","work life balance, growing too fast - too big to handle onboarding other companies
Helpfu",,4.0,3.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Machine Operator Assistant,"Chesterfield, MO",Former Employee ,Great starting pay,0,"Lots of hours, good pay
","Mandatory overtime, no exceptions granted. Mostly 3rd shift
Helpfu",,4.0,3.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,
Sat Feb 06 2021, Designer,"Sioux City, IA",Current Employee ,Information,0,"Lots of overtime available. Flexible. Decent insurance
","Hard to stand out. Difficult to grow a career.
Advice to Management
Less IT based interaction performance reviews/guidance. More human HR interaction to help build a career
Helpfu","Less IT based interaction performance reviews/guidance. More human HR interaction to help build a career
Helpfu",4.0,4.0,4.0,5.0,2.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Staff Accountant,"Atlanta, GA",Former Employee ,Review for Westrock,0,"Great company to work for
","the commute was not ideal
Helpfu",,5.0,,,,,,,,
Fri Feb 05 2021, EHS Supervisor,,Current Employee ,Good place to work,0,"good benefits, like working here
","nothing comes to mind other than each site run a little differently
Helpfu",,5.0,4.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, General Mechanic,"Florence, SC",Former Employee ,"Good company to work for, wish I was still there. Worked with and learned alot from some really good mechanics.",0,"Good salary and decent benefits, training and advancement opportunity.
","Long hours, 12hr. Swing Shifts, Buddy System.
Advice to Management
Nothing
Helpfu","Nothing
Helpfu",4.0,3.0,3.0,4.0,4.0,5.0,Recommends,Positive Outlook,
Wed Feb 03 2021, Machine Operator,"Cerritos, CA",Current Employee ,Great,0,"Great pay , a lot of overtime 
Benefits
","Work some weekends 
A lot of overtime if you aren’t into that
Helpfu",,5.0,2.0,3.0,3.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Thu Feb 04 2021, Senior Process Engineer,"Panama City, FL",Current Employee ,Challenging,0,"a lot of room for growth.
","you will work a lot of hours
Helpfu",,4.0,2.0,3.0,2.0,4.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Tue Feb 02 2021, Double Backer,"Blue Ash, OH",Current Employee ,Good,0,"Money good Saturday every week.
","Hours. At times forced 12 hour shifts become tiresome.
Advice to Management
More new hires.
Helpfu","More new hires.
Helpfu",4.0,1.0,2.0,2.0,3.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Sun Jan 31 2021, Senior Director,"Atlanta, GA",Current Employee ,Great place to work,0,"Kind people, led from the top. Respect and integrity are core values.
","Antiquated systems, slow to make decisions sometimes.
Helpfu",,5.0,,,,,,,,
Wed Jan 27 2021, Senior Accountant,"Atlanta, GA",Former Employee ,Growing company,0,"Great benefits, work/life balance is good and you have the ability to work remote
","Limited career advancement if you don’t speak up to your manager
Helpfu",,4.0,5.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021, Project Manager,"West Chester, OH",Former Employee ,Great company,0,"Exceptional leadership
Great benefits
Great training progrAm
","Large spread out company 
Very silo’d
Helpfu",,5.0,5.0,4.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Senior Structural Designer,"Chicago, IL",Current Employee ,Overall good compnay,0,"Great opportunities for advancement.
Great work balance.
","Within our BU, it can be a boys club. 
Connections with top personnel mean everything
Helpfu",,4.0,4.0,4.0,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Customer Account Specialist,N/A,Former Employee ,"Good, typical corporate job",0,"Good job for a typical corporate environment
","Distribution of workload volume was unbalanced
Helpfu",,3.0,2.0,3.0,3.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO
Tue Jan 19 2021, Labor Pool,"Tacoma, WA",Current Employee ,Good opportunity,0,"Good pay for no qualifications.
","Not for everyone. Have to know someone to get in.
Helpfu",,4.0,,,,,,,,
