date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Jan 23 2021," Senior Manager, Operations",,Current Employee ,Great company,0,"Great company, good benefits, growing
","Tough industry to be in during covid
Helpfu",,5.0,4.0,5.0,5.0,5.0,5.0,,,
Wed Feb 03 2021, Shift Supervisor,"Houston, TX",Current Employee ,WFS,0,"* Work Life Balance
* Good people
* Advancement Opportunities
* Large company with lots of career options
","* rotating schedule. days-nights (good thing is you know when you rotate well in advance)
Helpfu",,4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Senior Manager Financial Systems,"Miami, FL",Current Employee ,Good Company to work for,0,"Good Worklife balance and benefits
","No Clear direction in technology
Helpfu",,5.0,5.0,4.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO
Mon Feb 01 2021, Architect,"Miami, FL",Former Employee ,Good company,0,"Good company, cutting edge technologies
","Too fast , growth opportunities are only for few people
Helpfu",,3.0,3.0,3.0,3.0,3.0,3.0,Recommends,Positive Outlook,Approves of CEO
Fri Jan 29 2021, Data Analyst,,Current Employee ,Good Company,0,"Have visibility in the team
","Work Load high and Management
Helpfu",,4.0,,,,,,,,
Fri Jan 22 2021, Financial Operations Coordinator,"Mission, KS",Former Employee ,Their bottom dollar comes first.,0,"It was fun while it lasted. Monthly we'd have food trucks and free breakfasts.
","Myself and my entire team of Financial Operations Coordinators were let go during the pandemic so the company could shift our jobs to Costa Rica. 

It could've waited a year for our sake but instead they rushed it. They announced it at the end of April and let people go the first of June, July, August, and September.
Helpfu",,4.0,2.0,2.0,1.0,4.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Jan 18 2021, Marketing Manager,"Miami, FL",Current Employee ,Many things to learn here,0,"Great work culture huge scope of learning
","COVID impacted it like other companies
Helpfu",,4.0,4.0,5.0,5.0,4.0,4.0,,,
Sun Jan 10 2021, Technology Lead (US),"Miami, FL",Current Employee ,Great company in every way.,0,"Company is dedicated to leveraging technology across the business and puts it's money where it's mouth is. Learning and career growth opportunities are plentiful. Great focus on service to customers and highest marks on social consciousness and responsibility.
","Sometimes the gears move slowly, which is to be expected in a company of this size.
Advice to Management
Keep doing what you are doing.
Helpfu","Keep doing what you are doing.
Helpfu",5.0,4.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Sales Consultant,,Current Employee ,Poor Management huge turnover,1,,"ltant 
Doesn't Recommend
Negative Outlook
Disapproves of CEO
I have been working at World Fuel Services full-time for more than 3 years
Pros
Do workers, Average benefits, not too much
Cons
High turnover, no loyalty to employees
Advice to Management
Management should at least take the same pay cuts that they have subjected their employees to...disgraceful
Helpful (1","Management should at least take the same pay cuts that they have subjected their employees to...disgraceful
",1.0,1.0,2.0,3.0,2.0,2.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Nov 25 2020, Account Receivable Lead,"Miami, FL",Former Employee ,Great Place,0,"Friendly staff, nice facilities, very clean, and a great place to work
","I have zero complaints about WFS
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Nov 15 2020, Systems Engineer,"Miami, FL",Current Employee ,It is a pretty good place to work,0,"The culture is great and there is a lot of room to grow
","when promoted within the company, raises are not much.
Helpfu",,3.0,5.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Fri Nov 06 2020, Human Resources,"Ithaca, NY",Former Employee ,You will learn a lot working here - but you won’t enjoy it!,5,"IT organization is further along the transformation
","No clear values
No communication
Disorganized 
Continual reorganization
Severely impacted by COVID
Advice to Management
Improve communication and transparency. Refocus on identifying and delivering on your values.
Helpful (5","Improve communication and transparency. Refocus on identifying and delivering on your values.
",2.0,3.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Tue Oct 27 2020, Software Developer I,"Miami, FL",Current Employee ,Amazing place to learn & grow. Very open culture and friendly people!,0,"Everybody is friendly and open. You get good visibility for the work you are doing. Fantastic place for New Grads and seasoned developers alike. You are not pigeonholed into a certain area of software development - you have the freedom to raise your hand and say that you would like to do xyz technology (AWS, Spring Boot, Angular, NodeJS, C# being a few that I know of).

You get reimbursed for any certifications you take which are related to your role (AWS certs, New Relic, Mulesoft certs etc) and even for the courses you enroll.

Remote working has been a breeze.
","I thought about it for a while but really nothing comes to mind.
Advice to Management
Continue the great work and listening to employees! Fantastic culture!
Helpfu","Continue the great work and listening to employees! Fantastic culture!
Helpfu",5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Nov 27 2020, Operations Supervisor,,Former Employee ,Do not work here,3,"None none none none none
","Will not pay you for the work you put in
Helpful (3",,1.0,,,,,,,,
Mon Oct 19 2020, Sales,,Current Employee ,Average Fortune 500,4,"Reasonable Pay and opportunities to advance
","Organizational Nightmare & does a bad job of leveraging size
Helpful (4",,2.0,,,,,,,,
Wed Nov 11 2020," Senior, Human Resources Analyst","Doral, FL",Former Employee ,Worst Management,4,"My co-workers were the only positive experience
","My experience was not a positive one. Management was not good.
Helpful (4",,1.0,,,,,,,,
Sat Oct 03 2020, Principal Software Engineer,"Miami, FL",Former Employee ,"Great culture and people, current tech stack",0,"Company is going through some transformation, we had new leadership, they have a good vision and culture. Things are changing in the positive direction.

Tech stack is pretty current, you can use AWS, Angular, Microservices or whatever you think will do the job.
","Covid impacting the company but so far they are doing good.

Due to continues re-orgs and changes you miss to have some stability,
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Aug 25 2020, Finance Manager,"Miami, FL",Former Employee ,Great opportunity,0,"Good development, big corporation, global
","Work-life balance can be tricky, corporate world,
Helpfu",,4.0,3.0,4.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Aug 18 2020, Executive Assistant,"Milwaukee, WI",Former Employee ,Great Company!,0,"Well organized, training provided. The HR dept is very helpful.
","Management seems to change roles a lot.
Helpfu",,3.0,5.0,4.0,3.0,5.0,3.0,Recommends,,Approves of CEO
Sat Sep 05 2020, Administrative,,Current Employee ,Management,5,"PTO is much better than other Companies
","Management has favorites, if you are not liked you cannot succeed
Helpful (5",,1.0,2.0,1.0,1.0,4.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Thu Aug 13 2020, Manager,"Miami, FL",Former Employee ,Goat Rodeo. Big Corporate Arrogance Without the Maturity. Toxic Culture and Hostile Work Environment.,16,"Space Odyssey 2020. Average benefits. Generous PTO. Experience Living in the Twilight Zone in Color.
","Leaders at every level are insecure and spineless due to the ""gotcha"" toxic culture set at the top. They quickly marginalize perceived threats and suppress ideas that run counter to their own to maintain the status quo. Senior leaders are incapable (or unwilling) to connect on a human level due their distrust of others, personal egos, insecurities, jadedness, and/or lack of experience leading at a comparable level within another organization. Result is no inspired leadership .. no camaraderie .. and no collective accomplishments to celebrate. 

Sincerity, genuine empathy, and care of employees is not practiced nor is it valued. HR is non-existent (zero independent contribution) as they are 100% deferential to senior leaders who should not weigh in on so many people decisions as they are not omnipresent. Such decisions should be made by entrusted direct supervisors with input from every person an employee works with, but they are not. HR has the worst tact in engaging individual employees as their only objective is to endear themselves to the senior leaders they work for. They don’t even ask the thousands of employees who have left for feedback! It makes for a miserable place to work when there is no system in place to evaluate based on merit .. solid employees are laid off (without warning) while marginal obedient employees remain and leaders are none the wiser. Board is passive and weak. No diversity .. to be clear, no black people in any position above entry level. Strategy is like looking through a kaleidoscope (great if you’re on LSD, not so great if you're not). Little to no community involvement/presence in Miami/HQ aside from the annual corporate run. 

Maniacal acquirer. They will buy a company only to leave them alone for years, make employees feel inferior by feigning interest in what they do, cut costs, starve them for capital, and then demand growth. Sellers are promised investment and then pushed aside post-sale as their former company languishes/atrophies. I’ve observed leaders use acquired companies as a WeWork space to hold meetings without acknowledging any of the employees there. For all aside from execs, it’s an exhausting 9-5 grind as they are a cog in the wheel. Zero examples of anyone establishing a career. Bully culture fosters back-stabbing and an all-for-one mentality that obliterates morale. 

I’ve witnessed leaders threaten their aged 50+ employees by telling them they can replace them with younger, less costly recent college graduates. Countless times I have witnessed while in their presence, senior leaders speak horribly about employees behind their back on a conference call. No one ever feels pride that they are included but rather shame that they had to bear witness.
Advice to Management
Move on. Management team is tone deaf and lacks employee trust to change. They manage quarter-to-quarter and cut costs with zero fortitude to invest and commit long-term to grow. They can’t change given their advanced age and cozy predicament. 

To be fair, I’m sure those in charge at many, if not all, large publicly traded companies fall short at satisfying all stakeholders … customers, shareholders, and employees. However care of employees (regardless of how slim the margins) is paramount to creating a lasting company. At this place, there is no arbiter of promoting/retaining employees on merit, no rational convicted leader to commit to a strategy and openly communicate, and no trust and sincerity evoked by any leader.
Helpful (16","Move on. Management team is tone deaf and lacks employee trust to change. They manage quarter-to-quarter and cut costs with zero fortitude to invest and commit long-term to grow. They can’t change given their advanced age and cozy predicament. 

To be fair, I’m sure those in charge at many, if not all, large publicly traded companies fall short at satisfying all stakeholders … customers, shareholders, and employees. However care of employees (regardless of how slim the margins) is paramount to creating a lasting company. At this place, there is no arbiter of promoting/retaining employees on merit, no rational convicted leader to commit to a strategy and openly communicate, and no trust and sincerity evoked by any leader.
",1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Jul 15 2020,Anonymous,,Current Employee ,IT,1,"-people are good
-using new tool/tech
","-too many projects in flight all at once
Advice to Management
focus on the people
Helpful (1)
World Fuel Services Response
August 10, 2020 – Global Director Talent Acquisition
Thank you for your valuable feedback on project prioritization. We are happy to hear that you appreciate our technology stack and tools. We pride ourselves on digitizing the business and could not do it without professionals like YOU","focus on the people
",3.0,3.0,2.0,3.0,2.0,1.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Aug 17 2020, Truck Driver,"Tacoma, WA",Former Employee ,Super low pay,3,"Nice people, halfway decent maintenance, uniforms and low key atmosphere. Hires fuel truck drivers right out of school.
","Horrible medical coverage rates and absolutely horrible pay rates for anyone with experience.
Advice to Management
too many chiefs, not enough work for the number of employees.
Helpful (3)
World Fuel Services Response
August 25, 2020 – Global Director Talent Acquisition
Thank you for your feedback on our benefits. Please know World Fuel Services is listening to our associates. We have made improvments and offer 3 medical plans, one of which is a $0 premium cost for employees, company paid life insurance at 3x your base salary, 100% immediate vesting in our 401(k) with a 50% match up to 6%, coverage for domestic partners and same-sex partners and much more","too many chiefs, not enough work for the number of employees.
",1.0,4.0,3.0,1.0,1.0,2.0,Doesn't Recommend,Negative Outlook,Approves of CEO
Tue Jul 07 2020, Account Manager,"Overland Park, KS",Former Employee ,The right hand doesn't know what the left hand is doing,4,"Flexible work hours, family friendly, great co-workers
","Management all over the place
Helpful (4)
World Fuel Services Response
July 14, 2020 – Global Director Talent Acquisition
Thank you for your honest feedback. We are glad to hear you apprecaited the flexible work hours, our family friendly environment and agree we've got some of the best co-workers to work with hands-down! We are sorry to hear you feel we missed the mark regarding management and wish you the best in yoru future endeavors",,2.0,3.0,1.0,2.0,2.0,2.0,Doesn't Recommend,,
Sun Jun 21 2020, Financial Operations Coordinator,,Current Employee ,Frequent lay offs,9,"Good work environment . It is ok for short term but need to move on
","Less stability of job . Restructuring happens often. I have seen so many positions frequently moved between offices . Focused more on making money rather than employees. Leaders laid off, employees laid off because of rapid organizational restructuring ..
Helpful (9)
World Fuel Services Response
June 22, 2020 – Global Director Talent Acquisition
Hello and thank you for sharing your feedback with us. During this global pandemic many companies have needed to make hard decisions and WFS is not exempt from needing to make these decisions, too. On a brighter note, during these unprecedented times, our teams have truly rallied together to support our customers and keep our business running. We acknowledge and are thankful for you! Many of our employees are going above and beyond their scope of work every day. They are our WFS Heroes and we have started sharing their stories on our careers site and LinkedIn page to show our appreciation. Thank you for all you do!",,2.0,3.0,2.0,2.0,3.0,2.0,,,
Wed Jun 17 2020, Human Resources,"Miami, FL",Current Employee ,Tons of exciting opportunities 😃,0,"Highly agile and entrepreneurial culture. We are empowered to create and problem solve. On during my time here I have been involved in many new exciting global initiatives and projects. Love it here.
","None I can think off.
Advice to Management
More communication across company
Helpful
World Fuel Services Response
June 19, 2020 – Global Director Talent Acquisition
Thank you for sharing your experience with us and the Glassdoor community! We appreciate your hard work, especially now in these challenging times. Keep up the great work and positive attitude. Also, thank you for the advice regarding communication - we are listening and working though solutions to better enable internal communications","More communication across company
Helpful
World Fuel Services Response
June 19, 2020 – Global Director Talent Acquisition
Thank you for sharing your experience with us and the Glassdoor community! We appreciate your hard work, especially now in these challenging times. Keep up the great work and positive attitude. Also, thank you for the advice regarding communication - we are listening and working though solutions to better enable internal communications",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Jul 13 2020, Business IT,,Former Employee ,Find a company that values its employees... not here,11,"None that I can think of.
","They don’t care about their people. Lack of culture and low morale. Pay is subpar. Never celebrate successes, you can’t seem to be doing enough, zero recognition. Run.
Advice to Management
Local management is great. Headquarters think they know what they’re doing, when they really have no clue. Acquisitions continue happening and they have no idea what to do with them.
Helpful (11","Local management is great. Headquarters think they know what they’re doing, when they really have no clue. Acquisitions continue happening and they have no idea what to do with them.
",1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Tue Jul 14 2020,Anonymous,"Red Bank, NJ",Former Employee ,Racist co-workers.,7,"Salary, benefits, location. Other than that nothing good about it. Extremely unpleasant
","Chauvinistic, racist and bigoted co-workers and managers. Unprofessional. No job related education opportunities.
Advice to Management
Hire professionals
Helpful (7","Hire professionals
",1.0,1.0,1.0,1.0,4.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO
Thu Jun 11 2020, Finance,,Current Employee ,Not great,7,"Decent pay, some decent coworkers
","Chaotic atmosphere created by leadership
Helpful (7",,2.0,,,,,,,,
Mon May 25 2020, N/A,"Miami, FL",Current Employee ,Could be better,5,"Fortune 500 company, Fair Salary, Great Benefits, Decent work environment
","Too many recent acquisitions, seems that employees are treated as just a number, lack of communication, though they have an agile environment.
Advice to Management
Treat all your employees, those that are new to company and those that have made a long career with respect and value. Company motto is value clients and employees, but the latter is not properly done.
Helpful (5)
World Fuel Services Response
June 19, 2020 – Global Director Talent Acquisition
Thank you for sharing your honest experience with us. We appreciate your dedication over the past decade and your current hard work; especially in these challenging times. We do intend to value our employees, and take your ""advice to managment"" seriously. Feel free to contact your local HR representative to further discuss","Treat all your employees, those that are new to company and those that have made a long career with respect and value. Company motto is value clients and employees, but the latter is not properly done.
",3.0,3.0,3.0,3.0,4.0,3.0,Doesn't Recommend,Negative Outlook,Approves of CEO
Tue Jun 23 2020, Director,"Miami, FL",Former Employee ,Felt Color matters to grow in the company,12,"Keeps busy
New gym was good
","COO was full of talk and no action
Bootlickers are welcome
Executive management gives rat crap to working people
Tribalism
Favoritism and Nepotism
Advice to Management
Be honest and treat your employees right.
Helpful (12)
World Fuel Services Response
July 2, 2020 – Global Director Talent Acquisition
World Fuel Services feels it is important to address this unfair review addressing the serious issue of race in employment opportunity. Contrary to the anonymous allegation in the post that “color matters”, World Fuel Services has a strong culture that embraces diversity. We prohibit and do not tolerate racial discrimination in hiring, promotions, employee terminations, or any other talent-related decisions","Be honest and treat your employees right.
",1.0,1.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Mon Jun 15 2020, Commercial Operations,,Former Employee ,Racist management,11,"Generous PTO would be the only pro, however a lot people don't get to use their PTO up and they end up losing it because you cannot carry it over.
","Not saying the company as a whole is racist but the commercial operation manager/director in overland park office most definitely is. She has about 25 employees with majority being caucasians working under her yet she choose just the people of color to furlough. Under her team the 3/4 furloughed employees are minorities. So my questions is that, besides the race of the employees, what other indicators were used when choosing who to furlough?
Also might I add, one of the minority employee was fired right after she was furloughed because she got in trouble for taking a zoom call on her bed. Is that a legitimate reason to fire an employee? I'll let you be the judge.
During the entire furlough process, the manager showed no emotions or empathy of any sort. Wouldn't go back to work for this company under any circumstances.
Truly, if you work in this office, there will be no growth. Ask anyone in the company and they can tell you. You're lucky if your department doesn't a mass lay off.
Advice to Management
Embrace diversity and actually care about your employees. 
Don't take advantage of the temps, if you planned to lay off the entire billing team, don't give them false hope and lead them on for over a year.
Helpful (11)
World Fuel Services Response
June 19, 2020 – Global Director Talent Acquisition
World Fuel Services feels it is important to address this unfair and inaccurate review addressing the critical issues of race and equal opportunity in employment. Contrary to the anonymous allegations in the post, World Fuel Services has a strong culture that embraces diversity. We prohibit and do not tolerate racial discrimination in hiring, promotions, employee terminations, or any other personnel decisions. While it is inappropriate to comment on each false allegation in the post, we can say with confidence that race played no role in the Company’s difficult decision to furlough certain employees. We are particularly proud of our diverse team in Overland Park, and we believe that the vast majority of our employees who work there are pleased that they do","Embrace diversity and actually care about your employees. 
Don't take advantage of the temps, if you planned to lay off the entire billing team, don't give them false hope and lead them on for over a year.
",1.0,3.0,1.0,1.0,3.0,2.0,Doesn't Recommend,Negative Outlook,
Tue Jun 02 2020, Accountant,,Former Employee ,Worst team and place to work,9,"have benefits; some people are nice;
","not properly value employee, treat unfairly; make good relationship with management is the only way to success at here; global company runs in mama papa style and in a constant reactive state; Highly ambiguous and inconsistent when it comes to communicating transparency, trust, collaboration and respect.
Helpful (9",,1.0,1.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,
Mon Apr 20 2020, Human Resources Coordinator,"Miami, FL",Former Employee ,Great Place,0,"Great culture in HR department, good leadership, room for growth.
","Didn't sense any in my short time there.
Helpful
World Fuel Services Response
June 24, 2020 – Global Director Talent Acquisition
We love hearing about the positive experiences our teammates have had working for WFS! Strong communication across teams is one of our core values at World Fuel Services — and that includes letting us know what’s working and where we can improve, so please keep up the feedback and communication",,4.0,5.0,5.0,4.0,5.0,3.0,,,
Fri May 15 2020, Manager,,Former Employee ,"Unorganized, soul-sucking culture",15,"Some of the people are nice, but most will stab you in the back. You really can't trust anyone.
","The lack of consistency is appalling. At one point I thought it would improve but that quickly changed. They acquire smaller companies, leave them alone and then wonder why it's overall a disjointed organization. There is a lack of leadership communication and proper guidance for managers. A lot of back-stabbing and favoritism across the board. Those behaviors are encouraged even by the culture that is present. That entitled attitude which is prevalent in the leadership trickles down to the line managers who really emotionally abuse and belittle their workforce. Good things appear and disappear without notice. Use the company for a time if you must, just like they are using you. Then get out before that place makes you hard/numb to what you really deserve in a workplace.
Advice to Management
They think they know everything. No need to waste words here.
Helpful (15","They think they know everything. No need to waste words here.
",1.0,1.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,
