3M, 18000
Abbott Laboratories, 18144
AbbVie, 18000
AECOM, 432
Aflac, 16578
Albertsons, 18144
Allstate, 18144
Alphabet, 324
Altria Group, 15354
Amazon, 18162
American Airlines Group, 18000
American Express, 18144
American International Group, 18144
AmerisourceBergen, 18144
Amgen, 18144
Anthem, 18000
Apple, 18162
Archer Daniels Midland, 14166
Arrow Electronics, 18162
AT&T, 18162
AutoNation, 7164
Avnet, 7020
Baker Hughes, 18000
Bank of America, 18144
Bank of New York Mellon, 16704
BD, 12042
Berkshire Hathaway, 10170
Best Buy, 18000
Boeing, 18000
Bristol Myers Squibb, 18162
Broadcom, 6300
Capital One Financial, 18162
Cardinal Health, 18162
CarMax, 18144
Caterpillar, 18144
CBRE Group, 18000
CDW, 18162
Centene, 18144
Charter Communications, 18144
Chevron, 18000
CHS, 18
Cigna, 18000
Cisco Systems, 14040
Coca Cola, 18144
Comcast, 18000
ConocoPhillips, 18000
Costco Wholesale, 18000
Cummins, 18000
CVS Health, 18126
D.R. Horton, 7704
Danaher, 7326
Deere, 0
Dell Technologies, 18000
Delta Air Lines, 18144
Dollar General, 18000
Dollar Tree, 18000
Dow, 18144
Duke Energy, 16470
DuPont, 18000
DXC Technology, 7542
Eli Lilly, 18000
Emerson Electric, 18144
Energy Transfer, 5472
Enterprise Products Partners, 3942
EOG Resources, 2592
Exelon, 12474
Exxon Mobil, 18144
Fannie Mae, 18144
FedEx, 18000
Ford Motor, 18000
Freddie Mac, 18000
General Dynamics, 9792
General Electric, 18144
General Motors, 18144
Genuine Parts, 3798
Gilead Sciences, 13284
Goldman Sachs Group, 18000
google, 18000
Halliburton, 18000
Hartford Financial Services Group, 18144
HCA Healthcare, 720
Hewlett Packard Enterprise, 18144
HollyFrontier, 1548
Home Depot, 18000
Honeywell International, 11502
HP, 18144
Humana, 18000
IBM, 18000
Intel, 18162
International Paper, 18000
Jabil, 18000
Johnson & Johnson, 18000
JPMorgan Chase, 18144
Kimberly Clark, 18162
Kohl's, 18162
Kraft Heinz, 18000
Kroger, 18162
Lear, 108
Lennar, 8010
Liberty Mutual Insurance Group, 18144
Lockheed Martin, 18000
Lowe's, 18144
Lumen Technologies, 18162
Macy's, 18144
ManpowerGroup, 14526
Marathon Petroleum, 11196
Marriott International, 18000
Massachusetts Mutual Life, 18000
McDonald's, 18144
McKesson, 18000
Merck, 18000
MetLife, 10386
Micron Technology, 18144
Microsoft, 18000
Mondelez International, 18000
Morgan Stanley, 18144
Nationwide, 18000
Netflix, 18000
New York Life Insurance, 18000
NextEra Energy, 9936
NGL Energy Partners, 954
Nike, 18144
Northrop Grumman, 18000
Northwestern Mutual, 18126
Nucor, 4626
Occidental Petroleum, 9846
Oracle, 18000
Paccar, 10296
PayPal Holdings, 18144
PBF Energy, 1476
Penske Automotive Group, 7326
PepsiCo, 18144
Performance Food Group, 8838
Pfizer, 18000
Philip Morris International, 18000
Phillips 66, 9432
Plains GP Holdings, 2916
PNC Financial Services Group, 18144
Procter & Gamble, 18144
Progressive, 18000
Prudential Financial (U.S.), 18000
Publix Super Markets, 18162
Qualcomm, 18144
Raytheon Technologies, 18144
Raytheon, 11286
Rite Aid, 18000
Sherwin Williams, 8640
Southern Company, 9738
Southwest Airlines, 18144
Starbucks, 18162
State Farm Insurance, 18000
StoneX Group, 108
Synchrony Financial, 17316
Synnex, 5616
Sysco, 18162
Target, 18162
Tech Data, 16830
Tenet Healthcare, 14724
Tenneco, 8640
Tesla, 18162
Thermo Fisher Scientific, 18144
TIAA, 0
TJX, 18144
Travelers Cos., 15084
Tyson Foods, 18000
U.S. Bancorp, 18144
Union Pacific, 17280
United Airlines Holdings, 18144
United Natural Foods, 18126
UnitedHealth Group, 18000
UPS, 18000
US Foods Holding, 18144
USAA, 18000
Valero Energy, 7614
Verizon Communications, 18144
ViacomCBS, 18162
Visa, 6840
Walgreens Boots Alliance, 12510
Walmart, 18162
Walt Disney, 18000
Wells Fargo, 18000
WestRock, 10620
Whirlpool, 18144
World Fuel Services, 5544
